Name,URL,Position,HallOfFame,TotalYears,Active
Karim Abdul-Jabbar,/A/AbduKa00.htm,RB,False,5.0,False
Ameer Abdullah,/A/AbduAm00.htm,RB,False,5.0,True
Rabih Abdullah,/A/AbduRa00.htm,RB,False,6.0,False
Walter Abercrombie,/A/AberWa00.htm,RB,False,7.0,False
Mike Adamle,/A/AdamMi01.htm,RB,False,6.0,False
Curtis Adams,/A/AdamCu00.htm,RB,False,4.0,False
D.J. Adams,/A/AdamD.00.htm,RB,False,1.0,False
David Adams,/A/AdamDa20.htm,RB,False,1.0,False
George Adams,/A/AdamGe00.htm,RB,False,7.0,False
Josh Adams,/A/AdamJo03.htm,RB,False,2.0,True
Joseph Addai,/A/AddaJo00.htm,RB,False,6.0,False
Bralon Addison,/A/AddiBr01.htm,RB,False,1.0,False
Tommie Agee,/A/AgeeTo00.htm,RB,False,7.0,False
Jay Ajayi,/A/AjayJa00.htm,RB,False,5.0,True
Ira Albright,/A/AlbrIr20.htm,NT-RB,False,1.0,False
Jerry Aldridge,/A/AldrJe20.htm,RB,False,1.0,False
Alvester Alexander,/A/AlexAl00.htm,RB,False,1.0,False
Charles Alexander,/A/AlexCh00.htm,RB,False,7.0,False
Dan Alexander,/A/AlexDa21.htm,RB,False,3.0,False
Jeff Alexander,/A/AlexJe00.htm,RB,False,4.0,False
Robert Alexander,/A/AlexRo20.htm,RB,False,2.0,False
Shaun Alexander,/A/AlexSh00.htm,RB,False,9.0,False
Vincent Alexander,/A/AlexVi20.htm,RB,False,1.0,False
Rich Alexis,/A/AlexRi00.htm,RB,False,3.0,False
Ted Alflen,/A/AlflTe20.htm,RB,False,1.0,False
Anthony Allen,/A/AlleAn01.htm,RB,False,2.0,False
Charles Ali,/A/AlixCh00.htm,RB,False,2.0,False
Armando Allen,/A/AlleAr00.htm,RB,False,2.0,False
Brian Allen,/A/AlleBr20.htm,RB,False,1.0,False
Carl Allen,/A/AlleCa20.htm,RB-DB,False,1.0,False
David Allen,/A/AlleDa00.htm,RB,False,3.0,False
Gary Allen,/A/AlleGa20.htm,RB,False,3.0,False
Gerry Allen,/A/AlleJe00.htm,RB,False,4.0,False
Greg Allen,/A/AlleGr21.htm,RB,False,2.0,False
James Allen,/A/AlleJa00.htm,RB,False,5.0,False
Javorius Allen,/A/AlleJa01.htm,RB,False,5.0,True
Marcus Allen,/A/AlleMa00.htm,RB,True,16.0,False
Marvin Allen,/A/AlleMa01.htm,RB,False,4.0,False
Terry Allen,/A/AlleTe00.htm,RB,False,11.0,False
Jim Allison,/A/AlliJi00.htm,RB,False,4.0,False
Mike Alstott,/A/AlstMi00.htm,RB,False,11.0,False
George Amundson,/A/AmunGe00.htm,RB,False,3.0,False
Kimble Anders,/A/AndeKi00.htm,RB,False,10.0,False
Andre' Anderson,/A/AndeAn23.htm,RB,False,1.0,False
Anthony Anderson,/A/AndeAn20.htm,RB,False,2.0,False
Alfred Anderson,/A/AndeAl00.htm,RB,False,8.0,False
Bobby Anderson,/A/AndeBo00.htm,RB,False,6.0,False
C.J. Anderson,/A/AndeC.00.htm,RB,False,7.0,True
Damien Anderson,/A/AndeDa00.htm,RB,False,4.0,False
Donny Anderson,/A/AndeDo00.htm,RB,False,9.0,False
Gary Anderson,/A/AndeGa00.htm,RB,False,9.0,False
Jamal Anderson,/A/AndeJa00.htm,RB,False,8.0,False
Jason Anderson,/A/AndeJa02.htm,RB,False,1.0,False
Max Anderson,/A/AndeMa00.htm,RB,False,2.0,False
Neal Anderson,/A/AndeNe00.htm,RB,False,8.0,False
Mike Anderson,/A/AndeMi00.htm,RB,False,8.0,False
Ottis Anderson,/A/AndeOt00.htm,RB,False,14.0,False
Vickey Ray Anderson,/A/AndeVi20.htm,RB,False,1.0,False
Rickey Anderson,/A/AndeRi20.htm,RB,False,1.0,False
Antonio Andrews,/A/AndrAn00.htm,RB,False,3.0,False
John Andrews,/A/AndrJo00.htm,TE-RB,False,3.0,False
William Andrews,/A/AndrWi00.htm,RB,False,8.0,False
Tyrone Anthony,/A/AnthTy00.htm,RB,False,2.0,False
Mike Archie,/A/ArchMi00.htm,RB,False,3.0,False
Ryquell Armstead,/A/ArmsRy00.htm,RB,False,1.0,True
Adger Armstrong,/A/ArmsAd00.htm,RB,False,6.0,False
Otis Armstrong,/A/ArmsOt00.htm,RB,False,8.0,False
J.J. Arrington,/A/ArriJ.00.htm,RB,False,4.0,False
Cameron Artis-Payne,/A/ArtiCa00.htm,RB,False,4.0,False
Frank Aschenbrenner,/A/AschFr20.htm,RB,False,1.0,False
Willie Asbury,/A/AsbuWi00.htm,RB,False,3.0,False
Josh Ashton,/A/AshtJo00.htm,RB,False,4.0,False
Joe Aska,/A/AskaJo00.htm,RB,False,3.0,False
Dave Atkins,/A/AtkiDa00.htm,RB,False,3.0,False
Steve Atkins,/A/AtkiSt00.htm,RB,False,3.0,False
George Atkinson,/A/AtkiGe01.htm,RB,False,3.0,False
Joe Auer,/A/AuerJo00.htm,RB,False,5.0,False
Mike Augustyniak,/A/AuguMi00.htm,RB,False,3.0,False
Cliff Austin,/A/AustCl00.htm,RB,False,5.0,False
Darnell Autry,/A/AutrDa00.htm,RB,False,4.0,False
John Avery,/A/AverJo00.htm,RB,False,6.0,False
Steve Avery,/A/AverSt00.htm,RB,False,7.0,False
Obafemi Ayanbadejo,/A/AyanOb00.htm,RB,False,9.0,False
Rick Badanjek,/B/BadaRi00.htm,RB,False,3.0,False
Mark Bailey,/B/BailMa00.htm,RB,False,2.0,False
Johnny Bailey,/B/BailJo00.htm,RB,False,6.0,False
Teddy Bailey,/B/BailTe20.htm,RB,False,3.0,False
Tom Bailey,/B/BailTo00.htm,RB,False,4.0,False
Clarence Bailey,/B/BailCl20.htm,RB,False,1.0,False
Edwin Baker,/B/BakeEd01.htm,RB,False,3.0,False
Tony Baker,/B/BakeTo00.htm,RB,False,8.0,False
Tony Baker,/B/BakeTo20.htm,RB,False,4.0,False
Randy Baldwin,/B/BaldRa00.htm,RB,False,6.0,False
Eric Ball,/B/BallEr00.htm,RB,False,7.0,False
Lance Ball,/B/BallLa00.htm,RB,False,5.0,False
Kalen Ballage,/B/BallKa00.htm,RB,False,2.0,True
Montee Ball,/B/BallMo00.htm,RB,False,2.0,False
Vick Ballard,/B/BallVi00.htm,RB,False,3.0,False
Pete Banaszak,/B/BanaPe00.htm,RB,False,13.0,False
Chuck Banks,/B/BankCh00.htm,RB,False,2.0,False
Estes Banks,/B/BankEs00.htm,RB,False,2.0,False
Tavian Banks,/B/BankTa00.htm,RB,False,2.0,False
Warren Bankston,/B/BankWa00.htm,RB-TE,False,10.0,False
Joe Banyard,/B/BanyJo00.htm,RB,False,6.0,False
Kantroy Barber,/B/BarbKa20.htm,RB,False,1.0,False
Marion Barber,/B/BarbMa00.htm,RB,False,7.0,False
Marion Barber,/B/BarbMa01.htm,RB,False,7.0,False
Peyton Barber,/B/BarbPe01.htm,RB,False,4.0,True
Tiki Barber,/B/BarbTi00.htm,RB,False,10.0,False
Chris Barclay,/B/BarcCh00.htm,RB,False,1.0,False
Saquon Barkley,/B/BarkSa00.htm,RB,False,2.0,True
Kevan Barlow,/B/BarlKe00.htm,RB,False,6.0,False
Kenjon Barner,/B/BarnKe00.htm,RB,False,7.0,True
Larry Barnes,/B/BarnLa00.htm,RB,False,3.0,False
Marlon Barnes,/B/BarnMa00.htm,RB,False,1.0,False
Dave Barrett,/B/BarrDa21.htm,RB,False,1.0,False
Tom Barrington,/B/BarrTo00.htm,RB,False,5.0,False
Steve Bartalo,/B/BartSt01.htm,RB,False,1.0,False
Michael Basnight,/B/BasnMi00.htm,RB,False,1.0,False
Baron Batch,/B/BatcBa00.htm,RB,False,1.0,False
Michael Bates,/B/BateMi00.htm,RB,False,11.0,False
Mario Bates,/B/BateMa00.htm,RB,False,7.0,False
Jackie Battle,/B/BattJa00.htm,RB,False,8.0,False
Bobby Batton,/B/BattBo20.htm,RB,False,1.0,False
Hank Bauer,/B/BaueHa00.htm,RB,False,6.0,False
Zach Bauman,/B/BaumZa00.htm,RB,False,1.0,False
Nick Bawden,/B/BawdNi00.htm,RB,False,1.0,True
Brad Baxter,/B/BaxtBr00.htm,RB,False,7.0,False
Rick Bayless,/B/BaylRi20.htm,RB,False,1.0,False
Walter Beach,/B/BeacWa20.htm,DB-RB,False,7.0,False
Bubba Bean,/B/BeanBu00.htm,RB,False,4.0,False
Earl Beecham,/B/BeecEa20.htm,RB,False,1.0,False
Tom Beer,/B/BeerTo20.htm,LB-RB,False,3.0,False
Gordon Bell,/B/BellGo00.htm,RB,False,3.0,False
Greg Bell,/B/BellGr00.htm,RB,False,7.0,False
Joique Bell,/B/BellJo01.htm,RB,False,7.0,False
Kahlil Bell,/B/BellKa00.htm,RB,False,5.0,False
Ken Bell,/B/BellKe01.htm,RB-WR,False,4.0,False
Le'Veon Bell,/B/BellLe00.htm,RB,False,7.0,True
Mike Bell,/B/BellMi00.htm,RB,False,5.0,False
Richard Bell,/B/BellRi00.htm,RB,False,1.0,False
Nick Bell,/B/BellNi00.htm,RB,False,3.0,False
Rick Bell,/B/BellRi20.htm,RB,False,1.0,False
Ricky Bell,/B/BellRi01.htm,RB,False,6.0,False
Tatum Bell,/B/BellTa00.htm,RB,False,5.0,False
William Bell,/B/BellWi20.htm,RB,False,3.0,False
Horace Belton,/B/BeltHo00.htm,RB,False,3.0,False
Willie Belton,/B/BeltWi00.htm,RB,False,4.0,False
Carey Bender,/B/BendCa20.htm,RB,False,1.0,False
Wes Bender,/B/BendWe00.htm,RB,False,4.0,False
Ryan Benjamin,/B/BenjRy20.htm,RB,False,1.0,False
Tony Benjamin,/B/BenjTo00.htm,RB,False,3.0,False
Brandon Bennett,/B/BennBr00.htm,RB,False,7.0,False
Donnell Bennett,/B/BennDo00.htm,RB,False,8.0,False
