Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Fred Abel,/A/AbelFr20.htm,BB-FB,0,1,1926,False
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False
Dick Abrell,/A/AbreDi20.htm,BB-WB,0,1,1920,False
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False
Tony Aiello,/A/AielTo20.htm,WB-BB,0,1,1944,False
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False
Marger Apsit,/A/ApsiMa20.htm,BB-LB-DB-TB,0,3,1933,False
Arnie Arenz,/A/ArenAr20.htm,BB-LB,0,1,1934,False
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False
John Armstrong,/A/ArmsJo20.htm,BB,0,3,1925,False
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False
Gene Augusterfer,/A/AuguGe20.htm,BB-DB,0,1,1935,False
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False
Steve Banas,/B/BanaSt20.htm,BB-DB,0,1,1935,False
Elmer Barbour,/B/BarbEl20.htm,BB-LB,0,1,1945,False
Norm Barry,/B/BarrNo20.htm,BB-HB,0,2,1922,False
Dave Bernard,/B/BernDa20.htm,LB-BB,0,2,1945,False
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False
Bill Brown,/B/BrowBi20.htm,BB-QB-DB,0,2,1944,False
Justin Brumbaugh,/B/BrumJu20.htm,BB-TB,0,1,1931,False
Jim Bryant,/B/BryaJi20.htm,BB-WB,0,1,1920,False
Steve Buchanan,/B/BuchSt20.htm,BB-TB,0,1,1929,False
Ralph Buckley,/B/BuckRa20.htm,BB-HB,0,1,1930,False
Earl Burgner,/B/BurgEa20.htm,BB-WB,0,1,1923,False
Tom Burnette,/B/BurnTo20.htm,BB,0,1,1938,False
Stanley Burnham,/B/BurnSt20.htm,TB-BB,0,1,1925,False
Tim Burnham,/B/BurnTi20.htm,TB-BB,0,1,1987,False
George Burnside,/B/BurnGe20.htm,BB,0,1,1926,False
Sol Butler,/B/ButlSo20.htm,WB-BB-HB,0,4,1926,False
Eddie Butts,/B/ButtEd20.htm,TB-BB-WB,0,1,1929,False
Len Calligaro,/C/CallLe21.htm,BB-LB,0,1,1944,False
 Cassidy,/C/Cassxx20.htm,BB,0,1,1921,False
Coonie Checkaye,/C/ChecCo20.htm,BB,0,2,1921,False
Cal Clemens,/C/ClemCa20.htm,BB,0,1,1936,False
Jimmy Conzelman,/C/ConzJi20.htm,BB-TB-HB-E,1,10,1929,False
Red Corzine,/C/CorzRe20.htm,FB-BB,0,5,1937,False
Earl Crowder,/C/CrowEa20.htm,BB,0,2,1940,False
Don Curtin,/C/CurtDo20.htm,BB,0,1,1926,False
Corby Davis,/D/DaviCo20.htm,BB-FB-K,0,5,1942,False
Herb Davis,/D/DaviHe21.htm,WB-E-BB,0,2,1926,False
John Davis,/D/DaviJo22.htm,FB-WB-TB-BB,0,1,1920,False
Daroll DeLaPorte,/D/DelaDa20.htm,BB,0,1,1925,False
John Detwiler,/D/DetwJo20.htm,FB-BB,0,2,1924,False
Mark Devlin,/D/DevlMa20.htm,BB,0,2,1921,False
Ebby DeWeese,/D/DeWeEb20.htm,G-BB,0,4,1930,False
Woody Dow,/D/DowxWo20.htm,BB-FB,0,3,1940,False
Paddy Driscoll,/D/DrisPa20.htm,HB-QB-TB-BB,1,10,1929,False
Red Dunn,/D/DunnRe20.htm,BB-TB,0,8,1931,False
Beanie Eberts,/E/EberBe20.htm,G-T-BB,0,1,1924,False
Dutch Elston,/E/ElstDu20.htm,C-BB,0,7,1948,False
