Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Johnny Adams,/A/AdamJo02.htm,CB,0,1,2013,False
Vince Agnew,/A/AgneVi00.htm,CB,0,1,2012,False
Ri'Shard Anderson,/A/AndeRi01.htm,CB,0,1,2014,False
Deion Belue,/B/BeluDe00.htm,CB,0,1,2014,False
Jordan Bernstine,/B/BernJo00.htm,CB,0,1,2012,False
Conroy Black,/B/BlacCo00.htm,CB,0,1,2012,False
Courtney Bridget,/B/BridCo00.htm,CB,0,1,2014,False
Derrius Brooks,/B/BrooDe01.htm,CB,0,1,2014,False
Kendric Burney,/B/BurnKe00.htm,CB,0,1,2012,False
Carrington Byndom,/B/ByndCa00.htm,CB,0,1,2014,False
Roc Carmichael,/C/CarmRo00.htm,CB,0,3,2014,False
Deveron Carr,/C/CarrDe01.htm,CB,0,1,2013,False
Chance Casey,/C/CaseCh00.htm,CB,0,2,2014,False
Red Cochran,/C/CochRe20.htm,CB-FB-HB,0,3,1949,False
Sanders Commings,/C/CommSa00.htm,CB,0,2,2014,False
A.J. Davis,/D/DaviA.00.htm,CB,0,3,2014,False
Alfonzo Dennard,/D/DennAl00.htm,CB,0,3,2014,False
Antonio Dennard,/D/DennAn00.htm,CB,0,1,2012,False
Bobby Felder,/F/FeldBo00.htm,CB,0,1,2012,False
Chandler Fenner,/F/FennCh00.htm,CB,0,3,2014,False
Donnie Fletcher,/F/FletDo00.htm,CB,0,1,2012,False
Kevin Fogg,/F/FoggKe00.htm,CB,0,1,2014,False
Terrence Frederick,/F/FredTe00.htm,CB,0,3,2014,False
Isaiah Frey,/F/FreyIs00.htm,CB,0,3,2014,False
Cameron Fuller,/F/FullCa00.htm,CB,0,1,2014,False
Gregory Gatson,/G/GatsGr00.htm,CB,0,1,2012,False
Isaiah Green,/G/GreeIs00.htm,CB,0,2,2013,False
Marshay Green,/G/GreeMa01.htm,CB,0,2,2012,False
Chris Greenwood,/G/GreeCh01.htm,CB,0,3,2014,False
Victor Hampton,/H/HampVi00.htm,CB,0,1,2014,False
Mike Harris,/H/HarrMi00.htm,CB,0,3,2014,False
Chris Hawkins,/H/HawkCh00.htm,CB,0,1,2011,False
T.J. Heath,/H/HeatT.00.htm,CB,0,4,2014,False
Aaron Hester,/H/HestAa00.htm,CB,0,1,2014,False
Nick Hixson,/H/HixsNi00.htm,CB,0,1,2012,False
Travis Howard,/H/HowaTr01.htm,CB,0,1,2014,False
Buddy Jackson,/J/JackBu00.htm,CB,0,1,2012,False
Kendall James,/J/JameKe00.htm,CB,0,1,2014,False
Jimmy Legree,/L/LegrJi01.htm,CB,0,1,2014,False
Keith Lewis,/L/LewiKe01.htm,CB,0,1,2014,False
LeQuan Lewis,/L/LewiLe01.htm,CB,0,3,2014,False
Korey Lindsey,/L/LindKo00.htm,CB,0,1,2012,False
Al Louis-Jean,/L/LouiAl00.htm,CB,0,1,2014,False
Jordan Mabin,/M/MabiJo00.htm,CB,0,3,2014,False
Elbert Mack,/M/MackEl20.htm,CB,0,7,2014,False
Greg McCoy,/M/McCoGr00.htm,CB,0,1,2012,False
Kamaal McIlwain,/M/McIlKa00.htm,CB,0,1,2012,False
DeQuan Menzie,/M/MenzDe00.htm,CB,0,1,2012,False
Cory Nelms,/N/NelmCo00.htm,CB,0,1,2012,False
James Nixon,/N/NixoJa00.htm,CB,0,2,2013,False
Micah Pellerin,/P/PellMi00.htm,CB,0,3,2014,False
Julian Posey,/P/PoseJu00.htm,CB,0,2,2013,False
De'Andre Presley,/P/PresDe00.htm,CB,0,3,2014,False
Jabari Price,/P/PricJa00.htm,CB,0,1,2014,False
Loucheiz Purifoy,/P/PuriLo01.htm,CB,0,1,2014,False
Rashaad Reynolds,/R/ReynRa00.htm,CB,0,1,2014,False
Shaquille Richardson,/R/RichSh01.htm,CB,0,1,2014,False
Taveon Rogers,/R/RogeTa00.htm,CB,0,1,2012,False
Lowell Rose,/R/RoseLo00.htm,CB,0,1,2014,False
Kevin Rutland,/R/RutlKe00.htm,CB,0,2,2012,False
Mohammed Seisay,/S/SeisMo00.htm,CB,0,1,2014,False
Brandon Smith,/S/SmitBr04.htm,CB,0,2,2014,False
Lionel Smith,/S/SmitLi00.htm,CB,0,1,2012,False
R.J. Stanford,/S/StanR.00.htm,CB,0,4,2014,False
Ryan Steed,/S/SteeRy00.htm,CB,0,1,2012,False
Robert Steeples,/S/SteeRo00.htm,CB,0,2,2014,False
Jordan Sullen,/S/SullJo00.htm,CB,0,1,2014,False
Rod Sweeting,/S/SweeRo01.htm,CB,0,2,2014,False
Jemea Thomas,/T/ThomJe03.htm,CB,0,1,2014,False
Dion Turner,/T/TurnDi00.htm,CB,0,1,2012,False
Josh Victorian,/V/VictJo00.htm,CB,0,3,2014,False
Jansen Watson,/W/WatsJa00.htm,CB,0,1,2014,False
Ross Weaver,/W/WeavRo00.htm,CB,0,3,2014,False
Melvin White,/W/WhitMe00.htm,CB,0,2,2014,False
Eddie Whitley,/W/WhitEd01.htm,CB,0,3,2014,False
C.J. Wilson,/W/WilsC.00.htm,CB,0,2,2014,False
Trey Wolfe,/W/WolfTr00.htm,CB,0,1,2014,False
Darren Woodard,/W/WoodDa03.htm,CB,0,1,2014,False
Khalid Wooten,/W/WootKh00.htm,CB,0,1,2014,False
