Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Duke Abbruzzi,/A/AbbrDu20.htm,HB-DB,0,1,1946,False
Hamza Abdullah,/A/AbduHa20.htm,DB,0,7,2011,False
Clifton Abraham,/A/AbraCl20.htm,DB,0,3,1997,False
Cliff Aberson,/A/AberCl20.htm,TB-DB,0,1,1946,False
Donnie Abraham,/A/AbraDo00.htm,DB,0,9,2004,False
Kevin Abrams,/A/AbraKe20.htm,DB,0,3,1999,False
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Fred Acorn,/A/AcorFr20.htm,DB,0,1,1984,False
Blue Adams,/A/AdamBl20.htm,DB,0,5,2007,False
Jamar Adams,/A/AdamJa20.htm,DB,0,3,2010,False
Michael Adams,/A/AdamMi20.htm,DB,0,3,1989,False
Michael Adams,/A/AdamMi98.htm,DB,0,7,2013,False
Stefon Adams,/A/AdamSt21.htm,DB,0,5,1990,False
Vashone Adams,/A/AdamVa20.htm,DB,0,3,1997,False
Herb Adderley,/A/AddeHe00.htm,DB,1,12,1972,False
Kevin Adkins,/A/AdkiKe20.htm,DB,0,1,1987,False
Al Afalava,/A/AfalAl99.htm,DB,0,4,2012,False
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False
Chris Akins,/A/AkinCh20.htm,DB,0,5,2003,False
Al Akins,/A/AkinAl20.htm,HB-DB,0,3,1948,False
Dick Alban,/A/AlbaDi00.htm,DB,0,8,1959,False
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False
Frankie Albert,/A/AlbeFr00.htm,QB-DB,0,7,1952,False
Vince Albritton,/A/AlbrVi20.htm,DB,0,8,1991,False
Bennie Aldridge,/A/AldrBe00.htm,DB-HB,0,4,1953,False
Melvin Aldridge,/A/AldrMe20.htm,DB,0,3,1995,False
Brent Alexander,/A/AlexBr20.htm,DB,0,12,2005,False
Bruce Alexander,/A/AlexBr21.htm,DB,0,5,1993,False
Gerald Alexander,/A/AlexGe99.htm,DB,0,5,2011,False
Kermit Alexander,/A/AlexKe01.htm,DB,0,11,1973,False
Roc Alexander,/A/AlexRo21.htm,DB,0,3,2006,False
Willie Alexander,/A/AlexWi20.htm,DB,0,9,1979,False
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False
Bruce Alford,/A/AlfoBr01.htm,E-DB,0,6,1951,False
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False
Asher Allen,/A/AlleAs99.htm,DB,0,3,2011,False
Carl Allen,/A/AlleCa20.htm,RB-DB,0,1,1948,False
Carl Allen,/A/AlleCa21.htm,DB,0,6,1982,False
Earl Allen,/A/AlleEa20.htm,DB,0,1,1987,False
Eric Allen,/A/AlleEr00.htm,DB,0,14,2001,False
Egypt Allen,/A/AlleEg20.htm,DB,0,1,1987,False
Ermal Allen,/A/AlleEr20.htm,QB-DB,0,1,1947,False
Harvey Allen,/A/AlleHa20.htm,DB,0,1,1987,False
Jackie Allen,/A/AlleJa20.htm,DB,0,4,1972,False
Jason Allen,/A/AlleJa23.htm,DB,0,7,2012,False
Jeff Allen,/A/AlleJe21.htm,DB,0,1,1971,False
Jeff Allen,/A/AlleJe20.htm,DB,0,3,1982,False
Jimmy Allen,/A/AlleJi20.htm,DB,0,8,1981,False
Nate Allen,/A/AlleNa20.htm,DB,0,9,1979,False
Patrick Allen,/A/AllePa20.htm,DB,0,7,1990,False
Taje Allen,/A/AlleTa20.htm,DB,0,6,2002,False
Will Allen,/A/AlleWi20.htm,DB,0,12,2012,False
Brian Allred,/A/AllrBr20.htm,DB,0,1,1993,False
Jonathon Amaya,/A/AmayJo00.htm,DB,0,3,2012,False
John Amberg,/A/AmbeJo00.htm,DB-HB,0,2,1952,False
Glen Amerson,/A/AmerGl20.htm,DB,0,1,1961,False
Ashley Ambrose,/A/AmbrAs00.htm,DB,0,13,2004,False
Dave Ames,/A/AmesDa00.htm,HB-DB,0,1,1961,False
