Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Victor Abiamiri,/A/AbiaVi99.htm,DE,0,3,2009,False
John Abraham,/A/AbraJo00.htm,DE,0,15,2014,False
Gaines Adams,/A/AdamGa99.htm,DE,0,3,2009,False
Julius Adams,/A/AdamJu00.htm,DE-DT,0,17,1987,False
Sam Adams,/A/AdamSa00.htm,DT-DE,0,14,2007,False
Willie Adams,/A/AdamWi20.htm,DE-LB,0,2,1966,False
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False
Abe Addams,/A/AddaAb20.htm,DE,0,1,1949,False
Victor Adeyanju,/A/AdeyVi20.htm,DE,0,4,2009,False
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False
Mel Agee,/A/AgeeMe20.htm,DE-DT,0,5,1995,False
Ray Agnew,/A/AgneRa20.htm,DT-DE,0,11,2000,False
Chidi Ahanotu,/A/AhanCh20.htm,DE-DT,0,12,2004,False
C.J. Ah You,/A/AhYoC.00.htm,DE,0,3,2011,False
Ikaika Alama-Francis,/A/AlamIk99.htm,DE,0,5,2011,False
Allen Aldridge,/A/AldrAl20.htm,DE,0,4,1974,False
John Alderton,/A/AldeJo20.htm,DE,0,1,1953,False
Kevin Aldridge,/A/AldrKe20.htm,DE,0,1,2002,False
Lionel Aldridge,/A/AldrLi20.htm,DE,0,11,1973,False
Derrick Alexander,/A/AlexDe20.htm,DE,0,5,1999,False
Frank Alexander,/A/AlexFr00.htm,DE,0,3,2014,False
John Alexander,/A/AlexJo21.htm,DE,0,2,1978,False
Kevin Alexander,/A/AlexKe02.htm,LB-DE,0,1,2010,False
Dalva Allen,/A/AlleDa20.htm,DE,0,5,1964,False
Lyle Alzado,/A/AlzaLy00.htm,DE-DT,0,15,1985,False
Vincent Amey,/A/AmeyVi20.htm,DE,0,1,1998,False
Richard Amman,/A/AmmaRi20.htm,DE-DT,0,2,1973,False
Marty Amsler,/A/AmslMa20.htm,DE,0,4,1970,False
Antonio Anderson,/A/AndeAn22.htm,DT-DE,0,2,1998,False
Bruce Anderson,/A/AndeBr21.htm,DE-DT,0,5,1970,False
Bill Anderson,/A/AndeBi20.htm,DE,0,1,1945,False
Curtis Anderson,/A/AndeCu20.htm,DE-DT,0,1,1979,False
Charlie Anderson,/A/AndeCh20.htm,DE-E,0,1,1956,False
Dunstan Anderson,/A/AndeDu20.htm,DE,0,4,1997,False
Fred Anderson,/A/AndeFr20.htm,DE-DT,0,5,1982,False
Jamaal Anderson,/A/AndeJa98.htm,DE,0,6,2012,False
Mark Anderson,/A/AndeMa21.htm,DE,0,7,2012,False
John Andrews,/A/AndrJo20.htm,DE-DT,0,2,1976,False
George Andrie,/A/AndrGe00.htm,DE,0,11,1972,False
Houston Antwine,/A/AntwHo00.htm,DT-DE,0,12,1972,False
Scott Appleton,/A/ApplSc20.htm,DT-DE,0,5,1968,False
Hasson Arbubakrr,/A/ArbuHa20.htm,DE,0,2,1984,False
Lester Archambeau,/A/ArchLe20.htm,DE,0,11,2000,False
Troy Archer,/A/ArchTr20.htm,DT-DE,0,3,1978,False
Trace Armstrong,/A/ArmsTr00.htm,DE,0,15,2003,False
Brian Arnfelt,/A/ArnfBr00.htm,DE,0,1,2013,False
Bert Askson,/A/AsksBe20.htm,DE-TE,0,7,1977,False
Bill Atessis,/A/AtesBi20.htm,DE-DT,0,1,1971,False
Baraka Atkins,/A/AtkiBa99.htm,DE,0,2,2008,False
Doug Atkins,/A/AtkiDo00.htm,DE,1,17,1969,False
Jim Auer,/A/AuerJi20.htm,DE,0,1,1987,False
John Aveni,/A/AvenJo20.htm,K-DE,0,3,1961,False
Marvin Ayers,/A/AyerMa20.htm,DE,0,1,1987,False
Adrian Awasom,/A/AwasAd20.htm,DE,0,7,2011,False
Steve Baack,/B/BaacSt20.htm,NT-G-DE-DT,0,4,1987,False
Harry Babcock,/B/BabcHa00.htm,E-DE,0,3,1955,False
Marty Baccaglio,/B/BaccMa20.htm,DE,0,3,1970,False
