Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Dick Afflis,/A/AfflDi20.htm,T-DG-G,0,4,1954,False
Plato Andros,/A/AndrPl20.htm,G-T-DG,0,4,1950,False
John Badaczewski,/B/BadaJo20.htm,G-DG,0,8,1953,False
Jon Baker,/B/BakeJo00.htm,DG-LB-G,0,4,1952,False
Les Bingaman,/B/BingLe00.htm,DG-G,0,7,1954,False
Ray Bray,/B/BrayRa00.htm,G-DG,0,14,1952,False
George Brown,/B/BrowGe21.htm,G-DG,0,2,1950,False
Russ Carroccio,/C/CarrRu20.htm,G-T-DT-DG,0,2,1955,False
Lou Creekmur,/C/CreeLo00.htm,T-G-DG-DT,1,10,1959,False
Ed King,/K/KingEd20.htm,G-DE-DG,0,3,1950,False
Mike McCormack,/M/McCoMi00.htm,T-DG-DT,1,12,1962,False
Bud McFadin,/M/McFaBu00.htm,DT-DG-LB-G,0,14,1965,False
Joe Ramona,/R/RamoJo20.htm,G-DG,0,1,1953,False
Joe Reid,/R/ReidJo20.htm,LB-C-DG,0,2,1952,False
Wash Serini,/S/SeriWa20.htm,DG-G-T,0,5,1952,False
Ed Sharkey,/S/SharEd20.htm,LB-G-T-DG,0,10,1956,False
John Steber,/S/StebJo20.htm,G-DG,0,5,1950,False
Dave Stephenson,/S/StepDa21.htm,G-C-DG,0,6,1955,False
Vic Vasicek,/V/VasiVi20.htm,LB-G-DG,0,2,1950,False
Stan West,/W/WestSt00.htm,DG-G-C,0,8,1957,False
Bill Willis,/W/WillBi00.htm,DG-G,1,8,1953,False
