Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Kendrick Adams,/A/AdamKe01.htm,DL,0,1,2012,False
Chigbo Anunoby,/A/AnunCh00.htm,DL,0,3,2014,False
Marvin Austin,/A/AustMa00.htm,DL,0,3,2014,False
Christian Ballard,/B/BallCh00.htm,DL,0,2,2012,False
Jeremy Beal,/B/BealJe00.htm,DL,0,1,2012,False
Ricky Elmore,/E/ElmoRi00.htm,DL,0,1,2012,False
Auston English,/E/EnglAu00.htm,DL,0,2,2012,False
Marcus Forston,/F/ForsMa00.htm,DL,0,2,2013,False
Justin Francis,/F/FranJu00.htm,DL,0,1,2012,False
Sione Fua,/F/FuaxSi00.htm,DL,0,4,2014,False
Cam Henderson,/H/HendCa00.htm,DL,0,1,2014,False
Bryan Johnson,/J/JohnBr04.htm,DL,0,1,2014,False
Johnny Jones,/J/JoneJo01.htm,DL,0,1,2012,False
Lazarius Levingston,/L/LeviLa00.htm,DL,0,2,2012,False
Jacobbi McDaniel,/M/McDaJa00.htm,DL,0,1,2014,False
Dontay Moch,/M/MochDo00.htm,DL,0,3,2014,False
Drake Nevis,/N/NeviDr00.htm,DL,0,3,2013,False
Lawrence Okoye,/O/OkoyLa00.htm,DL,0,1,2014,False
Cheta Ozougwu,/O/OzouCh00.htm,DL,0,3,2014,False
Lucas Patterson,/P/PattLu00.htm,DL,0,1,2012,False
Jerrell Powe,/P/PoweJe00.htm,DL,0,4,2014,False
Xavier Proctor,/P/ProcXa00.htm,DL,0,1,2014,False
D'Aundre Reed,/R/ReedD'00.htm,DL,0,1,2012,False
Tracy Robertson,/R/RobeTr01.htm,DL,0,1,2013,False
Greg Romeus,/R/RomeGr00.htm,DL,0,1,2012,False
Brian Sanford,/S/SanfBr00.htm,DL,0,3,2013,False
Emmanuel Stephens,/S/StepEm00.htm,DL,0,2,2012,False
Phil Taylor,/T/TaylPh00.htm,DL,0,4,2014,False
Kiante Tripp,/T/TripKi00.htm,DL,0,1,2011,False
