Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Lance Alworth,/A/AlwoLa00.htm,FL-WR,1,11,1972,False
Pervis Atkins,/A/AtkiPe00.htm,FL-HB-WR,0,6,1966,False
Gary Ballman,/B/BallGa00.htm,FL-TE-SE-WR,0,12,1973,False
Eppie Barney,/B/BarnEp00.htm,FL,0,2,1968,False
Terry Barr,/B/BarrTe00.htm,HB-DB-FL,0,9,1965,False
Fred Biletnikoff,/B/BileFr00.htm,WR-FL,1,14,1978,False
Marlin Briscoe,/B/BrisMa00.htm,WR-QB-FL,0,9,1976,False
Gino Cappelletti,/C/CappGi00.htm,FL-SE-DB-WR-K,0,11,1970,False
Ken Carpenter,/C/CarpKe00.htm,HB-FL,0,11,1960,False
Bernie Casey,/C/CaseBe00.htm,HB-FL-TE-WR,0,8,1968,False
Howard Cassady,/C/CassHo00.htm,HB-SE-FL,0,8,1963,False
Joe Childress,/C/ChilJo00.htm,HB-FB-FL,0,10,1965,False
Leon Clarke,/C/ClarLe00.htm,E-FL,0,8,1963,False
Gary Collins,/C/CollGa00.htm,FL-WR-P,0,10,1971,False
Bobby Joe Conrad,/C/ConrBo00.htm,FL-DB-HB-WR-K,0,12,1969,False
Bob Coolbaugh,/C/CoolBo00.htm,FL-WR,0,1,1961,False
Eric Crabtree,/C/CrabEr00.htm,WR-SE-FL-DB,0,6,1971,False
Dobie Craig,/C/CraiDo00.htm,FL-WR-HB,0,3,1964,False
Carroll Dale,/D/DaleCa00.htm,WR-TE-FL,0,14,1973,False
Al Denson,/D/DensAl00.htm,FL-TE-SE-WR,0,8,1971,False
Buddy Dial,/D/DialBu00.htm,SE-FL,0,8,1966,False
Jim Dooley,/D/DoolJi00.htm,B-E-FL-TE,0,10,1961,False
Boyd Dowler,/D/DowlBo00.htm,FL-SE-WR,0,13,1971,False
Elbert Dubenion,/D/DubeEl00.htm,FL-WR-HB,0,9,1968,False
John Embree,/E/EmbrJo20.htm,FL-WR,0,2,1970,False
Paul Flatley,/F/FlatPa00.htm,WR-FL,0,8,1970,False
Al Frazier,/F/FrazAl00.htm,FL-HB,0,3,1963,False
Billy Gambrell,/G/GambBi00.htm,SE-FL-WR,0,6,1968,False
Pete Gent,/G/GentPe00.htm,FL-WR,0,5,1968,False
Frank Gifford,/G/GiffFr00.htm,HB-FL-DB-WR,1,13,1964,False
John Gilliam,/G/GillJo01.htm,WR-FL,0,11,1977,False
Ron Goodwin,/G/GoodRo00.htm,FL-SE-WR,0,6,1968,False
Dick Gordon,/G/GordDi00.htm,WR-SE-FL,0,10,1974,False
Bill Groman,/G/GromBi00.htm,WR-FL,0,6,1965,False
Mike Haffner,/H/HaffMi00.htm,WR-FL,0,4,1971,False
Roger Hagberg,/H/HagbRo00.htm,FB-FL,0,5,1969,False
Alex Hawkins,/H/HawkAl00.htm,HB-FL-WR,0,10,1968,False
Ben Hawkins,/H/HawkBe00.htm,WR-SE-FL,0,9,1974,False
John Henderson,/H/HendJo00.htm,WR-FL,0,8,1972,False
Don Herrmann,/H/HerrDo00.htm,WR-FL,0,9,1977,False
Dick Hoak,/H/HoakDi00.htm,RB-FL,0,10,1970,False
Frank Jackson,/J/JackFr00.htm,FL-FB-SE-WR-HB,0,7,1967,False
Harold Jackson,/J/JackHa00.htm,WR-FL,0,16,1983,False
Bill Jessup,/J/JessBi00.htm,E-FL,0,10,1960,False
Jim Jones,/J/JoneJi01.htm,SE-FL-WR,0,4,1968,False
Dave Kocourek,/K/KocoDa00.htm,TE-FL,0,9,1968,False
Ernie Koy,/K/KoyxEr00.htm,RB-FL-P,0,6,1970,False
Bob Long,/L/LongBo00.htm,FL-WR,0,7,1970,False
Ollie Matson,/M/MatsOl00.htm,RB-FL,1,15,1966,False
Don Maynard,/M/MaynDo00.htm,E-FL-HB,1,16,1973,False
Tommy McDonald,/M/McDoTo00.htm,FL-HB-SE-WR,1,12,1968,False
Bob McNamara,/M/McNaBo20.htm,DB-FL-HB,0,2,1961,False
Clifton McNeil,/M/McNeCl00.htm,WR-FL-SE,0,10,1973,False
Dave Middleton,/M/MiddDa00.htm,E-HB-FL,0,7,1961,False
Bobby Mitchell,/M/MitcBo00.htm,FL-HB-WR,1,11,1968,False
Lenny Moore,/M/MoorLe00.htm,HB-FL,1,12,1967,False
Johnny Morris,/M/MorrJo02.htm,FL-HB,0,10,1967,False
Joe Morrison,/M/MorrJo01.htm,HB-FL-FB,0,14,1972,False
Karl Noonan,/N/NoonKa00.htm,SE-FL-WR,0,6,1971,False
Jimmy Orr,/O/OrrxJi00.htm,FL-E-SE-WR,0,13,1970,False
Ray Poage,/P/PoagRa00.htm,TE-SE-FL-WR,0,9,1971,False
Bucky Pope,/P/PopeBu00.htm,FL-WR,0,5,1968,False
Ray Renfro,/R/RenfRa00.htm,HB-FL,0,12,1963,False
Lance Rentzel,/R/RentLa00.htm,WR-FL,0,10,1974,False
Gloster Richardson,/R/RichGl00.htm,WR-FL,0,8,1974,False
Jerry Richardson,/R/RichJe00.htm,FL-HB,0,2,1960,False
Willie Richardson,/R/RichWi00.htm,FL-WR,0,9,1971,False
Bo Roberson,/R/RobeBo00.htm,FL-HB-WR,0,6,1966,False
Jerry Robinson,/R/RobiJe01.htm,FL-WR,0,4,1965,False
Johnny Robinson,/R/RobiJo00.htm,DB-FL-HB,1,12,1971,False
Bob Scarpitto,/S/ScarBo00.htm,FL-WR-P,0,8,1968,False
Rod Sherman,/S/SherRo00.htm,WR-FL,0,7,1973,False
Jerry Smith,/S/SmitJe01.htm,TE-SE-FL,0,13,1977,False
Julian Spence,/S/SpenJu20.htm,DB-FL,0,6,1961,False
Billy Stacy,/S/StacBi00.htm,DB-FL,0,5,1963,False
Pat Studstill,/S/StudPa00.htm,FL-HB-WR-P,0,12,1972,False
Lionel Taylor,/T/TaylLi00.htm,E-WR-FL,0,10,1968,False
Otis Taylor,/T/TaylOt00.htm,WR-FL,0,11,1975,False
Clendon Thomas,/T/ThomCl00.htm,DB-E-FL-HB,0,11,1968,False
Speedy Thomas,/T/ThomSp00.htm,WR-FL,0,6,1974,False
Richard Trapp,/T/TrapRi00.htm,FL-WR,0,2,1969,False
Wendell Tucker,/T/TuckWe00.htm,WR-FL,0,4,1970,False
Cecil Turner,/T/TurnCe00.htm,FL-WR,0,6,1973,False
Howard Twilley,/T/TwilHo00.htm,WR-FL,0,11,1976,False
Larry Walton,/W/WaltLa00.htm,WR-FL,0,10,1978,False
J.R. Wilburn,/W/WilbJ.00.htm,FL-WR,0,5,1970,False
A.D. Williams,/W/WillA.00.htm,E-FL,0,3,1961,False
Monk Williams,/W/WillMo20.htm,FL,0,1,1968,False
Billy Wilson,/W/WilsBi00.htm,E-FL,0,10,1960,False
Dick Witcher,/W/WitcDi00.htm,WR-FL-SE-TE,0,8,1973,False
Royce Womble,/W/WombRo00.htm,HB-FL,0,7,1960,False
