Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Emmanuel Acho,/A/AchoEm00.htm,OLB,0,3,2014,False
Denicos Allen,/A/AlleDe00.htm,OLB,0,1,2014,False
Jonathan Brown,/B/BrowJo01.htm,OLB,0,1,2014,False
Miles Burris,/B/BurrMi00.htm,OLB,0,3,2014,False
Khairi Fortt,/F/FortKh00.htm,OLB,0,1,2014,False
Khaseem Greene,/G/GreeKh00.htm,OLB,0,2,2014,False
DeVonte Holloman,/H/HollDe01.htm,OLB,0,2,2014,False
Adrian Hubbard,/H/HubbAd00.htm,OLB,0,1,2014,False
Brandon Jenkins,/J/JenkBr00.htm,OLB,0,1,2013,False
Ronnell Lewis,/L/LewiRo02.htm,OLB,0,1,2012,False
Brandon Magee,/M/MageBr00.htm,OLB,0,2,2014,False
Terrell Manning,/M/MannTe00.htm,OLB,0,3,2014,False
Gabe Miller,/M/MillGa00.htm,OLB,0,3,2014,False
Ronald Powell,/P/PoweRo01.htm,OLB,0,1,2014,False
Ty Powell,/P/PoweTy00.htm,OLB,0,2,2014,False
Prince Shembo,/S/ShemPr00.htm,OLB,0,1,2014,False
Will Smith,/S/SmitWi01.htm,OLB,0,1,2014,False
Jabara Williams,/W/WillJa12.htm,OLB,0,2,2012,False
Jacquian Williams,/W/WillJa02.htm,OLB,0,4,2014,False
Trevardo Williams,/W/WillTr02.htm,OLB,0,1,2014,False
Martez Wilson,/W/WilsMa01.htm,OLB,0,3,2013,False
Jordan Zumwalt,/Z/ZumwJo00.htm,OLB,0,1,2014,False
