Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fou Fonoti,/F/FonoFo00.htm,OT,0,1,2014,False
Kevin Graf,/G/GrafKe00.htm,OT,0,1,2014,False
Chris Martin,/M/MartCh01.htm,OT,0,1,2014,False
Jonathan Martin,/M/MartJo01.htm,OT,0,3,2014,False
Nick Mondek,/M/MondNi00.htm,OT,0,1,2012,False
Brandon Mosley,/M/MoslBr00.htm,OT,0,3,2014,False
Xavier Nixon,/N/NixoXa00.htm,OT,0,2,2014,False
Bryce Quigley,/Q/QuigBr00.htm,OT,0,1,2014,False
Tavon Rooks,/R/RookTa00.htm,OT,0,1,2014,False
Garrett Scott,/S/ScotGa01.htm,OT,0,1,2014,False
Byron Stingily,/S/StinBy00.htm,OT,0,3,2014,False
Rokevious Watkins,/W/WatkRo00.htm,OT,0,2,2013,False
Jason Weaver,/W/WeavJa00.htm,OT,0,1,2014,False
