Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Tony Adams,/A/AdamTo00.htm,QB,0,13,1987,False
Sam Adkins,/A/AdkiSa00.htm,QB,0,5,1981,False
Troy Aikman,/A/AikmTr00.htm,QB,1,12,2000,False
Frankie Albert,/A/AlbeFr00.htm,QB-DB,0,7,1952,False
Don Allard,/A/AllaDo20.htm,QB,0,2,1962,False
Ermal Allen,/A/AlleEr20.htm,QB-DB,0,1,1947,False
Billy Guy Anderson,/A/AndeBi21.htm,QB,0,1,1967,False
Ken Anderson,/A/AndeKe00.htm,QB,0,16,1986,False
David Archer,/A/ArchDa00.htm,QB,0,6,1989,False
Rick Arrington,/A/ArriRi00.htm,QB,0,3,1972,False
Kent Austin,/A/AustKe20.htm,QB,0,1,1986,False
Bob Avellini,/A/AvelBo00.htm,QB,0,10,1984,False
Richard Badar,/B/BadaRi20.htm,QB,0,1,1967,False
Ed Baker,/B/BakeEd00.htm,QB,0,1,1972,False
Terry Baker,/B/BakeTe00.htm,QB,0,3,1965,False
Tony Banks,/B/BankTo00.htm,QB,0,10,2005,False
Lou Barle,/B/BarlLo20.htm,HB-QB,0,2,1939,False
Joe Barnes,/B/BarnJo01.htm,QB,0,1,1974,False
Pat Barnes,/B/BarnPa20.htm,QB,0,1,1999,False
Dave Barr,/B/BarrDa20.htm,QB,0,1,1995,False
Richard Bartel,/B/BartRi00.htm,QB,0,2,2011,False
Steve Bartkowski,/B/BartSt00.htm,QB,0,12,1986,False
Greg Barton,/B/BartGr20.htm,QB,0,1,1969,False
Brett Basanez,/B/BasaBr00.htm,QB,0,1,2006,False
Charlie Batch,/B/BatcCh00.htm,QB,0,15,2012,False
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False
Pete Beathard,/B/BeatPe00.htm,QB,0,10,1973,False
Gary Beban,/B/BebaGa00.htm,QB,0,2,1969,False
John Beck,/B/BeckJo00.htm,QB,0,5,2011,False
Kerwin Bell,/B/BellKe00.htm,QB,0,1,1996,False
Guy Benjamin,/B/BenjGu00.htm,QB,0,6,1983,False
Fred Benners,/B/BennFr00.htm,QB,0,1,1952,False
Ben Bennett,/B/BennBe20.htm,QB,0,1,1987,False
Brock Berlin,/B/BerlBr00.htm,QB,0,2,2008,False
Bob Berry,/B/BerrBo00.htm,QB,0,11,1975,False
Angelo Bertelli,/B/BertAn20.htm,QB,0,3,1948,False
McLeod Bethel-Thompson,/B/BethMc00.htm,QB,0,3,2014,False
