Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Ray Abruzzese,/A/AbruRa20.htm,B,0,5,1966,False
Hub Barker,/B/BarkHu20.htm,B-LB,0,4,1945,False
Ralph Barkman,/B/BarkRa20.htm,B,0,1,1929,False
Len Barnum,/B/BarnLe21.htm,B,0,5,1942,False
Pete Barnum,/B/BarnPe21.htm,B,0,1,1926,False
Shorty Barr,/B/BarrSh20.htm,B,0,4,1926,False
Myrt Basing,/B/BasiMy20.htm,B,0,5,1927,False
Bill Bass,/B/BassBi20.htm,B,0,1,1947,False
Jimmy Baxter,/B/BaxtJi20.htm,B,0,2,1924,False
Winnie Baze,/B/BazeWi20.htm,B,0,1,1937,False
Marty Beck,/B/BeckMa20.htm,B,0,6,1926,False
Johnnie Becker,/B/BeckJo21.htm,T-G-B,0,4,1929,False
Art Beckley,/B/BeckAr20.htm,B,0,1,1926,False
Keith Beebe,/B/BeebKe20.htm,B,0,1,1944,False
Ferris Beekley,/B/BeekFe20.htm,B-G,0,1,1921,False
Bunny Belden,/B/BeldBu20.htm,B,0,5,1931,False
Les Belding,/B/BeldLe20.htm,E-B,0,1,1925,False
Heinie Benkert,/B/BenkHe20.htm,B,0,6,1930,False
Chuck Bennett,/B/BennCh22.htm,B,0,4,1933,False
George Benson,/B/BensGe20.htm,B,0,1,1947,False
Gil Berry,/B/BerrGi20.htm,B,0,1,1935,False
Howard Berry,/B/BerrHo20.htm,B,0,1,1921,False
Teddy Besta,/B/BestTe20.htm,B,0,3,1924,False
George Beyers,/B/BeyeGe20.htm,B,0,1,1921,False
Johnny Biancone,/B/BianJo20.htm,B,0,1,1936,False
Dick Bilda,/B/BildDi20.htm,B,0,1,1944,False
Keith Birlem,/B/BirlKe20.htm,B-E,0,1,1939,False
Don Bishop,/B/BishDo00.htm,B,0,8,1965,False
Blondy Black,/B/BlacBl20.htm,B,0,2,1947,False
Johnny Bleier,/B/BleiJo20.htm,B,0,1,1921,False
Harry Bliss,/B/BlisHa20.htm,B,0,1,1921,False
Al Bloodgood,/B/BlooAl20.htm,B,0,6,1930,False
Lamar Blount,/B/BlouLa20.htm,E-B,0,2,1947,False
Champ Boettcher,/B/BoetCh20.htm,B,0,1,1926,False
Karl Bohren,/B/BohrKa20.htm,B,0,1,1927,False
Chase Boldt,/B/BoldCh20.htm,B,0,3,1923,False
Rink Bond,/B/BondRi20.htm,B,0,2,1939,False
Ernie Bonelli,/B/BoneEr20.htm,B,0,2,1946,False
Elliott Bonowitz,/B/BonoEl20.htm,G-B-T-E,0,3,1925,False
Jack Boone,/B/BoonJa20.htm,B,0,1,1942,False
Dick Booth,/B/BootDi20.htm,B,0,5,1945,False
Nick Borelli,/B/BoreNi20.htm,B,0,1,1930,False
Leon Boutwell,/B/BoutLe20.htm,B,0,2,1923,False
Tony Bova,/B/BovaTo20.htm,E-B,0,6,1947,False
Phil Bower,/B/BowePh20.htm,B,0,1,1921,False
Arda Bowser,/B/BowsAr20.htm,B,0,2,1923,False
Bill Boyd,/B/BoydBi20.htm,B,0,2,1931,False
Benny Boynton,/B/BoynBe20.htm,B,0,4,1924,False
Wes Bradshaw,/B/BradWe20.htm,B,0,3,1926,False
Butch Brandau,/B/BranBu20.htm,B,0,1,1921,False
Carl Brazell,/B/BrazCa20.htm,B,0,1,1938,False
Bill Breeden,/B/BreeBi20.htm,B,0,1,1937,False
Wayne Brenkert,/B/BrenWa20.htm,B,0,2,1924,False
Matt Brennan,/B/BrenMa20.htm,B,0,2,1926,False
Harry Brian,/B/BriaHa20.htm,B,0,1,1926,False
