Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Tom Ackerman,/A/AckeTo20.htm,G-C,0,8,2003,False
Ed Adamchik,/A/AdamEd20.htm,C,0,1,1965,False
Henry Adams,/A/AdamHe20.htm,C,0,1,1939,False
John Adickes,/A/AdicJo20.htm,C,0,3,1989,False
Art Albrecht,/A/AlbrAr20.htm,T-C-LB,0,3,1944,False
Ethan Albright,/A/AlbrEt20.htm,G-C-T,0,16,2010,False
Ki Aldrich,/A/AldrKi20.htm,C-LB-G,0,9,1947,False
David Alexander,/A/AlexDa22.htm,C-G-T,0,10,1996,False
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False
Mike Alford,/A/AlfoMi20.htm,C,0,2,1966,False
Brian Allen,/A/AlleBr02.htm,C,0,2,2019,True
Johnny Allen,/A/AlleJo20.htm,C-LB,0,4,1958,False
Josh Allen,/A/AlleJo00.htm,C,0,1,2014,False
Steve Alvers,/A/AlveSt20.htm,TE-C,0,2,1982,False
Eugene Amano,/A/AmanEu20.htm,C,0,9,2012,False
Ken Amato,/A/AmatKe20.htm,C,0,9,2011,False
John Ambrose,/A/AmbrJo20.htm,C,0,1,1932,False
Joe Amstutz,/A/AmstJo20.htm,C,0,1,1957,False
Hunk Anderson,/A/AndeHu20.htm,G-C,0,4,1925,False
Scott Anderson,/A/AndeSc20.htm,C,0,3,1976,False
Troy Andrew,/A/AndrTr20.htm,C,0,1,2001,False
Steve Andrako,/A/AndrSt20.htm,C-LB,0,1,1940,False
David Andrews,/A/AndrDa00.htm,C,0,4,2018,True
Tom Andrews,/A/AndrTo20.htm,T-C,0,4,1987,False
Charlie Ane,/A/AnexCh00.htm,T-C,0,7,1959,False
Charlie Ane,/A/AnexCh20.htm,C,0,7,1981,False
Ray Apolskis,/A/ApolRa20.htm,C-G-LB,0,10,1950,False
Tony Ardizzone,/A/ArdiTo20.htm,C,0,1,1979,False
Tony Arena,/A/ArenTo20.htm,C-LB,0,1,1942,False
Phil Armour,/A/ArmoPh20.htm,C,0,1,2000,False
Bob Armstrong,/A/ArmsBo20.htm,T-G-C,0,2,1932,False
Quincy Armstrong,/A/ArmsQu20.htm,C,0,1,1954,False
Jim Arneson,/A/ArneJi20.htm,G-C,0,3,1975,False
Mike Arthur,/A/ArthMi20.htm,C,0,6,1996,False
Darrell Austin,/A/AustDa20.htm,G-C-T,0,6,1980,False
Billy Autrey,/A/AutrBi20.htm,C,0,1,1953,False
Hank Autry,/A/AutrHa20.htm,C,0,2,1970,False
Joe Avezzano,/A/AvezJo20.htm,C,0,1,1966,False
Mike Baab,/B/BaabMi20.htm,C,0,11,1992,False
David Baas,/B/BaasDa20.htm,G-C,0,9,2013,False
Joe Bachmaier,/B/BachJo20.htm,C-G-T-E,0,5,1924,False
 Backnor,/B/Backxx20.htm,C,0,1,1921,False
Jay Bachman,/B/BachJa20.htm,C,0,4,1971,False
Don Bailey,/B/BailDo20.htm,C,0,2,1985,False
Russ Bailey,/B/BailRu20.htm,C,0,2,1921,False
Brian Baldinger,/B/BaldBr20.htm,G-T-C,0,12,1993,False
Jack Baldwin,/B/BaldJa20.htm,C-LB,0,3,1948,False
Jason Ball,/B/BallJa20.htm,C,0,3,2004,False
Bob Balog,/B/BaloBo20.htm,C-LB,0,2,1950,False
Ted Banker,/B/BankTe20.htm,G-C-T,0,6,1989,False
Tom Banks,/B/BankTo01.htm,C-G,0,10,1980,False
Bradford Banta,/B/BantBr00.htm,TE-C,0,11,2004,False
Vince Banonis,/B/BanoVi20.htm,C-T-LB,0,12,1953,False
Ernie Barber,/B/BarbEr20.htm,C-LB,0,1,1945,False
Tom Barndt,/B/BarnTo20.htm,DT-NT-G-C,0,6,2001,False
Tim Barnes,/B/BarnTi01.htm,C,0,6,2017,False
Nate Barragar,/B/BarrNa20.htm,C-G,0,6,1935,False
Napoleon Barrel,/B/BarrNa21.htm,C,0,1,1923,False
Emmett Barrett,/B/BarrEm20.htm,C,0,1,1942,False
