Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Kenneth Acker,/A/AckeKe00.htm,CB,0,4,2017,False
Johnny Adams,/A/AdamJo02.htm,CB,0,1,2013,False
Jude Adjei-Barimah,/A/AdjeJu00.htm,CB,0,2,2016,False
Jamal Agnew,/A/AgneJa00.htm,CB,0,3,2019,True
Vince Agnew,/A/AgneVi00.htm,CB,0,1,2012,False
Walt Aikens,/A/AikeWa00.htm,CB,0,6,2019,True
Jaire Alexander,/A/AlexJa00.htm,CB,0,2,2019,True
Mackensie Alexander,/A/AlexMa01.htm,CB,0,4,2019,True
Robert Alford,/A/AlfoRo00.htm,CB,0,6,2018,True
Brian Allen,/A/AlleBr01.htm,CB,0,2,2018,True
Ricardo Allen,/A/AlleRi00.htm,CB,0,6,2019,True
David Amerson,/A/AmerDa00.htm,CB,0,6,2018,False
Prince Amukamara,/A/AmukPr00.htm,CB,0,9,2019,True
Ri'Shard Anderson,/A/AndeRi01.htm,CB,0,1,2014,False
Eli Apple,/A/ApplEl00.htm,CB,0,4,2019,True
Cornell Armstrong,/A/ArmsCo00.htm,CB,0,2,2019,True
Blessuan Austin,/A/AustBl00.htm,CB,0,1,2019,True
Anthony Averett,/A/AverAn00.htm,CB,0,2,2019,True
Chidobe Awuzie,/A/AwuzCh00.htm,CB,0,3,2019,True
Deandre Baker,/B/BakeDe00.htm,CB,0,1,2019,True
Corey Ballentine,/B/BallCo00.htm,CB\n,0,1,2019,True
Johnthan Banks,/B/BankJo00.htm,CB,0,5,2017,False
Adairius Barnes,/B/BarnAd01.htm,CB,0,1,2016,False
Deion Belue,/B/BeluDe00.htm,CB,0,1,2014,False
Bill Bentley,/B/BentBi00.htm,CB,0,4,2015,False
Bene Benwikere,/B/BenwBe00.htm,CB,0,5,2018,False
Jordan Bernstine,/B/BernJo00.htm,CB,0,1,2012,False
Justin Bethel,/B/BethJu00.htm,CB,0,8,2019,True
Conroy Black,/B/BlacCo00.htm,CB,0,1,2012,False
Antwon Blake,/B/BlakAn00.htm,CB,0,5,2016,False
Robert Blanton,/B/BlanRo00.htm,CB,0,6,2017,False
Omar Bolden,/B/BoldOm00.htm,CB,0,4,2015,False
Breon Borders,/B/BordBr00.htm,CB,0,3,2019,True
A.J. Bouye,/B/BouyA.00.htm,CB,0,7,2019,True
Kris Boyd,/B/BoydKr00.htm,CB,0,1,2019,True
Brandon Boykin,/B/BoykBr00.htm,CB,0,4,2015,False
James Bradberry,/B/BradJa00.htm,CB,0,4,2019,True
Delvin Breaux,/B/BreaDe00.htm,CB,0,2,2016,False
Bashaud Breeland,/B/BreeBa00.htm,CB,0,6,2019,True
Courtney Bridget,/B/BridCo00.htm,CB,0,1,2014,False
Cariel Brooks,/B/BrooCa00.htm,CB,0,1,2015,False
Derrius Brooks,/B/BrooDe01.htm,CB,0,1,2014,False
Ron Brooks,/B/BrooRo01.htm,CB,0,5,2016,False
Anthony Brown,/B/BrowAn02.htm,CB,0,4,2019,True
