Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Kendrick Adams,/A/AdamKe01.htm,DL,0,1,2012,False
Zach Allen,/A/AlleZa01.htm,DL,0,1,2019,True
Chigbo Anunoby,/A/AnunCh00.htm,DL,0,3,2014,False
Marvin Austin,/A/AustMa00.htm,DL,0,3,2014,False
Allen Bailey,/B/BailAl00.htm,DL,0,9,2019,True
Christian Ballard,/B/BallCh00.htm,DL,0,2,2012,False
Brandon Banks,/B/BankBr01.htm,DL,0,1,2017,False
Jeremy Beal,/B/BealJe00.htm,DL,0,1,2012,False
Cortez Broughton,/B/BrouCo00.htm,DL,0,1,2019,True
Brandin Bryant,/B/BryaBr00.htm,DL,0,1,2019,True
Isaiah Buggs,/B/BuggIs00.htm,DL,0,1,2019,True
Chris Carter,/C/CartCh00.htm,DL,0,7,2017,False
Jurrell Casey,/C/CaseJu00.htm,DL,0,9,2019,True
Adrian Clayborn,/C/ClayAd00.htm,DL,0,9,2019,True
Trevon Coley,/C/ColeTr01.htm,DL,0,3,2019,True
L.J. Collier,/C/CollLJ00.htm,DL,0,1,2019,True
Byron Cowart,/C/CowaBy00.htm,DL,0,1,2019,True
Keionta Davis,/D/DaviKe03.htm,DL,0,1,2018,True
Michael Dogbe,/D/DogbMi00.htm,DL,0,1,2019,True
Dylan Donahue,/D/DonaDy00.htm,DL,0,1,2017,False
Daniel Ekuale,/E/EkuaDa00.htm,DL,0,1,2019,True
Kenrick Ellis,/E/ElliKe01.htm,DL,0,5,2015,False
Ricky Elmore,/E/ElmoRi00.htm,DL,0,1,2012,False
Auston English,/E/EnglAu00.htm,DL,0,2,2012,False
Marcus Forston,/F/ForsMa00.htm,DL,0,2,2013,False
Morgan Fox,/F/FoxxMo00.htm,DL,0,4,2019,True
A.J. Francis,/F/FranA.00.htm,DL,0,4,2017,False
Justin Francis,/F/FranJu00.htm,DL,0,1,2012,False
Sione Fua,/F/FuaxSi00.htm,DL,0,4,2014,False
Greg Gaines,/G/GainGr00.htm,DL,0,1,2019,True
Ben Garland,/G/GarlBe00.htm,DL,0,8,2019,True
Rashan Gary,/G/GaryRa00.htm,DL,0,1,2019,True
Woodrow Hamilton,/H/HamiWo00.htm,DL,0,2,2017,False
Trent Harris,/H/HarrTr01.htm,DL,0,1,2019,True
Cam Henderson,/H/HendCa00.htm,DL,0,1,2014,False
Frank Herron,/H/HerrFr00.htm,DL,0,1,2019,True
Trysten Hill,/H/HillTr00.htm,DL,0,1,2019,True
Jarvis Jenkins,/J/JenkJa01.htm,DL,0,7,2018,False
Bryan Johnson,/J/JohnBr04.htm,DL,0,1,2014,False
Lyndon Johnson,/J/JohnLy00.htm,DL,0,1,2018,True
Dre'Mont Jones,/J/JoneDr00.htm,DL,0,1,2019,True
Johnny Jones,/J/JoneJo01.htm,DL,0,1,2012,False
Kingsley Keke,/K/KekeKi00.htm,DL,0,1,2019,True
Karl Klug,/K/KlugKa00.htm,DL,0,7,2017,False
Tyler Lancaster,/L/LancTy00.htm,DL,0,2,2019,True
Devaroe Lawrence,/L/LawrDe02.htm,DL,0,2,2019,True
Dexter Lawrence,/L/LawrDe03.htm,DL,0,1,2019,True
Lazarius Levingston,/L/LeviLa00.htm,DL,0,2,2012,False
Daylon Mack,/M/MackDa00.htm,DL,0,1,2019,True
Cliff Matthews,/M/MattCl01.htm,DL,0,5,2016,False
Terrell McClain,/M/McClTe00.htm,DL,0,9,2019,True
Jacobbi McDaniel,/M/McDaJa00.htm,DL,0,1,2014,False
Pernell McPhee,/M/McPhPe00.htm,DL,0,9,2019,True
Dontay Moch,/M/MochDo00.htm,DL,0,3,2014,False
Anthony Nelson,/N/NelsAn01.htm,DL,0,1,2019,True
Drake Nevis,/N/NeviDr00.htm,DL,0,3,2013,False
Lawrence Okoye,/O/OkoyLa00.htm,DL,0,1,2014,False
Ed Oliver,/O/OlivEd00.htm,DL,0,1,2019,True
Charles Omenihu,/O/OmenCh00.htm,DL,0,1,2019,True
Cheta Ozougwu,/O/OzouCh00.htm,DL,0,3,2014,False
Lucas Patterson,/P/PattLu00.htm,DL,0,1,2012,False
Kyle Phillips,/P/PhilKy00.htm,DL,0,1,2019,True
Jerrell Powe,/P/PoweJe00.htm,DL,0,4,2014,False
Xavier Proctor,/P/ProcXa00.htm,DL,0,1,2014,False
Brooks Reed,/R/ReedBr00.htm,DL,0,9,2019,True
D'Aundre Reed,/R/ReedD'00.htm,DL,0,1,2012,False
Tracy Robertson,/R/RobeTr01.htm,DL,0,1,2013,False
Greg Romeus,/R/RomeGr00.htm,DL,0,1,2012,False
Dontavius Russell,/R/RussDo00.htm,DL,0,1,2019,True
Brian Sanford,/S/SanfBr00.htm,DL,0,3,2013,False
Jabaal Sheard,/S/SheaJa00.htm,DL,0,9,2019,True
Jeffery Simmons,/S/SimmJe01.htm,DL,0,1,2019,True
Justin Staples,/S/StapJu00.htm,DL,0,3,2016,False
Emmanuel Stephens,/S/StepEm00.htm,DL,0,2,2012,False
Phil Taylor,/T/TaylPh00.htm,DL,0,4,2014,False
Jerry Tillery,/T/TillJe00.htm,DL,0,1,2019,True
Kiante Tripp,/T/TripKi00.htm,DL,0,1,2011,False
Shy Tuttle,/T/TuttSh00.htm,DL,0,1,2019,True
Tyrunn Walker,/W/WalkTy00.htm,DL,0,6,2017,False
Armon Watts,/W/WattAr01.htm,DL,0,1,2019,True
Christian Wilkins,/W/WilkCh00.htm,DL,0,1,2019,True
Quinnen Williams,/W/WillQu00.htm,DL,0,1,2019,True
Renell Wren,/W/WrenRe00.htm,DL,0,1,2019,True
