Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
George Achica,/A/AchiGe20.htm,DT,0,1,1985,False
Rick Ackerman,/A/AckeRi20.htm,NT-DT,0,6,1987,False
Anthony Adams,/A/AdamAn20.htm,DT-NT,0,9,2011,False
Chet Adams,/A/AdamCh20.htm,T-E-DT,0,12,1950,False
Julius Adams,/A/AdamJu00.htm,DE-DT,0,17,1987,False
Montravius Adams,/A/AdamMo00.htm,DT,0,3,2019,True
Sam Adams,/A/AdamSa00.htm,DT-DE,0,14,2007,False
Titus Adams,/A/AdamTi00.htm,DT,0,1,2009,False
Mel Agee,/A/AgeeMe20.htm,DE-DT,0,5,1995,False
Ray Agnew,/A/AgneRa20.htm,DT-DE,0,11,2000,False
Chidi Ahanotu,/A/AhanCh20.htm,DE-DT,0,12,2004,False
Bill Albright,/A/AlbrBi20.htm,G-T-DT,0,4,1954,False
Chas Alecxih,/A/AlecCh00.htm,DT,0,3,2014,False
Jay Alford,/A/AlfoJa99.htm,DT,0,4,2010,False
Beau Allen,/A/AlleBe00.htm,DT,0,6,2019,True
Jonathan Allen,/A/AlleJo01.htm,DT,0,3,2019,True
Kenderick Allen,/A/AlleKe20.htm,DT,0,4,2006,False
Jeff Alm,/A/AlmxJe20.htm,DT,0,4,1993,False
Jim Althoff,/A/AlthJi20.htm,DT,0,1,1987,False
Tyson Alualu,/A/AluaTy99.htm,DT,0,10,2019,True
Steve Alvord,/A/AlvoSt20.htm,DT,0,2,1988,False
Lyle Alzado,/A/AlzaLy00.htm,DE-DT,0,15,1985,False
Richard Amman,/A/AmmaRi20.htm,DE-DT,0,2,1973,False
Abdullah Anderson,/A/AndeAb00.htm,DT,0,1,2019,True
Antonio Anderson,/A/AndeAn22.htm,DT-DE,0,2,1998,False
Bruce Anderson,/A/AndeBr21.htm,DE-DT,0,5,1970,False
Curtis Anderson,/A/AndeCu20.htm,DE-DT,0,1,1979,False
