Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Joe Abbey,/A/AbbeJo20.htm,E,0,2,1949,False
Danny Abramowicz,/A/AbraDa00.htm,E,0,8,1974,False
Nate Abrams,/A/AbraNa20.htm,E,0,1,1921,False
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False
Chet Adams,/A/AdamCh20.htm,T-E-DT,0,12,1950,False
John Adams,/A/AdamJo00.htm,E-FB,0,5,1963,False
Neal Adams,/A/AdamNe20.htm,E,0,6,1947,False
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False
Joe Aguirre,/A/AguiJo20.htm,E,0,9,1949,False
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False
Bruce Alford,/A/AlfoBr01.htm,E-DB,0,6,1951,False
Ed Allen,/A/AlleEd20.htm,E,0,1,1928,False
Neely Allison,/A/AlliNe20.htm,E,0,3,1928,False
Bob Allman,/A/AllmBo20.htm,E,0,1,1936,False
Stan Andersen,/A/AndeSt20.htm,T-E,0,2,1941,False
Bill Anderson,/A/AndeBi00.htm,E-TE,0,9,1966,False
Cliff Anderson,/A/AndeCl00.htm,E,0,2,1953,False
Charlie Anderson,/A/AndeCh20.htm,DE-E,0,1,1956,False
Eddie Anderson,/A/AndeEd20.htm,E,0,4,1925,False
Ralph Anderson,/A/AndeRa00.htm,E,0,3,1960,False
Sugarfoot Anderson,/A/AndeSu20.htm,E,0,1,1947,False
Winnie Anderson,/A/AndeWi22.htm,E,0,1,1936,False
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False
Chuck Apolskis,/A/ApolCh20.htm,E,0,2,1939,False
Julie Archoska,/A/ArchJu20.htm,E,0,1,1930,False
Gump Ariail,/A/AriaGu20.htm,E,0,1,1934,False
Neill Armstrong,/A/ArmsNe00.htm,E-DB,0,5,1951,False
Jon Arnett,/A/ArneJo00.htm,HB-E,0,10,1966,False
Cliff Ashburn,/A/AshbCl20.htm,G-T-E,0,1,1929,False
Jack Atchason,/A/AtchJa00.htm,E,0,1,1960,False
Burl Atcheson,/A/AtchBu20.htm,E,0,1,1922,False
Jim Austin,/A/AustJi20.htm,E,0,3,1939,False
Harry Babcock,/B/BabcHa00.htm,E-DE,0,3,1955,False
Carl Bacchus,/B/BaccCa20.htm,E,0,2,1928,False
Joe Bachmaier,/B/BachJo20.htm,C-G-T-E,0,5,1924,False
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False
Red Badgro,/B/BadgRe20.htm,E-DE,1,10,1936,False
Bill Bailey,/B/BailBi20.htm,E-DE,0,2,1941,False
Frank Baker,/B/BakeFr20.htm,E,0,1,1931,False
Ed Balatti,/B/BalaEd20.htm,E-DB,0,3,1948,False
Al Baldwin,/B/BaldAl00.htm,E-DB,0,4,1950,False
Burr Baldwin,/B/BaldBu20.htm,E-DE,0,3,1949,False
George Baldwin,/B/BaldGe20.htm,E-T,0,1,1925,False
Hugh Bancroft,/B/BancHu20.htm,E,0,1,1923,False
John Bandura,/B/BandJo20.htm,E,0,1,1943,False
Ed Barker,/B/BarkEd00.htm,E,0,2,1954,False
George Barna,/B/BarnGe20.htm,E,0,1,1929,False
Charles Barnard,/B/BarnCh20.htm,E,0,1,1938,False
Charlie Barnes,/B/BarnCh00.htm,E,0,1,1961,False
Bob Barrabee,/B/BarrBo20.htm,E,0,1,1931,False
Bob Barrett,/B/BarrBo21.htm,E,0,1,1960,False
Jan Barrett,/B/BarrJa00.htm,E,0,2,1964,False
Jeff Barrett,/B/BarrJe21.htm,E,0,3,1938,False
John Barrett,/B/BarrJo20.htm,C-T-E,0,5,1928,False
Johnny Barrett,/B/BarrJo21.htm,E-HB,0,1,1920,False
Bert Baston,/B/BastBe20.htm,E,0,1,1920,False
John Batorski,/B/BatoJo20.htm,E,0,1,1946,False
Herb Bauer,/B/BaueHe20.htm,E,0,1,1925,False
Harry Baujan,/B/BaujHa20.htm,E,0,2,1921,False
Bill Baumgartner,/B/BaumBi20.htm,E,0,1,1947,False
Reaves Baysinger,/B/BaysRe20.htm,E,0,1,1924,False
Alyn Beals,/B/BealAl00.htm,E-DE,0,6,1951,False
Hub Bechtol,/B/BechHu20.htm,E,0,3,1949,False
Wayland Becker,/B/BeckWa20.htm,E,0,6,1939,False
Gene Bedford,/B/BedfGe20.htm,E,0,2,1926,False
Charlie Behan,/B/BehaCh20.htm,E,0,1,1942,False
Bill Belanich,/B/BelaBi20.htm,T-E,0,3,1929,False
Les Belding,/B/BeldLe20.htm,E-B,0,1,1925,False
Jim Benton,/B/BentJi00.htm,E,0,10,1947,False
Eddie Benz,/B/BenzEd20.htm,E,0,1,1922,False
Ed Bernet,/B/BernEd00.htm,E,0,6,1960,False
Bill Berrehsem,/B/BerrBi20.htm,T-E,0,1,1926,False
Ed Berrang,/B/BerrEd20.htm,DE-E,0,4,1952,False
Charlie Berry,/B/BerrCh20.htm,E,0,2,1926,False
Connie Mack Berry,/B/BerrCo20.htm,E,0,9,1947,False
Raymond Berry,/B/BerrRa00.htm,E,1,13,1967,False
Ed Berwick,/B/BerwEd20.htm,C-E,0,1,1926,False
Dick Bielski,/B/BielDi00.htm,E-FB,0,9,1963,False
Tom Bienemann,/B/BienTo20.htm,DE-E-LB,0,6,1956,False
Scotty Bierce,/B/BierSc20.htm,E,0,6,1925,False
Lyle Bigbee,/B/BigbLy20.htm,E,0,1,1922,False
Jack Bighead,/B/BighJa00.htm,DE-E,0,2,1955,False
Joe Biscaha,/B/BiscJo00.htm,E,0,2,1960,False
