Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Josh Allen,/A/AlleJo03.htm,EDGE,0,1,2019,True
Ben Banogu,/B/BanoBe00.htm,EDGE,0,1,2019,True
Nick Bosa,/B/BosaNi00.htm,EDGE,0,1,2019,True
Austin Bryant,/B/BryaAu00.htm,EDGE,0,1,2019,True
Brian Burns,/B/BurnBr00.htm,EDGE,0,1,2019,True
Maxx Crosby,/C/CrosMa00.htm,EDGE,0,1,2019,True
Clelin Ferrell,/F/FerrCl00.htm,EDGE,0,1,2019,True
Justin Hollins,/H/HollJu00.htm,EDGE,0,1,2019,True
Joe Jackson,/J/JackJo02.htm,EDGE,0,1,2019,True
Christian Miller,/M/MillCh04.htm,EDGE,0,1,2019,True
Shareef Miller,/M/MillSh00.htm,EDGE,0,1,2019,True
Montez Sweat,/S/SweaMo00.htm,EDGE,0,1,2019,True
Chase Winovich,/W/WinoCh00.htm,EDGE,0,1,2019,True
Oshane Ximines,/X/XimiOs00.htm,EDGE,0,1,2019,True
