Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Fred Abel,/A/AbelFr20.htm,BB-FB,0,1,1926,False
Tony Adamle,/A/AdamTo02.htm,LB-FB,0,8,1954,False
John Adams,/A/AdamJo00.htm,E-FB,0,5,1963,False
Sam Agee,/A/AgeeSa20.htm,FB,0,2,1939,False
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False
Ray Agnew,/A/AgneRa00.htm,FB,0,1,2014,False
Frank Akins,/A/AkinFr00.htm,FB,0,4,1946,False
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False
Don Allen,/A/AlleDo01.htm,FB,0,1,1960,False
Eddie Allen,/A/AlleEd21.htm,FB-LB,0,1,1947,False
Alan Ameche,/A/AmecAl00.htm,FB,0,6,1960,False
Deon Anderson,/A/AndeDe01.htm,FB,0,4,2010,False
Richie Anderson,/A/AndeRi00.htm,FB,0,12,2004,False
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False
Alex Armah,/A/ArmaAl00.htm,FB,0,3,2019,True
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False
Bill Ashbaugh,/A/AshbBi20.htm,FB-WB,0,2,1925,False
Matt Asiata,/A/AsiaMa00.htm,FB,0,5,2016,False
B.J. Askew,/A/AskeB.00.htm,FB,0,7,2009,False
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False
Dale Atkeson,/A/AtkeDa00.htm,FB,0,3,1956,False
Reggie Attache,/A/AttaRe20.htm,WB-FB,0,1,1922,False
Butch Avinger,/A/AvinBu00.htm,FB,0,1,1953,False
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False
Gene Babb,/B/BabbGe20.htm,LB-FB,0,7,1963,False
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False
Ken Bahnsen,/B/BahnKe00.htm,FB,0,1,1953,False
Art Baker,/B/BakeAr00.htm,FB,0,2,1962,False
Sam Baker,/B/BakeSa20.htm,K-FB,0,17,1969,False
Frank Balazs,/B/BalaFr20.htm,FB-LB-DB,0,7,1945,False
Bob Baldwin,/B/BaldBo20.htm,FB,0,1,1966,False
Mark Barber,/B/BarbMa20.htm,FB-LB,0,1,1937,False
Darian Barnes,/B/BarnDa00.htm,FB,0,7,2008,False
Larry Barnes,/B/BarnLa20.htm,FB,0,4,1960,False
Eddie Barnikow,/B/BarnEd20.htm,FB,0,1,1926,False
Paul Barry,/B/BarrPa00.htm,FB-HB,0,5,1954,False
John Barsha,/B/BarsJo20.htm,FB,0,1,1920,False
Sam Bartholomew,/B/BartSa20.htm,FB,0,1,1941,False
Dick Bass,/B/BassDi00.htm,FB-HB,0,10,1969,False
Maurice Bassett,/B/BassMo00.htm,FB,0,3,1956,False
Pat Batten,/B/BattPa20.htm,FB,0,1,1964,False
Cliff Battles,/B/BattCl20.htm,TB-FB-WB-DB,1,6,1937,False
Jarrod Baxter,/B/BaxtJa00.htm,FB,0,4,2005,False
Fred Beasley,/B/BeasFr00.htm,FB,0,8,2005,False
Steve Belichick,/B/BeliSt20.htm,FB,0,1,1941,False
Joe Bernstein,/B/BernJo20.htm,FB-G-T,0,4,1924,False
Jim Bertoglio,/B/BertJi20.htm,FB,0,1,1926,False
John Bettridge,/B/BettJo20.htm,FB,0,1,1937,False
Dick Bielski,/B/BielDi00.htm,E-FB,0,9,1963,False
Herb Bizer,/B/BizeHe20.htm,E-FB,0,1,1929,False
Stub Blackman,/B/BlacSt21.htm,FB,0,1,1930,False
Jim Blumenstock,/B/BlumJi20.htm,FB,0,1,1947,False
Ping Bodie,/B/BodiPi20.htm,FB,0,1,1921,False
George Bogue,/B/BoguGe20.htm,FB,0,1,1930,False
Tommy Bohanon,/B/BohaTo00.htm,FB,0,6,2018,False
George Bolan,/B/BolaGe20.htm,FB,0,4,1924,False
Bob Books,/B/BookBo20.htm,FB,0,1,1926,False
Don Bosseler,/B/BossDo00.htm,FB,0,8,1964,False
Bill Bowman,/B/BowmBi00.htm,FB,0,4,1957,False
Dorson Boyce,/B/BoycDo00.htm,FB,0,1,2012,False
Mike Boyda,/B/BoydMi20.htm,LB-FB,0,1,1949,False
Hezekiah Braxton,/B/BraxHe00.htm,FB,0,2,1963,False
John Brewer,/B/BrewJo21.htm,FB,0,2,1953,False
