Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Andrew Adams,/A/AdamAn00.htm,FS,0,4,2019,True
Adrian Amos,/A/AmosAd00.htm,FS,0,5,2019,True
Tim Atchison,/A/AtchTi00.htm,FS,0,1,2011,False
Dion Bailey,/B/BailDi00.htm,FS,0,2,2015,False
Budda Baker,/B/BakeBu00.htm,FS,0,3,2019,True
Lonnie Ballentine,/B/BallLo00.htm,FS,0,3,2016,False
Jessie Bates,/B/BateJe00.htm,FS,0,2,2019,True
Tre Boston,/B/BostTr00.htm,FS,0,6,2019,True
John Boyett,/B/BoyeJo00.htm,FS,0,1,2014,False
Terrence Brooks,/B/BrooTe00.htm,FS,0,6,2019,True
C.B. Bryant,/B/BryaC.00.htm,FS,0,3,2016,False
Deon Bush,/B/BushDe00.htm,FS,0,4,2019,True
D.J. Campbell,/C/CampD.00.htm,FS,0,2,2013,False
Sean Cattouse,/C/CattSe00.htm,FS,0,2,2013,False
Sean Chandler,/C/ChanSe00.htm,FS,0,2,2019,True
Chuck Clark,/C/ClarCh00.htm,FS,0,3,2019,True
Ha Ha Clinton-Dix,/C/ClinHa00.htm,FS,0,6,2019,True
Demetrious Cox,/C/CoxxDe00.htm,FS,0,1,2017,False
Jordan Dangerfield,/D/DangJo00.htm,FS,0,6,2019,True
Sean Davis,/D/DaviSe00.htm,FS,0,4,2019,True
Jonathan Dowling,/D/DowlJo00.htm,FS,0,1,2014,False
Josh Evans,/E/EvanJo00.htm,FS,0,4,2016,False
Clayton Fejedelem,/F/FejeCl00.htm,FS,0,4,2019,True
Minkah Fitzpatrick,/F/FitzMi00.htm,FS,0,2,2019,True
Kavon Frazier,/F/FrazKa00.htm,FS,0,4,2019,True
T.J. Green,/G/GreeT.00.htm,FS,0,4,2019,True
Jakar Hamilton,/H/HamiJa00.htm,FS,0,2,2014,False
Brandon Hardin,/H/HardBr01.htm,FS,0,1,2012,False
Duron Harmon,/H/HarmDu00.htm,FS,0,7,2019,True
Delano Hill,/H/HillDe02.htm,FS,0,3,2019,True
Malik Hooker,/H/HookMa00.htm,FS,0,3,2019,True
DeAndre Houston-Carson,/H/HousDe00.htm,FS,0,4,2019,True
Marqueston Huff,/H/HuffMa00.htm,FS,0,3,2016,False
Godwin Igwebuike,/I/IgweGo00.htm,FS,0,1,2018,False
George Iloka,/I/IlokGe00.htm,FS,0,7,2018,False
Natrell Jamerson,/J/JameNa00.htm,FS,0,2,2019,True
Tony Jefferson,/J/JeffTo00.htm,FS,0,7,2019,True
Rayshawn Jenkins,/J/JenkRa00.htm,FS,0,3,2019,True
Dontae Johnson,/J/JohnDo02.htm,FS,0,6,2019,True
Desmond King,/K/KingDe01.htm,FS,0,3,2019,True
Kenny Ladler,/L/LadlKe00.htm,FS,0,6,2019,True
Markelle Martin,/M/MartMa00.htm,FS,0,1,2012,False
Marcus Maye,/M/MayeMa00.htm,FS,0,3,2019,True
T.J. McDonald,/M/McDoTJ00.htm,FS,0,6,2018,True
Bradley McDougald,/M/McDoBr01.htm,FS,0,7,2019,True
Rontez Miles,/M/MileRo00.htm,FS,0,7,2019,True
Rahim Moore,/M/MoorRa00.htm,FS,0,5,2015,False
Ryan Murphy,/M/MurpRy00.htm,FS,0,1,2017,False
Kai Nacua,/N/NacuKa00.htm,FS,0,1,2017,True
Keanu Neal,/N/NealKe01.htm,FS,0,4,2019,True
Robert Nelson,/N/NelsRo00.htm,FS,0,4,2017,False
Eric Pinkins,/P/PinkEr00.htm,FS,0,3,2016,False
Tyvis Powell,/P/PoweTy01.htm,FS,0,3,2018,True
Calvin Pryor,/P/PryoCa00.htm,FS,0,4,2017,False
Bacarri Rambo,/R/RambBa00.htm,FS,0,4,2016,False
Damarious Randall,/R/RandDa00.htm,FS,0,5,2019,True
Jeremy Reaves,/R/ReavJe00.htm,FS,0,2,2019,True
Eric Reid,/R/ReidEr00.htm,FS,0,7,2019,True
Justin Reid,/R/ReidJu00.htm,FS,0,2,2019,True
Ed Reynolds,/R/ReynEd00.htm,FS,0,3,2016,False
Robert Sands,/S/SandRo00.htm,FS,0,2,2012,False
Tim Scott,/S/ScotTi00.htm,FS,0,1,2017,False
Justin Simmons,/S/SimmJu00.htm,FS,0,4,2019,True
Derron Smith,/S/SmitDe05.htm,FS,0,3,2017,False
Harrison Smith,/S/SmitHa00.htm,FS,0,8,2019,True
Maurice Smith,/S/SmitMa04.htm,FS,0,3,2019,True
Daimion Stafford,/S/StafDa00.htm,FS,0,4,2016,False
D.J. Swearinger,/S/SweaDJ00.htm,FS,0,7,2019,True
Ahmad Thomas,/T/ThomAh00.htm,FS,0,2,2019,True
Phillip Thomas,/T/ThomPh00.htm,FS,0,1,2014,False
Christian Thompson,/T/ThomCh01.htm,FS,0,1,2012,False
Darian Thompson,/T/ThomDa05.htm,FS,0,4,2019,True
Michael Tyson,/T/TysoMi00.htm,FS,0,1,2018,True
Kenny Vaccaro,/V/VaccKe00.htm,FS,0,7,2019,True
Armani Watts,/W/WattAr00.htm,FS,0,2,2019,True
Marcus Williams,/W/WillMa06.htm,FS,0,3,2019,True
Tavon Wilson,/W/WilsTa00.htm,FS,0,8,2019,True
Ty Zimmerman,/Z/ZimmTy00.htm,FS,0,1,2014,False
