Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
George Abramson,/A/AbraGe20.htm,G-T,0,1,1925,False
Tom Ackerman,/A/AckeTo20.htm,G-C,0,8,2003,False
Bill Adams,/A/AdamBi20.htm,G-T,0,7,1978,False
Flozell Adams,/A/AdamFl00.htm,T-G-TE,0,13,2010,False
Pete Adams,/A/AdamPe20.htm,G,0,3,1976,False
Sam Adams,/A/AdamSa20.htm,G-T,0,10,1981,False
Scott Adams,/A/AdamSc20.htm,G-T,0,6,1997,False
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False
Ken Adamson,/A/AdamKe00.htm,G,0,3,1962,False
Mark Adickes,/A/AdicMa20.htm,G,0,6,1991,False
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False
Roy Adkins,/A/AdkiRo20.htm,G,0,1,1920,False
Dick Afflis,/A/AfflDi20.htm,T-DG-G,0,4,1954,False
Alex Agase,/A/AgasAl20.htm,LB-G,0,7,1953,False
Jim Ailinger,/A/AiliJi20.htm,G,0,1,1924,False
Charles Aiu,/A/AiuxCh20.htm,G,0,3,1978,False
Len Akin,/A/AkinLe20.htm,G-LB,0,1,1942,False
Branden Albert,/A/AlbeBr20.htm,G,0,9,2016,False
Tom Alberghini,/A/AlbeTo20.htm,G,0,1,1945,False
Ted Albrecht,/A/AlbrTe20.htm,T-G,0,5,1981,False
Bill Albright,/A/AlbrBi20.htm,G-T-DT,0,4,1954,False
Ethan Albright,/A/AlbrEt20.htm,G-C-T,0,16,2010,False
Grady Alderman,/A/AldeGr00.htm,T-G,0,15,1974,False
Ki Aldrich,/A/AldrKi20.htm,C-LB-G,0,9,1947,False
Keith Alex,/A/AlexKe20.htm,G,0,1,1993,False
Steve Alexakos,/A/AlexSt20.htm,G,0,2,1971,False
Dan Alexander,/A/AlexDa20.htm,G-T,0,13,1989,False
