Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Duke Abbruzzi,/A/AbbrDu20.htm,HB-DB,0,1,1946,False
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False
Al Akins,/A/AkinAl20.htm,HB-DB,0,3,1948,False
Bennie Aldridge,/A/AldrBe00.htm,DB-HB,0,4,1953,False
Buddy Allen,/A/AlleBu00.htm,HB,0,1,1961,False
John Amberg,/A/AmbeJo00.htm,DB-HB,0,2,1952,False
Dave Ames,/A/AmesDa00.htm,HB-DB,0,1,1961,False
Vito Ananis,/A/AnanVi20.htm,HB-DB,0,1,1945,False
Billy Anderson,/A/AndeBi01.htm,DB-HB,0,2,1954,False
Bob Anderson,/A/AndeBo01.htm,HB,0,1,1963,False
Elmer Angsman,/A/AngsEl00.htm,HB,0,7,1952,False
Jim Apple,/A/ApplJi00.htm,HB,0,1,1961,False
Joe Arenas,/A/ArenJo00.htm,HB-DB,0,7,1957,False
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False
Jon Arnett,/A/ArneJo00.htm,HB-E,0,10,1966,False
Billy Atkins,/A/AtkiBi00.htm,DB-HB,0,7,1964,False
Pervis Atkins,/A/AtkiPe00.htm,FL-HB-WR,0,6,1966,False
John Atwood,/A/AtwoJo20.htm,HB-WB-DB,0,1,1948,False
Steve Bagarus,/B/BagaSt20.htm,HB-DB,0,4,1948,False
Billy Baggett,/B/BaggBi00.htm,HB-DB,0,1,1952,False
Byron Bailey,/B/BailBy00.htm,HB,0,2,1953,False
Bill Baird,/B/BairBi20.htm,DB-HB,0,7,1969,False
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False
Lou Baldacci,/B/BaldLo00.htm,HB,0,1,1956,False
Herb Banet,/B/BaneHe20.htm,TB-HB-DB,0,1,1937,False
Jack Banta,/B/BantJa20.htm,HB,0,8,1948,False
Lou Barle,/B/BarlLo20.htm,HB-QB,0,2,1939,False
Billy Ray Barnes,/B/BarnBi00.htm,HB,0,10,1966,False
Tom Barnett,/B/BarnTo00.htm,HB-DB,0,2,1960,False
Terry Barr,/B/BarrTe00.htm,HB-DB-FL,0,9,1965,False
Johnny Barrett,/B/BarrJo21.htm,E-HB,0,1,1920,False
Norm Barry,/B/BarrNo20.htm,BB-HB,0,2,1922,False
Paul Barry,/B/BarrPa00.htm,FB-HB,0,5,1954,False
Earl Bartlett,/B/BartEa20.htm,HB,0,1,1939,False
Don Barton,/B/BartDo00.htm,HB,0,1,1953,False
Joe Bartos,/B/BartJo00.htm,DB-HB,0,1,1950,False
Nick Basca,/B/BascNi20.htm,HB,0,1,1941,False
Dick Bass,/B/BassDi00.htm,FB-HB,0,10,1969,False
Reds Bassman,/B/BassRe20.htm,HB,0,1,1936,False
Joe Billy Baumgardner,/B/BaumJo20.htm,HB,0,1,1948,False
Jim Bausch,/B/BausJi20.htm,HB,0,1,1933,False
Craig Baynham,/B/BaynCr00.htm,HB,0,6,1972,False
John Beckwith,/B/BeckJo22.htm,HB,0,1,1920,False
Henry Bell,/B/BellHe00.htm,HB,0,1,1960,False
Joe Bellino,/B/BellJo00.htm,HB,0,3,1967,False
Frank Bernardi,/B/BernFr20.htm,DB-HB,0,6,1960,False
Rex Berry,/B/BerrRe21.htm,DB-HB,0,6,1956,False
Wayne Berry,/B/BerrWa00.htm,HB-DB,0,1,1954,False
Will Berzinski,/B/BerzWi00.htm,HB,0,1,1956,False
Don Bingham,/B/BingDo00.htm,HB,0,1,1956,False
John Binotto,/B/BinoJo20.htm,HB,0,1,1942,False
Charlie Bivins,/B/BiviCh00.htm,HB-TE,0,8,1967,False
Hal Blackwell,/B/BlacHa21.htm,HB-DB,0,1,1945,False
Mel Bleeker,/B/BleeMe20.htm,HB,0,4,1947,False
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False
Bill Boedeker,/B/BoedBi20.htm,HB,0,5,1950,False
Dewey Bohling,/B/BohlDe00.htm,HB,0,2,1961,False
Leroy Bolden,/B/BoldLe20.htm,HB,0,2,1959,False
J.R. Boone,/B/BoonJ.20.htm,E-HB,0,6,1953,False
Steve Bowman,/B/BowmSt20.htm,HB,0,1,1966,False
Cloyce Box,/B/BoxxCl00.htm,E-HB,0,6,1954,False
George Brancato,/B/BranGe20.htm,HB-DB,0,1,1954,False
Jim Brandt,/B/BranJi20.htm,DB-HB,0,3,1954,False
Solomon Brannan,/B/BranSo20.htm,DB-HB,0,3,1967,False
Bill Bredde,/B/BredBi20.htm,DB-HB,0,1,1954,False
Untz Brewer,/B/BrewUn20.htm,HB,0,1,1922,False
Bobby Brezina,/B/BrezBo20.htm,HB,0,1,1963,False
Charley Brock,/B/BrocCh20.htm,C-HB-FB,0,9,1947,False
Charlie Brown,/B/BrowCh22.htm,DB-HB,0,3,1968,False
Dave Brown,/B/BrowDa21.htm,WB-FB-HB,0,5,1947,False
Don Brown,/B/BrowDo20.htm,HB,0,1,1960,False
Fred Brown,/B/BrowFr00.htm,HB,0,3,1963,False
Marv Brown,/B/BrowMa23.htm,HB,0,1,1957,False
Matt Brown,/B/BrowMa24.htm,HB,0,1,1920,False
Willie Brown,/B/BrowWi00.htm,WR-HB,0,3,1966,False
Charlie Browning,/B/BrowCh27.htm,HB,0,1,1965,False
Walter Bryan,/B/BryaWa20.htm,DB-HB,0,1,1955,False
Ralph Buckley,/B/BuckRa20.htm,BB-HB,0,1,1930,False
Amos Bullocks,/B/BullAm00.htm,HB,0,5,1966,False
