Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Kiko Alonso,/A/AlonKi00.htm,ILB,0,7,2019,True
Stephone Anthony,/A/AnthSt00.htm,ILB,0,5,2019,True
Sam Barrington,/B/BarrSa00.htm,ILB,0,4,2016,False
Lamin Barrow,/B/BarrLa00.htm,ILB,0,2,2015,False
Steve Beauharnais,/B/BeauSt00.htm,ILB,0,2,2014,False
Kendell Beckwith,/B/BeckKe00.htm,ILB,0,1,2017,True
Ja'Whaun Bentley,/B/BentJa00.htm,ILB,0,2,2019,True
Keishawn Bierria,/B/BierKe00.htm,ILB,0,2,2019,True
Chris Borland,/B/BorlCh00.htm,ILB,0,1,2014,False
Kentrell Brothers,/B/BrotKe00.htm,ILB,0,4,2019,True
Blair Brown,/B/BrowBl00.htm,ILB,0,2,2018,False
Jayon Brown,/B/BrowJa06.htm,ILB,0,3,2019,True
Preston Brown,/B/BrowPr00.htm,ILB,0,6,2019,True
Max Bullough,/B/BullMa00.htm,ILB,0,3,2016,False
Riley Bullough,/B/BullRi00.htm,ILB,0,2,2018,True
Oren Burks,/B/BurkOr00.htm,ILB,0,2,2019,True
Jason Cabinda,/C/CabiJa00.htm,ILB,0,2,2019,True
Tank Carder,/C/CardTa00.htm,ILB,0,5,2016,False
Jack Cichy,/C/CichJa00.htm,ILB,0,2,2019,True
Audie Cole,/C/ColeAu00.htm,ILB,0,5,2016,False
Jarrad Davis,/D/DaviJa01.htm,ILB,0,3,2019,True
Tremaine Edmunds,/E/EdmuTr01.htm,ILB,0,2,2019,True
Jordan Evans,/E/EvanJo01.htm,ILB,0,3,2019,True
Rashaan Evans,/E/EvanRa01.htm,ILB,0,2,2019,True
Josh Forrest,/F/ForrJo00.htm,ILB,0,2,2017,False
Reuben Foster,/F/FostRe00.htm,ILB,0,2,2018,True
Ben Gedeon,/G/GedeBe00.htm,ILB,0,3,2019,True
Jeremiah George,/G/GeorJe01.htm,ILB,0,4,2017,False
Najee Goode,/G/GoodNa00.htm,ILB,0,8,2019,True
Bryce Hager,/H/HageBr00.htm,ILB,0,5,2019,True
Ben Heeney,/H/HeenBe00.htm,ILB,0,3,2017,False
Brandon Hepburn,/H/HepbBr00.htm,ILB,0,1,2014,False
Amarlo Herrera,/H/HerrAm00.htm,ILB,0,1,2015,False
Dont'a Hightower,/H/HighDo01.htm,ILB,0,8,2019,True
Mike Hull,/H/HullMi01.htm,ILB,0,4,2018,True
Andrew Jackson,/J/JackAn02.htm,ILB,0,1,2014,False
Josey Jewell,/J/JeweJo00.htm,ILB,0,2,2019,True
James-Michael Johnson,/J/JohnJa04.htm,ILB,0,4,2015,False
Nico Johnson,/J/JohnNi00.htm,ILB,0,3,2015,False
Christian Jones,/J/JoneCh05.htm,ILB,0,6,2019,True
Taiwan Jones,/J/JoneTa01.htm,ILB,0,1,2016,False
Eric Kendricks,/K/KendEr00.htm,ILB,0,5,2019,True
Mychal Kendricks,/K/KendMy00.htm,ILB,0,8,2019,True
Micah Kiser,/K/KiseMi00.htm,ILB,0,1,2018,True
A.J. Klein,/K/KleiAJ00.htm,ILB,0,7,2019,True
Luke Kuechly,/K/KuecLu00.htm,ILB,0,8,2019,True
Nick Kwiatkoski,/K/KwiaNi00.htm,ILB,0,4,2019,True
Harvey Langi,/L/LangHa00.htm,ILB,0,3,2019,True
Marquel Lee,/L/LeexMa01.htm,ILB,0,3,2019,True
Blake Martinez,/M/MartBl01.htm,ILB,0,4,2019,True
Tyler Matakevich,/M/MataTy00.htm,ILB,0,4,2019,True
David Mayo,/M/MayoDa00.htm,ILB,0,5,2019,True
Benardrick McKinney,/M/McKiBe00.htm,ILB,0,5,2019,True
Raekwon McMillan,/M/McMiRa02.htm,ILB,0,2,2019,True
Caleb McSurdy,/M/McSuCa00.htm,ILB,0,1,2012,False
Kevin Minter,/M/MintKe00.htm,ILB,0,7,2019,True
James Morris,/M/MorrJa01.htm,ILB,0,2,2015,False
Antonio Morrison,/M/MorrAn01.htm,ILB,0,3,2018,False
C.J. Mosley,/M/MoslC.00.htm,ILB,0,6,2019,True
Hardy Nickerson,/N/NickHa02.htm,ILB,0,3,2019,True
Jared Norris,/N/NorrJa00.htm,ILB,0,3,2018,False
Denzel Perryman,/P/PerrDe00.htm,ILB,0,5,2019,True
