Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Vince Abbott,/A/abbotvin01.htm,K,0,2,1988,False
Dick Absher,/A/AbshDi20.htm,LB-K,0,6,1972,False
Ben Agajanian,/A/AgajBe20.htm,K,0,20,1964,False
Roberto Aguayo,/A/AguaRo00.htm,K,0,1,2016,False
David Akers,/A/akersdav01.htm,K,0,16,2013,False
Sergio Albert,/A/AlbeSe20.htm,K,0,1,1974,False
Bruce Alford,/A/AlfoBr20.htm,K,0,3,1969,False
Raul Allegre,/A/allegrau01.htm,K,0,9,1991,False
Wilson Alvarez,/A/alvarwil01.htm,K,0,1,1981,False
Morten Andersen,/A/andermor01.htm,K,1,26,2007,False
Gary Anderson,/A/andergar02.htm,K,0,23,2004,False
Shane Andrus,/A/AndrSh00.htm,K,0,2,2010,False
Zenon Andrusyshyn,/A/AndrZe20.htm,P-K,0,1,1978,False
Jake Arians,/A/arianjak01.htm,K,0,1,2001,False
Obed Ariri,/A/aririobe01.htm,K,0,4,1987,False
Jess Atkinson,/A/atkinjes01.htm,K,0,4,1988,False
John Aveni,/A/AvenJo20.htm,K-DE,0,3,1961,False
Michael Badgley,/B/BadgMi00.htm,K,0,2,2019,True
Chris Bahr,/B/bahrxchr01.htm,K,0,14,1989,False
Matt Bahr,/B/bahrxmat01.htm,K,0,17,1995,False
Dan Bailey,/B/BailDa00.htm,K,0,9,2019,True
Jon Baker,/B/BakeJo24.htm,K,0,5,1999,False
Sam Baker,/B/BakeSa20.htm,K-FB,0,17,1969,False
Jim Bakken,/B/BakkJi20.htm,K,0,17,1978,False
Connor Barth,/B/barthco01.htm,K,0,10,2017,False
Charlie Baumann,/B/baumacha01.htm,K,0,2,1992,False
Braden Beck,/B/BeckBr20.htm,K,0,1,1971,False
Willie Beecher,/B/beechwil01.htm,K,0,1,1987,False
Bill Bell,/B/BellBi20.htm,K,0,3,1973,False
Rolf Benirschke,/B/benirrol01.htm,K,0,10,1986,False
Scott Bentley,/B/bentlsco01.htm,K,0,4,2000,False
George Benyola,/B/benyogeo01.htm,K,0,1,1987,False
Dean Biasucci,/B/biasudea01.htm,K,0,12,1995,False
Rob Bironas,/B/bironrob01.htm,K,0,9,2013,False
Tom Birney,/B/birnetom01.htm,K,0,2,1980,False
Don Bitterlich,/B/BittDo20.htm,K,0,1,1976,False
George Blair,/B/BlaiGe00.htm,DB-K,0,4,1964,False
Cary Blanchard,/B/blanccar01.htm,K,0,9,2000,False
Scott Blanton,/B/blantsco01.htm,K,0,3,1998,False
Novo Bojovic,/B/bojovnov01.htm,K,0,1,1985,False
Chris Boniol,/B/boniochr01.htm,K,0,6,1999,False
Dirk Borgognone,/B/BorgDi20.htm,K,0,1,1995,False
Chris Boswell,/B/BoswCh00.htm,K,0,5,2019,True
Danny Boyd,/B/boydxdan01.htm,K,0,1,2002,False
Kerry Brady,/B/bradyker01.htm,K,0,3,1989,False
Pat Brady,/B/BradPa21.htm,QB-K,0,3,1954,False
Jim Breech,/B/breecjim01.htm,K,0,14,1992,False
Doug Brien,/B/briendou01.htm,K,0,12,2005,False
Kyle Brindza,/B/BrinKy00.htm,K,0,1,2015,False
Jeff Brockhaus,/B/BrocJe20.htm,K,0,1,1987,False
Tommy Brooker,/B/BrooTo20.htm,E-K,0,5,1966,False
Josh Brown,/B/brownjos01.htm,K,0,14,2016,False
Kris Brown,/B/brownkri01.htm,K,0,12,2010,False
Matt Bryant,/B/bryanmat01.htm,K,0,18,2019,True
David Buehler,/B/BuehDa44.htm,K,0,3,2011,False
Randy Bullock,/B/BullRa00.htm,K,0,8,2019,True
Curtis Burrow,/B/burrocur01.htm,K,0,1,1988,False
Harrison Butker,/B/ButkHa00.htm,K,0,3,2019,True
Kevin Butler,/B/butlekev01.htm,K,0,13,1997,False
Skip Butler,/B/ButlSk20.htm,K,0,7,1977,False
Bill Capece,/C/capecbil01.htm,K,0,3,1983,False
Gino Cappelletti,/C/CappGi00.htm,FL-SE-DB-WR-K,0,11,1970,False
Daniel Carlson,/C/CarlDa00.htm,K,0,2,2019,True
John Carney,/C/carnejoh01.htm,K,0,23,2010,False
Dan Carpenter,/C/CarpDa44.htm,K,0,9,2016,False
Todd Carter,/C/CartTo21.htm,K,0,1,2010,False
Chandler Catanzaro,/C/CataCh00.htm,K,0,5,2018,False
Don Chandler,/C/ChanDo20.htm,P-K,0,12,1967,False
Jeff Chandler,/C/chandjef01.htm,K,0,3,2004,False
Steve Christie,/C/chrisste01.htm,K,0,15,2004,False
Jim Christopherson,/C/ChriJi20.htm,LB-K,0,1,1962,False
Brian Clark,/C/ClarBr21.htm,K,0,1,1982,False
Mike Clark,/C/ClarMi20.htm,K,0,11,1973,False
Mike Clendenen,/C/clendmik01.htm,K,0,1,1987,False
Don Cockroft,/C/cockrdon01.htm,K,0,13,1980,False
Mike Cofer,/C/cofermik01.htm,K,0,9,1995,False
Fred Cone,/C/ConeFr20.htm,FB-K,0,10,1960,False
Bobby Joe Conrad,/C/ConrBo00.htm,FL-DB-HB-WR-K,0,12,1969,False
Dave Conway,/C/ConwDa20.htm,K,0,1,1971,False
Brett Conway,/C/conwabre01.htm,K,0,6,2003,False
Travis Coons,/C/CoonTr00.htm,K,0,3,2017,False
Joe Cooper,/C/coopejoe01.htm,K,0,3,1986,False
Frank Corral,/C/corrafra01.htm,K,0,4,1981,False
Jose Cortez,/C/cortejos01.htm,K,0,7,2005,False
Paige Cothren,/C/CothPa20.htm,K,0,3,1959,False
Brandon Coutu,/C/CoutBr00.htm,K,0,1,2011,False
Fred Cox,/C/CoxxFr20.htm,K,0,15,1977,False
Steve Cox,/C/coxxxste01.htm,P-K,0,8,1988,False
Mason Crosby,/C/CrosMa20.htm,K,0,13,2019,True
Billy Cundiff,/C/cundibil01.htm,K,0,14,2015,False
