Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Rahim Abdullah,/A/AbduRa20.htm,LB,0,2,2000,False
Khalid Abdullah,/A/AbduKh20.htm,LB,0,1,2003,False
Bud Abell,/A/AbelBu20.htm,LB,0,3,1968,False
Robert Abraham,/A/AbraRo20.htm,LB,0,6,1987,False
Bobby Abrams,/A/AbraBo20.htm,LB,0,6,1995,False
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Dick Absher,/A/AbshDi20.htm,LB-K,0,6,1972,False
Steve Ache,/A/AcheSt20.htm,LB,0,1,1987,False
Ron Acks,/A/AcksRo20.htm,LB,0,9,1976,False
Tony Adamle,/A/AdamTo02.htm,LB-FB,0,8,1954,False
Doug Adams,/A/AdamDo20.htm,LB,0,4,1974,False
Earnest Adams,/A/AdamEa20.htm,LB,0,1,1987,False
Keith Adams,/A/AdamKe20.htm,LB,0,7,2007,False
Matthew Adams,/A/AdamMa00.htm,LB,0,2,2019,True
Stan Adams,/A/AdamSt20.htm,LB,0,1,1984,False
Tyrell Adams,/A/AdamTy00.htm,LB,0,4,2019,True
Willie Adams,/A/AdamWi20.htm,DE-LB,0,2,1966,False
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False
Tom Addison,/A/AddiTo00.htm,LB,0,8,1967,False
Nick Adduci,/A/AdduNi20.htm,LB,0,2,1955,False
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False
Xavier Adibi,/A/AdibXa99.htm,LB,0,5,2012,False
Spencer Adkins,/A/AdkiSp99.htm,LB,0,3,2011,False
Daniel Adongo,/A/AdonDa00.htm,LB,0,3,2015,False
Alex Agase,/A/AgasAl20.htm,LB-G,0,7,1953,False
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False
Dave Ahrens,/A/AhreDa20.htm,LB,0,10,1990,False
Victor Aiyewa,/A/AiyeVi00.htm,LB,0,1,2013,False
Hakim Akbar,/A/AkbaHa20.htm,LB,0,2,2002,False
Len Akin,/A/AkinLe20.htm,G-LB,0,1,1942,False
Azeez Al-Shaair,/A/AlShAz00.htm,LB,0,1,2019,True
