Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Danny Aiken,/A/AikeDa00.htm,LS,0,5,2015,False
Hunter Bradley,/B/BradHu00.htm,LS,0,2,2019,True
Aaron Brewer,/B/BrewAa00.htm,LS,0,8,2019,True
Beau Brinkley,/B/BrinBe00.htm,LS,0,8,2019,True
Kameron Canaday,/C/CanaKa00.htm,LS,0,4,2019,True
Joe Cardona,/C/CardJo00.htm,LS,0,5,2019,True
Austin Cutting,/C/CuttAu00.htm,LS\n,0,1,2019,True
Andrew DePaola,/D/DePaAn00.htm,LS,0,5,2018,False
Andrew East,/E/EastAn01.htm,LS,0,1,2018,False
Reid Ferguson,/F/FergRe00.htm,LS,0,3,2019,True
Nolan Frese,/F/FresNo00.htm,LS,0,1,2016,False
Josh Harris,/H/HarrJo02.htm,LS,0,8,2019,True
Derek Hart,/H/HartDe01.htm,LS,0,1,2017,False
Thomas Hennessy,/H/HennTh00.htm,LS,0,3,2019,True
Colin Holba,/H/HolbCo00.htm,LS,0,3,2019,True
Charley Hughlett,/H/HughCh01.htm,LS,0,6,2019,True
Casey Kreiter,/K/KreiCa00.htm,LS,0,4,2019,True
L.P. Ladouceur,/L/LadoL.20.htm,LS,0,15,2019,True
Rick Lovato,/L/LovaRi00.htm,LS,0,5,2019,True
Cole Mazza,/M/MazzCo01.htm,LS,0,1,2019,True
Kevin McDermott,/M/McDeKe00.htm,LS,0,6,2018,False
Jake McQuaide,/M/McQuJa00.htm,LS,0,9,2019,True
Tyler Ott,/O/OttxTy00.htm,LS,0,5,2019,True
Jeff Overbaugh,/O/OverJe00.htm,LS,0,2,2018,False
Matt Overton,/O/OverMa00.htm,LS,0,7,2018,False
Taybor Pepper,/P/PeppTa00.htm,LS,0,3,2019,True
Patrick Scales,/S/ScalPa00.htm,LS,0,6,2019,True
Trent Sieg,/S/SiegTr00.htm,LS,0,2,2019,True
Carson Tinker,/T/TinkCa00.htm,LS,0,6,2018,False
Zach Triner,/T/TrinZa00.htm,LS,0,1,2019,True
James Winchester,/W/WincJa00.htm,LS,0,5,2019,True
Christian Yount,/Y/YounCh02.htm,LS,0,4,2014,False
