Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Isaako Aaitui,/A/AaitIs00.htm,NT,0,2,2014,False
Bill Acker,/A/AckeBi20.htm,NT,0,8,1987,False
Rick Ackerman,/A/AckeRi20.htm,NT-DT,0,6,1987,False
Anthony Adams,/A/AdamAn20.htm,DT-NT,0,9,2011,False
Ira Albright,/A/AlbrIr20.htm,NT-RB,0,1,1987,False
Harvey Armstrong,/A/ArmsHa20.htm,NT,0,9,1990,False
Steve Baack,/B/BaacSt20.htm,NT-G-DE-DT,0,4,1987,False
Jerry Baker,/B/BakeJe20.htm,NT,0,1,1983,False
Gary Baldinger,/B/BaldGa20.htm,DE-NT,0,7,1992,False
Tom Baldwin,/B/BaldTo20.htm,NT-DT-DE,0,5,1988,False
Jerry Ball,/B/BallJe00.htm,NT-DT,0,13,1999,False
Michael Bankston,/B/BankMi21.htm,DE-NT-DT,0,9,2000,False
Roland Barbay,/B/BarbRo20.htm,NT,0,1,1987,False
Carl Barisich,/B/BariCa20.htm,DT-NT,0,9,1981,False
Tom Barndt,/B/BarnTo20.htm,DT-NT-G-C,0,6,2001,False
Bob Baumhower,/B/BaumBo00.htm,NT,0,10,1986,False
Monte Bennett,/B/BennMo20.htm,NT-DE,0,7,1987,False
Mitchell Benson,/B/BensMi20.htm,NT-DT,0,3,1991,False
Bill Berthusen,/B/BertBi20.htm,NT,0,1,1987,False
Richard Bishop,/B/BishRi20.htm,DE-NT,0,8,1983,False
Dennis Borcky,/B/BorcDe20.htm,NT,0,1,1987,False
Tony Bowick,/B/BowiTo20.htm,NT,0,1,1989,False
Jerry Boyarsky,/B/BoyaJe20.htm,NT,0,9,1989,False
Henry Bradley,/B/BradHe20.htm,NT-DT,0,4,1982,False
Willie Broughton,/B/BrouWi20.htm,DT-NT,0,12,1996,False
Rush Brown,/B/BrowRu22.htm,DT-NT-DE,0,4,1983,False
Thomas Brown,/B/BrowTh20.htm,DE-NT,0,4,1983,False
Rick Bryan,/B/BryaRi20.htm,DE-DT-NT-LB,0,10,1993,False
Steve Bryan,/B/BryaSt20.htm,DE-NT-LB,0,2,1988,False
Mark Buben,/B/BubeMa20.htm,DE-NT,0,4,1982,False
Brentson Buckner,/B/BuckBr20.htm,DT-DE-NT,0,12,2005,False
Jim Burt,/B/BurtJi00.htm,NT-DT,0,11,1991,False
Richard Byrd,/B/ByrdRi20.htm,DE-NT,0,5,1989,False
David Caldwell,/C/CaldDa21.htm,NT,0,1,1987,False
Joe Campbell,/C/CampJo21.htm,DE-NT,0,5,1981,False
John Cannon,/C/CannJo22.htm,DE-NT,0,9,1990,False
Michael Carter,/C/CartMi01.htm,NT,0,9,1992,False
Rubin Carter,/C/CartRu20.htm,NT-DT,0,12,1986,False
Tony Casillas,/C/CasiTo20.htm,DT-NT,0,12,1997,False
Mark Catano,/C/CataMa20.htm,NT,0,3,1986,False
Mike Charles,/C/CharMi20.htm,NT-DE-DT,0,9,1991,False
Tony Chickillo,/C/ChicTo20.htm,NT-DE-G,0,4,1987,False
Steve Clark,/C/ClarSt22.htm,G-NT,0,4,1985,False
Ken Clarke,/C/ClarKe24.htm,NT-DT,0,14,1991,False
Greg Cleveland,/C/ClevGr20.htm,NT,0,1,1987,False
Jackie Cline,/C/ClinJa20.htm,DE-NT,0,4,1990,False
Tony Colorito,/C/ColoTo20.htm,NT,0,1,1986,False
Tim Colston,/C/ColsTi20.htm,NT,0,1,1996,False
John Copeland,/C/CopeJo20.htm,DE-DT-NT,0,8,2000,False
Ron Crews,/C/CrewRo20.htm,NT-DE,0,1,1980,False
Randy Crowder,/C/CrowRa20.htm,DT-NT-DE,0,7,1980,False
Curley Culp,/C/CulpCu00.htm,DT-NT-G,1,14,1981,False
Peter Cusick,/C/CusiPe20.htm,NT,0,1,1975,False
Byron Darby,/D/DarbBy20.htm,DE-NT,0,7,1989,False
Charles Davis,/D/DaviCh21.htm,DT-NT,0,7,1980,False
Jerome Davis,/D/DaviJe22.htm,NT,0,1,1987,False
Travis Davis,/D/DaviTr21.htm,NT,0,2,1991,False
Mike Dawson,/D/DawsMi20.htm,DT-NT-DE,0,9,1984,False
Tony Degrate,/D/DegrTo20.htm,NT,0,1,1985,False
Charles DeJurnett,/D/DeJuCh20.htm,NT-DT,0,11,1986,False
Tony DeLuca,/D/DeLuTo20.htm,NT,0,1,1984,False
Vern Den Herder,/D/DenHVe20.htm,DE-NT,0,12,1982,False
Fred DeRiggi,/D/DeRiFr20.htm,NT,0,1,1990,False
Stacey Dillard,/D/DillSt20.htm,NT-DT,0,4,1995,False
Joe Dixon,/D/DixoJo20.htm,NT,0,1,1987,False
Ronnie Dixon,/D/DixoRo20.htm,DT-NT,0,6,1998,False
Joe Drake,/D/DrakJo20.htm,NT,0,3,1987,False
Darren Drozdov,/D/DrozDa20.htm,NT,0,1,1993,False
Gary Dunn,/D/DunnGa20.htm,NT-DT-DE,0,12,1987,False
James Eaddy,/E/EaddJa20.htm,NT,0,1,1987,False
Chad Eaton,/E/EatoCh20.htm,DT-NT,0,9,2004,False
Randy Edwards,/E/EdwaRa20.htm,DE-NT,0,4,1987,False
Chuck Ehin,/E/EhinCh20.htm,NT-DE-LB,0,5,1987,False
John Eisenhooth,/E/EiseJo20.htm,NT,0,1,1987,False
Bill Elko,/E/ElkoBi20.htm,NT-G,0,5,1987,False
Ted Elliott,/E/ElliTe20.htm,NT,0,1,1987,False
Tony Elliott,/E/ElliTo20.htm,NT,0,7,1988,False
Doug English,/E/EnglDo00.htm,DT-NT,0,11,1985,False
Tory Epps,/E/EppsTo20.htm,NT-DT,0,6,1995,False
Mike Fanning,/F/FannMi20.htm,DT-DE-NT,0,10,1984,False
Wilson Faumuina,/F/FaumWi20.htm,DT-DE-NT,0,5,1981,False
Jason Ferguson,/F/FergJa21.htm,DT-NT,0,13,2009,False
Jason Fisk,/F/FiskJa20.htm,DT-NT,0,12,2006,False
Dan Footman,/F/FootDa20.htm,DE-DT-NT,0,6,1998,False
Mike Fox,/F/FoxxMi20.htm,DE-DT-NT,0,9,1998,False
Paul Frase,/F/FrasPa20.htm,DE-DT-NT,0,11,1998,False
Lorenzo Freeman,/F/FreeLo20.htm,NT-DT,0,5,1991,False
David Galloway,/G/GallDa21.htm,DT-DE-NT,0,9,1990,False
Moe Gardner,/G/GardMo20.htm,DT-NT,0,6,1996,False
Scott Garnett,/G/GarnSc20.htm,NT-DE,0,4,1987,False
Frank Giannetti,/G/GianFr20.htm,NT,0,1,1991,False
Oliver Gibson,/G/GibsOl20.htm,DT-NT,0,9,2003,False
La'Roi Glover,/G/GlovLa00.htm,DT-NT,0,13,2008,False
Tim Goad,/G/GoadTi20.htm,NT-DT,0,9,1996,False
Robert Goff,/G/GoffRo20.htm,DE-DT-NT,0,9,1996,False
Bill Goldberg,/G/GoldBi20.htm,NT-DT,0,3,1994,False
Bob Golic,/G/GoliBo00.htm,NT-DT-LB-DE,0,14,1992,False
Mike Golic,/G/GoliMi20.htm,DT-NT-DE,0,8,1993,False
John Goodman,/G/GoodJo21.htm,DE-DT-NT,0,5,1985,False
David Graham,/G/GrahDa21.htm,DE-NT,0,6,1987,False
David Grant,/G/GranDa21.htm,DE-NT,0,6,1993,False
John Grant,/G/GranJo21.htm,DT-DE-NT,0,7,1979,False
Curtis Green,/G/GreeCu20.htm,DE-DT-NT,0,9,1989,False
Kelly Gregg,/G/GregKe20.htm,NT-DT,0,13,2011,False
Ted Gregory,/G/GregTe20.htm,NT,0,1,1988,False
Leonard Griffin,/G/GrifLe20.htm,DE-NT,0,8,1993,False
Keith Guthrie,/G/GuthKe20.htm,NT,0,1,1984,False
John Guzik,/G/GuziJo21.htm,NT-DE,0,1,1987,False
Gary Hadd,/H/HaddGa20.htm,DT-NT,0,2,1989,False
Odell Haggins,/H/HaggOd20.htm,NT,0,1,1991,False
Rickey Hagood,/H/HagoRi20.htm,NT,0,1,1984,False
John Haines,/H/HainJo20.htm,NT-DE-DT,0,3,1986,False
Ray Hamilton,/H/HamiRa21.htm,NT-DE,0,9,1981,False
Mike Hammerstein,/H/HammMi20.htm,DE-NT,0,5,1990,False
Casey Hampton,/H/HampCa00.htm,NT-DT,0,12,2012,False
Jim Hanna,/H/HannJi20.htm,NT,0,1,1994,False
Dee Hardison,/H/HardDe21.htm,DE-DT-NT-DE,0,11,1988,False
Marshall Harris,/H/HarrMa21.htm,DE-NT,0,4,1983,False
Roy Hart,/H/HartRo20.htm,NT-DT,0,3,1991,False
John Harty,/H/HartJo20.htm,NT-DE,0,6,1986,False
Ed Hawthorne,/H/HawtEd20.htm,NT,0,1,1995,False
Eric Hayes,/H/HayeEr20.htm,DT-DE-NT,0,4,1993,False
Brad Henke,/H/HenkBr20.htm,DE-NT,0,1,1989,False
Luther Henson,/H/HensLu20.htm,NT,0,3,1984,False
