Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Vadal Alexander,/A/AlexVa00.htm,OG,0,2,2017,False
Isaac Asiata,/A/AsiaIs00.htm,OG,0,2,2018,True
Jeff Baca,/B/BacaJe00.htm,OG,0,2,2014,False
Alvin Bailey,/B/BailAl01.htm,OG,0,4,2016,False
Zach Banner,/B/BannZa00.htm,OG,0,3,2019,True
Chris Barker,/B/BarkCh00.htm,OG,0,3,2015,False
Russell Bodine,/B/BodiRu00.htm,OG,0,5,2018,True
Ben Braden,/B/BradBe00.htm,OG,0,2,2019,True
A.J. Cann,/C/CannA.00.htm,OG,0,5,2019,True
Tyler Catalina,/C/CataTy00.htm,OG,0,1,2017,False
Aviante Collins,/C/CollAv00.htm,OG,0,3,2019,True
Jonathan Cooper,/C/CoopJo01.htm,OG,0,5,2018,True
Joe Dahl,/D/DahlJo00.htm,OG,0,4,2019,True
Dion Dawkins,/D/DawkDi00.htm,OG,0,3,2019,True
Jamil Douglas,/D/DougJa00.htm,OG,0,5,2019,True
Spencer Drango,/D/DranSp00.htm,OG,0,2,2017,True
Kadeem Edwards,/E/EdwaKa00.htm,OG,0,1,2014,False
Parker Ehinger,/E/EhinPa00.htm,OG,0,4,2019,True
Jermaine Eluemunor,/E/ElueJe00.htm,OG,0,3,2019,True
Dan Feeney,/F/FeenDa00.htm,OG,0,3,2019,True
Jon Feliciano,/F/FeliJo00.htm,OG,0,5,2019,True
Zach Fulton,/F/FultZa00.htm,OG,0,6,2019,True
Joshua Garnett,/G/GarnJo00.htm,OG,0,3,2018,False
Garrett Gilkey,/G/GilkGa00.htm,OG,0,2,2014,False
Graham Glasgow,/G/GlasGr00.htm,OG,0,4,2019,True
Mark Glowinski,/G/GlowMa00.htm,OG,0,5,2019,True
Ryan Groy,/G/GroyRy00.htm,OG,0,6,2019,True
Jon Halapio,/H/HalaJo00.htm,OG,0,6,2019,True
Sean Harlow,/H/HarlSe00.htm,OG,0,1,2019,True
Bobby Hart,/H/HartBo00.htm,OG,0,5,2019,True
Taylor Hearn,/H/HearTa00.htm,OG,0,1,2018,False
Eric Herman,/H/HermEr00.htm,OG,0,1,2014,False
Will Hernandez,/H/HernWi00.htm,OG,0,2,2019,True
Danny Isidora,/I/IsidDa00.htm,OG,0,3,2019,True
Gabe Jackson,/J/JackGa00.htm,OG,0,6,2019,True
Tre' Jackson,/J/JackTr00.htm,OG,0,1,2015,False
Sam Jones,/J/JoneSa00.htm,OG,0,1,2018,True
Kyle Kalis,/K/KaliKy00.htm,OG,0,2,2018,True
Ted Karras,/K/KarrTe00.htm,OG,0,4,2019,True
Denver Kirkland,/K/KirkDe00.htm,OG,0,3,2018,False
Arie Kouandjio,/K/KouaAr00.htm,OG,0,3,2017,False
Forrest Lamp,/L/LampFo00.htm,OG,0,2,2019,True
Charles Leno,/L/LenoCh00.htm,OG,0,6,2019,True
Brandon Linder,/L/LindBr00.htm,OG,0,6,2019,True
Spencer Long,/L/LongSp00.htm,OG,0,6,2019,True
Zack Martin,/M/MartZa00.htm,OG,0,6,2019,True
Connor McGovern,/M/McGoCo00.htm,OG,0,3,2019,True
John Miller,/M/MillJo04.htm,OG,0,5,2019,True
Quenton Nelson,/N/NelsQu00.htm,OG,0,2,2019,True
Rees Odhiambo,/O/OdhiRe00.htm,OG,0,3,2018,True
Adam Pankey,/P/PankAd00.htm,OG,0,3,2019,True
Justin Pugh,/P/PughJu00.htm,OG,0,7,2019,True
Cyril Richardson,/R/RichCy00.htm,OG,0,1,2014,False
Jordan Roos,/R/RoosJo00.htm,OG,0,3,2019,True
Isaac Seumalo,/S/SeumIs00.htm,OG,0,4,2019,True
Tyler Shatley,/S/ShatTy00.htm,OG,0,6,2019,True
Ian Silberman,/S/SilbIa00.htm,OG,0,4,2018,True
Braden Smith,/S/SmitBr06.htm,OG,0,2,2019,True
Eric Smith,/S/SmitEr00.htm,OG,0,1,2019,True
Quinton Spain,/S/SpaiQu00.htm,OG,0,5,2019,True
Anthony Steen,/S/SteeAn00.htm,OG,0,4,2017,False
Xavier Su'a-Filo,/S/Sua-Xa00.htm,OG,0,6,2019,True
Wyatt Teller,/T/TellWy00.htm,OG,0,2,2019,True
Brandon Thomas,/T/ThomBr02.htm,OG,0,1,2014,True
Hugh Thornton,/T/ThorHu00.htm,OG,0,3,2015,False
Joe Thuney,/T/ThunJo00.htm,OG,0,4,2019,True
Laken Tomlinson,/T/TomlLa01.htm,OG,0,5,2019,True
J.C. Tretter,/T/TretJC00.htm,OG,0,6,2019,True
Sebastian Tretola,/T/TretSe00.htm,OG,0,1,2016,False
Landon Turner,/T/TurnLa00.htm,OG,0,1,2016,False
Trai Turner,/T/TurnTr01.htm,OG,0,6,2019,True
John Urschel,/U/UrscJo00.htm,OG,0,3,2016,False
Larry Warford,/W/WarfLa00.htm,OG,0,7,2019,True
Chance Warmack,/W/WarmCh00.htm,OG,0,6,2018,False
Brandon Washington,/W/WashBr00.htm,OG,0,3,2014,False
Earl Watford,/W/WatfEa00.htm,OG,0,6,2019,True
Chris Watt,/W/WattCh00.htm,OG,0,2,2015,False
Christian Westerman,/W/WestCh02.htm,OG,0,2,2018,False
Cody Whitehair,/W/WhitCo03.htm,OG,0,4,2019,True
Cody Wichmann,/W/WichCo00.htm,OG,0,2,2016,True
Brian Winters,/W/WintBr00.htm,OG,0,7,2019,True
David Yankey,/Y/YankDa00.htm,OG,0,3,2016,False
