Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Emmanuel Acho,/A/AchoEm00.htm,OLB,0,3,2014,False
Sam Acho,/A/AchoSa00.htm,OLB,0,9,2019,True
D.J. Alexander,/A/AlexD.00.htm,OLB,0,5,2019,True
Kwon Alexander,/A/AlexKw00.htm,OLB,0,5,2019,True
Denicos Allen,/A/AlleDe00.htm,OLB,0,1,2014,False
Ryan Anderson,/A/AndeRy00.htm,OLB,0,3,2019,True
Alex Anzalone,/A/AnzaAl00.htm,OLB,0,3,2019,True
Jeremiah Attaochu,/A/AttaJe00.htm,OLB,0,6,2019,True
Jerome Baker,/B/BakeJe00.htm,OLB,0,2,2019,True
Neiron Ball,/B/BallNe00.htm,OLB,0,1,2015,False
Anthony Barr,/B/BarrAn00.htm,OLB,0,6,2019,True
Shaquil Barrett,/B/BarrSh00.htm,OLB,0,6,2019,True
Houston Bates,/B/BateHo00.htm,OLB,0,2,2016,False
Vic Beasley,/B/BeasVi00.htm,OLB,0,5,2019,True
Brandon Bell,/B/BellBr01.htm,OLB,0,2,2018,False
Vince Biegel,/B/BiegVi00.htm,OLB,0,3,2019,True
Devante Bond,/B/BondDe00.htm,OLB,0,3,2019,True
Tashawn Bower,/B/BoweTa00.htm,OLB,0,2,2018,True
Tyus Bowser,/B/BowsTy00.htm,OLB,0,3,2019,True
Carl Bradford,/B/BradCa01.htm,OLB,0,3,2016,False
Bam Bradley,/B/BradBa00.htm,OLB,0,1,2017,False
Nigel Bradham,/B/BradNi00.htm,OLB,0,8,2019,True
Arthur Brown,/B/BrowAr00.htm,OLB,0,4,2016,False
Jatavis Brown,/B/BrowJa05.htm,OLB,0,4,2019,True
Jonathan Brown,/B/BrowJo01.htm,OLB,0,1,2014,False
Zach Brown,/B/BrowZa00.htm,OLB,0,8,2019,True
Miles Burris,/B/BurrMi00.htm,OLB,0,3,2014,False
De'Vondre Campbell,/C/CampDe00.htm,OLB,0,4,2019,True
Jamie Collins,/C/CollJa00.htm,OLB,0,7,2019,True
Kamalei Correa,/C/CorrKa00.htm,OLB,0,4,2019,True
Su'a Cravens,/C/CravSu00.htm,OLB,0,3,2018,False
Zach Cunningham,/C/CunnZa00.htm,OLB,0,3,2019,True
Lavonte David,/D/DaviLa00.htm,OLB,0,8,2019,True
Demario Davis,/D/DaviDe00.htm,OLB,0,8,2019,True
Paul Dawson,/D/DawsPa00.htm,OLB,0,3,2017,False
Samson Ebukam,/E/EbukSa00.htm,OLB,0,3,2019,True
Kasim Edebali,/E/EdebKa00.htm,OLB,0,5,2018,False
