Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Oday Aboushi,/A/AbouOd00.htm,OT,0,6,2019,True
Mike Adams,/A/AdamMi02.htm,OT,0,5,2016,False
Terron Armstead,/A/ArmsTe00.htm,OT,0,7,2019,True
David Bakhtiari,/B/BakhDa00.htm,OT,0,7,2019,True
Willie Beavers,/B/BeavWi00.htm,OT,0,1,2016,False
Nick Becton,/B/BectNi00.htm,OT,0,3,2015,False
Caleb Benenoch,/B/BeneCa00.htm,OT,0,4,2019,True
Tony Bergstrom,/B/BergTo00.htm,OT,0,8,2019,True
Adam Bisnowaty,/B/BisnAd00.htm,OT,0,1,2017,False
Joel Bitonio,/B/BitoJo00.htm,OT,0,6,2019,True
Garett Bolles,/B/BollGa00.htm,OT,0,3,2019,True
Justin Britt,/B/BritJu00.htm,OT,0,6,2019,True
Jamon Brown,/B/BrowJa04.htm,OT,0,5,2019,True
Orlando Brown,/B/BrowOr00.htm,OT,0,2,2019,True
Trent Brown,/B/BrowTr02.htm,OT,0,5,2019,True
Daniel Brunskill,/B/BrunDa00.htm,OT,0,1,2019,True
Alex Cappa,/C/CappAl00.htm,OT,0,2,2019,True
Geron Christian,/C/ChriGe01.htm,OT,0,2,2019,True
Le'Raven Clark,/C/ClarLe01.htm,OT,0,3,2018,True
T.J. Clemmings,/C/ClemT.00.htm,OT,0,4,2018,True
Shon Coleman,/C/ColeSh00.htm,OT,0,2,2017,True
La'el Collins,/C/CollLa01.htm,OT,0,5,2019,True
Jack Conklin,/C/ConkJa00.htm,OT,0,4,2019,True
Tyrell Crosby,/C/CrosTy00.htm,OT,0,2,2019,True
Cole Croston,/C/CrosCo00.htm,OT,0,2,2018,True
Korey Cunningham,/C/CunnKo00.htm,OT,0,2,2019,True
Julie'n Davenport,/D/DaveJu00.htm,OT,0,3,2019,True
Taylor Decker,/D/DeckTa00.htm,OT,0,4,2019,True
Jamil Demby,/D/DembJa00.htm,OT,0,1,2019,True
Andrew Donnal,/D/DonnAn00.htm,OT,0,5,2019,True
Dakota Dozier,/D/DoziDa00.htm,OT,0,6,2019,True
Laurent Duvernay-Tardif,/D/DuveLa00.htm,OT,0,6,2019,True
Cameron Erving,/E/ErviCa00.htm,OT,0,5,2019,True
Tayo Fabuluje,/F/FabuTa00.htm,OT,0,1,2015,False
Eric Fisher,/F/FishEr00.htm,OT,0,7,2019,True
Jake Fisher,/F/FishJa00.htm,OT,0,4,2018,False
Cameron Fleming,/F/FlemCa00.htm,OT,0,6,2019,True
Ereck Flowers,/F/FlowEr00.htm,OT,0,5,2019,True
D.J. Fluker,/F/FlukDJ00.htm,OT,0,7,2019,True
Fou Fonoti,/F/FonoFo00.htm,OT,0,1,2014,False
Drew Forbes,/F/ForbDr00.htm,OT\n,0,1,2019,True
Reid Fragel,/F/FragRe00.htm,OT,0,2,2015,False
Nick Gates,/G/GateNi00.htm,OT,0,1,2019,True
Denzelle Good,/G/GoodDe01.htm,OT,0,5,2019,True
Kevin Graf,/G/GrafKe00.htm,OT,0,1,2014,False
Chaz Green,/G/GreeCh02.htm,OT,0,3,2018,False
Joe Haeg,/H/HaegJo00.htm,OT,0,4,2019,True
Rob Havenstein,/H/HaveRo00.htm,OT,0,5,2019,True
Jerald Hawkins,/H/HawkJe00.htm,OT,0,3,2019,True
Tanner Hawkinson,/H/HawkTa00.htm,OT,0,3,2015,False
Seantrel Henderson,/H/HendSe00.htm,OT,0,6,2019,True
Will Holden,/H/HoldWi00.htm,OT,0,2,2018,False
D.J. Humphries,/H/HumpD.00.htm,OT,0,4,2019,True
James Hurst,/H/HursJa00.htm,OT,0,6,2019,True
Germain Ifedi,/I/IfedGe00.htm,OT,0,4,2019,True
Ja'Wuan James,/J/JameJa01.htm,OT,0,6,2019,True
