Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Louie Aguiar,/A/aguialou01.htm,P,0,10,2000,False
Harold Alexander,/A/AlexHa20.htm,P,0,2,1994,False
Matt Allen,/A/AlleMa20.htm,P,0,1,2002,False
Ryan Allen,/A/AlleRy01.htm,P,0,7,2019,True
Zenon Andrusyshyn,/A/AndrZe20.htm,P-K,0,1,1978,False
Bryan Anger,/A/AngeBr00.htm,P,0,8,2019,True
Evan Arapostathis,/A/ArapEv20.htm,P,0,1,1986,False
Leo Araguz,/A/AragLe20.htm,P,0,10,2005,False
Jim Arnold,/A/ArnoJi20.htm,P,0,12,1994,False
Jim Asmus,/A/AsmuJi20.htm,P,0,1,1987,False
Jake Bailey,/B/BailJa00.htm,P,0,1,2019,True
Jason Baker,/B/BakeJa20.htm,P,0,11,2011,False
John Baker,/B/BakeJo21.htm,P,0,2,2001,False
Bryan Barker,/B/BarkBr20.htm,P,0,16,2005,False
Brooks Barnard,/B/BarnBr20.htm,P,0,1,2003,False
Bruce Barnes,/B/BarnBr22.htm,P,0,2,1974,False
Tommy Barnhardt,/B/BarnTo22.htm,P,0,14,2000,False
Mike Barr,/B/BarrMi21.htm,P,0,1,2007,False
Brent Bartholomew,/B/BartBr20.htm,P,0,2,2000,False
Marv Bateman,/B/BateMa20.htm,P,0,6,1977,False
Darren Bennett,/B/BennDa20.htm,P,0,11,2005,False
Mitch Berger,/B/BergMi20.htm,P,0,16,2009,False
Jordan Berry,/B/BerrJo00.htm,P,0,5,2019,True
Louis Berry,/B/BerrLo20.htm,P,0,1,1987,False
David Beverly,/B/BeveDa20.htm,P,0,7,1980,False
Josh Bidwell,/B/BidwJo20.htm,P,0,11,2010,False
Carl Birdsong,/B/BirdCa20.htm,P,0,5,1985,False
Mike Black,/B/BlacMi20.htm,P,0,5,1987,False
Tom Blanchard,/B/BlanTo20.htm,P,0,11,1981,False
Corey Bojorquez,/B/BojoCo00.htm,P,0,2,2019,True
Matthew Bosher,/B/BoshMa00.htm,P,0,9,2019,True
Barry Bowman,/B/BowmBa20.htm,P,0,1,1987,False
Don Bracken,/B/BracDo20.htm,P,0,9,1993,False
Mike Bragg,/B/BragMi20.htm,P,0,13,1980,False
Will Brice,/B/BricWi20.htm,P,0,3,1999,False
Durant Brooks,/B/BrooDu20.htm,P,0,1,2008,False
Steve Broussard,/B/BrouSt20.htm,P,0,1,1975,False
Kevin Brown,/B/BrowKe23.htm,P,0,1,1987,False
John Bruno,/B/BrunJo20.htm,P,0,1,1987,False
Dave Bruno,/B/BrunDa20.htm,P,0,1,1987,False
Chris Bryan,/B/BryaCh01.htm,P,0,1,2010,False
Maury Buford,/B/BufoMa20.htm,P,0,10,1991,False
Jerry Burch,/B/BurcJe00.htm,WR-P,0,1,1961,False
Mike Burke,/B/BurkMi20.htm,P,0,1,1974,False
Ode Burrell,/B/BurrOd00.htm,RB-WR-P,0,6,1969,False
Drew Butler,/B/ButlDr00.htm,P,0,5,2016,False
Lonny Calicchio,/C/CaliLo20.htm,P,0,1,1997,False
