Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Karim Abdul-Jabbar,/A/AbduKa00.htm,RB,0,5,2000,False
Ameer Abdullah,/A/AbduAm00.htm,RB,0,5,2019,True
Rabih Abdullah,/A/AbduRa00.htm,RB,0,6,2004,False
Walter Abercrombie,/A/AberWa00.htm,RB,0,7,1988,False
Mike Adamle,/A/AdamMi01.htm,RB,0,6,1976,False
Curtis Adams,/A/AdamCu00.htm,RB,0,4,1988,False
D.J. Adams,/A/AdamD.00.htm,RB,0,1,2014,False
David Adams,/A/AdamDa20.htm,RB,0,1,1987,False
George Adams,/A/AdamGe00.htm,RB,0,7,1991,False
Josh Adams,/A/AdamJo03.htm,RB,0,2,2019,True
Joseph Addai,/A/AddaJo00.htm,RB,0,6,2011,False
Bralon Addison,/A/AddiBr01.htm,RB,0,1,2016,False
Tommie Agee,/A/AgeeTo00.htm,RB,0,7,1994,False
Jay Ajayi,/A/AjayJa00.htm,RB,0,5,2019,True
Ira Albright,/A/AlbrIr20.htm,NT-RB,0,1,1987,False
Jerry Aldridge,/A/AldrJe20.htm,RB,0,1,1980,False
Alvester Alexander,/A/AlexAl00.htm,RB,0,1,2012,False
Charles Alexander,/A/AlexCh00.htm,RB,0,7,1985,False
Dan Alexander,/A/AlexDa21.htm,RB,0,3,2003,False
Jeff Alexander,/A/AlexJe00.htm,RB,0,4,1992,False
Robert Alexander,/A/AlexRo20.htm,RB,0,2,1983,False
Shaun Alexander,/A/AlexSh00.htm,RB,0,9,2008,False
Vincent Alexander,/A/AlexVi20.htm,RB,0,1,1987,False
Rich Alexis,/A/AlexRi00.htm,RB,0,3,2007,False
Ted Alflen,/A/AlflTe20.htm,RB,0,1,1969,False
Anthony Allen,/A/AlleAn01.htm,RB,0,2,2012,False
Charles Ali,/A/AlixCh00.htm,RB,0,2,2008,False
Armando Allen,/A/AlleAr00.htm,RB,0,2,2012,False
Brian Allen,/A/AlleBr20.htm,RB,0,1,2003,False
Carl Allen,/A/AlleCa20.htm,RB-DB,0,1,1948,False
