Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Isa Abdul-Quddus,/A/AbduIs00.htm,S,0,6,2016,False
Johnathan Abram,/A/AbraJo01.htm,S,0,1,2019,True
Jahleel Addae,/A/AddaJa00.htm,S,0,7,2019,True
Nasir Adderley,/A/AddeNa00.htm,S\n,0,1,2019,True
Marcus Allen,/A/AlleMa03.htm,S,0,2,2019,True
Ugochukwu Amadi,/A/AmadUg00.htm,S\n,0,1,2019,True
Troy Apke,/A/ApkeTr00.htm,S,0,2,2019,True
Sean Baker,/B/BakeSe00.htm,S,0,3,2014,False
Marcus Ball,/B/BallMa00.htm,S,0,3,2016,False
Chris Banjo,/B/BanjCh00.htm,S,0,7,2019,True
Brandan Bishop,/B/BishBr01.htm,S,0,1,2014,False
Marquise Blair,/B/BlaiMa01.htm,S,0,1,2019,True
Kentrell Brice,/B/BricKe00.htm,S,0,3,2018,True
Omar Brown,/B/BrowOm00.htm,S,0,2,2013,False
Josh Bush,/B/BushJo00.htm,S,0,4,2015,False
Rafael Bush,/B/BushRa00.htm,S,0,8,2018,False
Kevin Byard,/B/ByarKe01.htm,S,0,4,2019,True
Jamal Carter,/C/CartJa02.htm,S,0,3,2019,True
Jerome Couplin,/C/CoupJe00.htm,S,0,2,2015,False
Da'Mon Cromartie-Smith,/C/CromDa00.htm,S,0,3,2013,False
Justin Currie,/C/CurrJu00.htm,S,0,1,2017,True
Akeem Davis,/D/DaviAk00.htm,S,0,3,2016,False
Cody Davis,/D/DaviCo02.htm,S,0,7,2019,True
Kanorris Davis,/D/DaviKa00.htm,S,0,1,2013,False
K.J. Dillon,/D/DillK.00.htm,S,0,1,2016,False
Travell Dixon,/D/DixoTr01.htm,S,0,1,2016,False
Kurtis Drummond,/D/DrumKu01.htm,S,0,3,2017,False
Tony Dye,/D/DyexTo00.htm,S,0,2,2013,False
Terrell Edmunds,/E/EdmuTe00.htm,S,0,2,2019,True
Mike Edwards,/E/EdwaMi01.htm,S,0,1,2019,True
Marcus Epps,/E/EppsMa00.htm,S\n,0,1,2019,True
Marwin Evans,/E/EvanMa00.htm,S,0,2,2017,False
Jean Fanor,/F/FanoJe00.htm,S,0,1,2014,False
Rudy Ford,/F/FordRu00.htm,S,0,3,2019,True
Chauncey Gardner-Johnson,/G/GardCh00.htm,S\n,0,1,2019,True
Blake Gideon,/G/GideBl00.htm,S,0,1,2012,False
Robert Golden,/G/GoldRo00.htm,S,0,6,2017,False
Raven Greene,/G/GreeRa02.htm,S,0,2,2019,True
Jose Gumbs,/G/GumbJo00.htm,S,0,2,2013,False
Saquan Hampton,/H/HampSa00.htm,S,0,1,2019,True
Marcell Harris,/H/HarrMa03.htm,S,0,2,2019,True
Will Harris,/H/HarrWi02.htm,S,0,1,2019,True
Jeff Heath,/H/HeatJe00.htm,S,0,7,2019,True
Trayvon Henderson,/H/HendTr01.htm,S,0,1,2019,True
