Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Jamal Adams,/A/AdamJa00.htm,SS,0,3,2019,True
Maurice Alexander,/A/AlexMa00.htm,SS,0,6,2019,True
Antonio Allen,/A/AlleAn02.htm,SS,0,5,2016,False
Vonn Bell,/B/BellVo00.htm,SS,0,4,2019,True
Nat Berhe,/B/BerhNa00.htm,SS,0,5,2018,False
Ahmad Black,/B/BlacAh00.htm,SS,0,3,2013,False
Deone Bucannon,/B/BucaDe00.htm,SS,0,6,2019,True
Ibraheim Campbell,/C/CampIb00.htm,SS,0,5,2019,True
Jeremy Cash,/C/CashJe00.htm,SS,0,2,2017,False
Marqui Christian,/C/ChriMa00.htm,SS,0,4,2019,True
Adrian Colbert,/C/ColbAd00.htm,SS,0,3,2019,True
Landon Collins,/C/CollLa00.htm,SS,0,5,2019,True
Johnathan Cyprien,/C/CyprJo00.htm,SS,0,7,2019,True
Ahmad Dixon,/D/DixoAh00.htm,SS,0,1,2014,False
Matt Elam,/E/ElamMa00.htm,SS,0,4,2016,False
DeShon Elliott,/E/ElliDe02.htm,SS,0,1,2019,True
Justin Evans,/E/EvanJu00.htm,SS,0,2,2018,True
Tre Flowers,/F/FlowTr01.htm,SS,0,2,2019,True
Shamiel Gary,/G/GarySh00.htm,SS,0,3,2016,False
Clayton Geathers,/G/GeatCl00.htm,SS,0,5,2019,True
Nathan Gerry,/G/GerrNa00.htm,SS,0,3,2019,True
Thomas Gordon,/G/GordTh00.htm,SS,0,1,2014,False
Ronnie Harrison,/H/HarrRo02.htm,SS,0,2,2019,True
Josh Harvey-Clemons,/H/HarvJo01.htm,SS,0,3,2019,True
Eddie Jackson,/J/JackEd01.htm,SS,0,3,2019,True
Derwin James,/J/JameDe00.htm,SS,0,2,2019,True
Kyshoen Jarrett,/J/JarrKy00.htm,SS,0,1,2015,False
Keelan Johnson,/J/JohnKe03.htm,SS,0,1,2013,False
Matt Johnson,/J/JohnMa05.htm,SS,0,1,2012,False
Don Jones,/J/JoneDo02.htm,SS,0,4,2016,False
Karl Joseph,/J/JoseKa00.htm,SS,0,4,2019,True
Jayron Kearse,/K/KearJa00.htm,SS,0,4,2019,True
Miles Killebrew,/K/KillMi00.htm,SS,0,4,2019,True
Derrick Kindred,/K/KindDe00.htm,SS,0,3,2018,False
Craig Loston,/L/LostCr00.htm,SS,0,2,2015,False
Shalom Luani,/L/LuanSh00.htm,SS,0,3,2019,True
Jordan Lucas,/L/LucaJo00.htm,SS,0,4,2019,True
Ronald Martin,/M/MartRo01.htm,SS,0,3,2017,False
Jerron McMillian,/M/McMiJe00.htm,SS,0,2,2013,False
Obi Melifonwu,/M/MeliOb00.htm,SS,0,2,2018,True
Charles Mitchell,/M/MitcCh01.htm,SS,0,1,2012,False
Zeke Motta,/M/MottZe00.htm,SS,0,2,2014,False
Montae Nicholson,/N/NichMo00.htm,SS,0,3,2019,True
Jabrill Peppers,/P/PeppJa00.htm,SS,0,3,2019,True
Eddie Pleasant,/P/PleaEd00.htm,SS,0,7,2018,False
Jordan Richards,/R/RichJo00.htm,SS,0,5,2019,True
James Sample,/S/SampJa00.htm,SS,0,1,2015,False
Tyler Sash,/S/SashTy00.htm,SS,0,2,2012,False
Dezmen Southward,/S/SoutDe00.htm,SS,0,4,2017,False
Jawanza Starling,/S/StarJa01.htm,SS,0,1,2013,False
Vinnie Sunseri,/S/SunsVi00.htm,SS,0,3,2016,False
Jaquiski Tartt,/T/TartJa00.htm,SS,0,5,2019,True
Brandon Taylor,/T/TaylBr02.htm,SS,0,1,2012,False
Cooper Taylor,/T/TaylCo01.htm,SS,0,3,2015,False
Robenson Therezie,/T/TherRo00.htm,SS,0,2,2016,False
Dymonte Thomas,/T/ThomDy01.htm,SS,0,2,2018,True
Shamarko Thomas,/T/ThomSh00.htm,SS,0,6,2018,False
Tedric Thompson,/T/ThomTe00.htm,SS,0,3,2019,True
Brock Vereen,/V/VereBr00.htm,SS,0,2,2015,False
Jimmie Ward,/W/WardJi01.htm,SS,0,6,2019,True
Corey White,/W/WhitCo01.htm,SS,0,5,2016,False
Jordan Whitehead,/W/WhitJo03.htm,SS,0,2,2019,True
Duke Williams,/W/WillDu00.htm,SS,0,4,2016,False
Shawn Williams,/W/WillSh02.htm,SS,0,7,2019,True
George Wilson,/W/WilsGe01.htm,SS,0,10,2014,False
Earl Wolff,/W/WolfEa00.htm,SS,0,2,2014,False
Xavier Woods,/W/WoodXa00.htm,SS,0,3,2019,True
