Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Sid Abramowitz,/A/AbraSi20.htm,T,0,5,1987,False
George Abramson,/A/AbraGe20.htm,G-T,0,1,1925,False
Aaron Adams,/A/AdamAa00.htm,T,0,1,2014,False
Bill Adams,/A/AdamBi20.htm,G-T,0,7,1978,False
Bob Adams,/A/AdamBo00.htm,TE-T,0,8,1976,False
Brent Adams,/A/AdamBr20.htm,T,0,3,1977,False
Chet Adams,/A/AdamCh20.htm,T-E-DT,0,12,1950,False
Flozell Adams,/A/AdamFl00.htm,T-G-TE,0,13,2010,False
Jeff Adams,/A/AdamJe00.htm,T,0,4,2015,False
John Adams,/A/AdamJo20.htm,T,0,5,1949,False
Sam Adams,/A/AdamSa20.htm,G-T,0,10,1981,False
Scott Adams,/A/AdamSc20.htm,G-T,0,6,1997,False
Theo Adams,/A/AdamTh20.htm,T,0,2,1993,False
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False
Levy Adcock,/A/AdcoLe00.htm,T,0,1,2012,False
Dick Afflis,/A/AfflDi20.htm,T-DG-G,0,4,1954,False
Louis Age,/A/AgexLo20.htm,T,0,1,1992,False
Dan Ahern,/A/AherDa20.htm,T,0,1,1921,False
Harold Akin,/A/AkinHa20.htm,T,0,2,1968,False
Anthony Alabi,/A/AlabAn20.htm,T,0,2,2007,False
Art Albrecht,/A/AlbrAr20.htm,T-C-LB,0,3,1944,False
Ted Albrecht,/A/AlbrTe20.htm,T-G,0,5,1981,False
Bill Albright,/A/AlbrBi20.htm,G-T-DT,0,4,1954,False
Ethan Albright,/A/AlbrEt20.htm,G-C-T,0,16,2010,False
Grady Alderman,/A/AldeGr00.htm,T-G,0,15,1974,False
Dan Alexander,/A/AlexDa20.htm,G-T,0,13,1989,False
David Alexander,/A/AlexDa22.htm,C-G-T,0,10,1996,False
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False
John Alexander,/A/AlexJo20.htm,T,0,5,1926,False
George Allen,/A/AlleGe20.htm,T,0,1,1966,False
Ian Allen,/A/AlleIa20.htm,T,0,4,2005,False
Jeff Allen,/A/AlleJe01.htm,T,0,8,2019,True
Kevin Allen,/A/AlleKe21.htm,T,0,1,1985,False
Larry Allen,/A/AlleLa00.htm,G-T,1,14,2007,False
Lou Allen,/A/AlleLo20.htm,T,0,2,1951,False
Henry Allison,/A/AlliHe20.htm,G-T,0,7,1977,False
Joe Allton,/A/AlltJo20.htm,T,0,1,1942,False
John Alt,/A/AltxJo00.htm,T,0,13,1996,False
Stan Andersen,/A/AndeSt20.htm,T-E,0,2,1941,False
Art Anderson,/A/AndeAr21.htm,T,0,3,1963,False
Dick Anderson,/A/AndeDi20.htm,T,0,1,1967,False
Justin Anderson,/A/AndeJu00.htm,T,0,1,2012,False
Roger Anderson,/A/AndeRo20.htm,DT-T,0,5,1968,False
Willie Anderson,/A/AndeWi00.htm,T,0,13,2008,False
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False
Shawn Andrews,/A/AndrSh55.htm,G-T,0,7,2010,False
Stacy Andrews,/A/AndrSt21.htm,T,0,8,2011,False
Tom Andrews,/A/AndrTo20.htm,T-C,0,4,1987,False
Plato Andros,/A/AndrPl20.htm,G-T-DG,0,4,1950,False
Charlie Ane,/A/AnexCh00.htm,T-C,0,7,1959,False
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False
Lionel Antoine,/A/AntoLi20.htm,T,0,7,1978,False
Ben Archibald,/A/ArchBe20.htm,T,0,1,2005,False
Dan Archer,/A/ArchDa20.htm,G-T,0,2,1968,False
Mike Ariey,/A/ArieMi20.htm,T,0,1,1989,False
Bob Armstrong,/A/ArmsBo20.htm,T-G-C,0,2,1932,False
