Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Cliff Aberson,/A/AberCl20.htm,TB-DB,0,1,1946,False
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False
Marger Apsit,/A/ApsiMa20.htm,BB-LB-DB-TB,0,3,1933,False
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False
Charlie Armstrong,/A/ArmsCh20.htm,DB-TB,0,1,1946,False
Sky August,/A/AuguSk20.htm,TB-WB,0,1,1931,False
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False
Herb Banet,/B/BaneHe20.htm,TB-HB-DB,0,1,1937,False
Dan Barnhart,/B/BarnDa20.htm,TB,0,1,1934,False
Cliff Battles,/B/BattCl20.htm,TB-FB-WB-DB,1,6,1937,False
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False
John Brewer,/B/BrewJo20.htm,TB-WB,0,1,1929,False
Hal Brill,/B/BrilHa20.htm,TB,0,1,1939,False
Eddie Britt,/B/BritEd20.htm,TB-DB-FB,0,3,1938,False
Jesse Brown,/B/BrowJe20.htm,TB,0,1,1926,False
Justin Brumbaugh,/B/BrumJu20.htm,BB-TB,0,1,1931,False
Steve Buchanan,/B/BuchSt20.htm,BB-TB,0,1,1929,False
Stanley Burnham,/B/BurnSt20.htm,TB-BB,0,1,1925,False
Tim Burnham,/B/BurnTi20.htm,TB-BB,0,1,1987,False
Tom Bushby,/B/BushTo20.htm,TB-WB,0,2,1935,False
Johnny Butler,/B/ButlJo21.htm,HB-TB,0,3,1945,False
Eddie Butts,/B/ButtEd20.htm,TB-BB-WB,0,1,1929,False
Ronnie Cahill,/C/CahiRo20.htm,TB,0,1,1943,False
Bruce Caldwell,/C/CaldBr20.htm,TB-FB,0,1,1928,False
Darryl Caldwell,/C/CaldDa20.htm,TB-FB,0,1,1983,False
Jim Callahan,/C/CallJi20.htm,TB,0,1,1946,False
Tony Canadeo,/C/CanaTo00.htm,HB-TB-FB-DB,1,12,1952,False
Irv Carlson,/C/CarlIr20.htm,WB-TB,0,1,1924,False
Tom Casey,/C/CaseTo20.htm,TB-DB,0,1,1948,False
Lynn Chandnois,/C/ChanLy00.htm,HB-WB-TB,0,7,1956,False
Bob Chappuis,/C/ChapBo20.htm,TB-DB,0,2,1949,False
Red Chenoweth,/C/ChenRe20.htm,WB-TB,0,1,1921,False
Fred Chicken,/C/ChicFr20.htm,TB,0,1,1920,False
Oscar Christianson,/C/ChriOs20.htm,E-TB,0,4,1924,False
Dutch Clark,/C/ClarDu20.htm,TB-DB,1,8,1938,False
Johnny Clement,/C/ClemJo20.htm,TB,0,9,1949,False
Stan Cofall,/C/CofaSt20.htm,WB-TB,0,1,1920,False
Pat Coffee,/C/CoffPa20.htm,TB,0,2,1938,False
Tom Colella,/C/ColeTo20.htm,HB-TB,0,8,1949,False
Harry Connolly,/C/ConnHa20.htm,TB,0,1,1946,False
Jimmy Conzelman,/C/ConzJi20.htm,BB-TB-HB-E,1,10,1929,False
Gerry Courtney,/C/CourGe20.htm,TB,0,1,1942,False
Norm Cox,/C/CoxxNo20.htm,QB-TB,0,2,1947,False
Jim Crowley,/C/CrowJi20.htm,TB-HB,0,1,1925,False
Pat Curran,/C/CurrPa00.htm,TE-TB,0,10,1978,False
Jack Daniels,/D/DaniJa20.htm,TB,0,1,1925,False
John Davis,/D/DaviJo22.htm,FB-WB-TB-BB,0,1,1920,False
Red Davis,/D/DaviRe20.htm,TB,0,1,1933,False
Glenn Dobbs,/D/DobbGl20.htm,TB-QB,0,4,1949,False
John Donaldson,/D/DonaJo20.htm,DB-TB,0,1,1949,False
Leo Douglass,/D/DougLe21.htm,FB-TB,0,1,1926,False
Paddy Driscoll,/D/DrisPa20.htm,HB-QB-TB-BB,1,10,1929,False
Moon Ducote,/D/DucoMo20.htm,WB-TB,0,1,1920,False
Bill Dudley,/D/DudlBi00.htm,HB-TB-QB,1,12,1953,False
Red Dunn,/D/DunnRe20.htm,BB-TB,0,8,1931,False
Ben Dvorak,/D/DvorBe20.htm,TB,0,1,1921,False
Ray Evans,/E/EvanRa20.htm,TB-HB,0,1,1948,False
Chuck Fenenbock,/F/FeneCh20.htm,HB-TB,0,6,1948,False
Frank Filchock,/F/FilcFr20.htm,TB-QB-HB,0,13,1950,False
Jim Finks,/F/FinkJi00.htm,QB-DB-TB,1,7,1955,False
Darrell Fisher,/F/FishDa20.htm,TB-FB,0,1,1925,False
Hoot Flanagan,/F/FlanHo20.htm,TB-WB,0,2,1926,False
Beryl Follet,/F/FollBe20.htm,TB-HB,0,2,1931,False
Red Franklin,/F/FranRe20.htm,TB-HB,0,3,1937,False
Benny Friedman,/F/FrieBe20.htm,TB-DB,1,8,1934,False
Jim Frugone,/F/FrugJi20.htm,TB,0,1,1925,False
Kenny Fryer,/F/FryeKe20.htm,TB,0,1,1944,False
Bob Gage,/G/GageBo20.htm,DB-TB,0,2,1950,False
Joe Geri,/G/GeriJo00.htm,TB-HB,0,4,1952,False
Jimmy German,/G/GermJi20.htm,TB,0,2,1940,False
Wally Gilbert,/G/GilbWa20.htm,TB-WB,0,4,1926,False
Gene Golsen,/G/GolsGe20.htm,FB-TB,0,1,1926,False
Paul Governali,/G/GovePa20.htm,QB-TB,0,3,1948,False
Red Grange,/G/GranRe20.htm,HB-BB-DB-TB,1,10,1934,False
Ben Greenberg,/G/GreeBe20.htm,FB-TB,0,1,1930,False
Bruce Gregory,/G/GregBr20.htm,TB-WB,0,1,1926,False
Homer Griffith,/G/GrifHo20.htm,TB,0,1,1934,False
George Grosvenor,/G/GrosGe21.htm,TB-HB,0,3,1937,False
Ace Gutowsky,/G/GutoAc20.htm,FB-TB,0,8,1939,False
Joe Guyon,/G/GuyoJo20.htm,WB-TB-BB-FB,1,8,1927,False
