Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False
Dick Abrell,/A/AbreDi20.htm,BB-WB,0,1,1920,False
Tony Aiello,/A/AielTo20.htm,WB-BB,0,1,1944,False
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False
Lynn Allen,/A/AlleLy20.htm,WB,0,1,1920,False
 Anderson,/A/Andexx20.htm,WB,0,1,1922,False
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False
Jaby Andrews,/A/AndrJa20.htm,WB-DB,0,1,1934,False
Teddy Andrulewicz,/A/AndrTe20.htm,WB,0,1,1930,False
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False
Bill Ashbaugh,/A/AshbBi20.htm,FB-WB,0,2,1925,False
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False
Reggie Attache,/A/AttaRe20.htm,WB-FB,0,1,1922,False
John Atwood,/A/AtwoJo20.htm,HB-WB-DB,0,1,1948,False
Sky August,/A/AuguSk20.htm,TB-WB,0,1,1931,False
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False
Vic Baltzell,/B/BaltVi20.htm,WB-DB,0,1,1935,False
Emil Banjavic,/B/BanjEm20.htm,WB-DB,0,1,1942,False
Ben Bangs,/B/BangBe20.htm,WB,0,1,1926,False
Cliff Battles,/B/BattCl20.htm,TB-FB-WB-DB,1,6,1937,False
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False
Jim Bradshaw,/B/BradJi20.htm,WB,0,1,1924,False
Ray Brenner,/B/BrenRa20.htm,WB,0,1,1925,False
John Brewer,/B/BrewJo20.htm,TB-WB,0,1,1929,False
