Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Ray Abruzzese,/A/AbruRa20.htm,B,0,5,1966,False,0,0,0,0,0
Hub Barker,/B/BarkHu20.htm,B-LB,0,4,1945,False,0,0,0,0,0
Ralph Barkman,/B/BarkRa20.htm,B,0,1,1929,False,0,0,0,0,0
Len Barnum,/B/BarnLe21.htm,B,0,5,1942,False,0,0,0,0,0
Pete Barnum,/B/BarnPe21.htm,B,0,1,1926,False,0,0,0,0,0
Shorty Barr,/B/BarrSh20.htm,B,0,4,1926,False,0,0,0,0,0
Myrt Basing,/B/BasiMy20.htm,B,0,5,1927,False,0,0,0,0,0
Bill Bass,/B/BassBi20.htm,B,0,1,1947,False,0,0,0,0,0
Jimmy Baxter,/B/BaxtJi20.htm,B,0,2,1924,False,0,0,0,0,0
Winnie Baze,/B/BazeWi20.htm,B,0,1,1937,False,0,0,0,0,0
Marty Beck,/B/BeckMa20.htm,B,0,6,1926,False,0,0,0,0,0
Johnnie Becker,/B/BeckJo21.htm,T-G-B,0,4,1929,False,0,0,0,0,0
Art Beckley,/B/BeckAr20.htm,B,0,1,1926,False,0,0,0,0,0
Keith Beebe,/B/BeebKe20.htm,B,0,1,1944,False,0,0,0,0,0
Ferris Beekley,/B/BeekFe20.htm,B-G,0,1,1921,False,0,0,0,0,0
Bunny Belden,/B/BeldBu20.htm,B,0,5,1931,False,0,0,0,0,0
Les Belding,/B/BeldLe20.htm,E-B,0,1,1925,False,0,0,0,0,0
Heinie Benkert,/B/BenkHe20.htm,B,0,6,1930,False,0,0,0,0,0
Chuck Bennett,/B/BennCh22.htm,B,0,4,1933,False,0,0,0,0,0
George Benson,/B/BensGe20.htm,B,0,1,1947,False,0,0,0,0,0
Gil Berry,/B/BerrGi20.htm,B,0,1,1935,False,0,0,0,0,0
Howard Berry,/B/BerrHo20.htm,B,0,1,1921,False,0,0,0,0,0
Teddy Besta,/B/BestTe20.htm,B,0,3,1924,False,0,0,0,0,0
George Beyers,/B/BeyeGe20.htm,B,0,1,1921,False,0,0,0,0,0
Johnny Biancone,/B/BianJo20.htm,B,0,1,1936,False,0,0,0,0,0
Dick Bilda,/B/BildDi20.htm,B,0,1,1944,False,0,0,0,0,0
Keith Birlem,/B/BirlKe20.htm,B-E,0,1,1939,False,0,0,0,0,0
Don Bishop,/B/BishDo00.htm,B,0,8,1965,False,0,1,0,0,0
Blondy Black,/B/BlacBl20.htm,B,0,2,1947,False,0,0,0,0,0
Johnny Bleier,/B/BleiJo20.htm,B,0,1,1921,False,0,0,0,0,0
Harry Bliss,/B/BlisHa20.htm,B,0,1,1921,False,0,0,0,0,0
Al Bloodgood,/B/BlooAl20.htm,B,0,6,1930,False,0,0,0,0,0
Lamar Blount,/B/BlouLa20.htm,E-B,0,2,1947,False,0,0,0,0,0
Champ Boettcher,/B/BoetCh20.htm,B,0,1,1926,False,0,0,0,0,0
Karl Bohren,/B/BohrKa20.htm,B,0,1,1927,False,0,0,0,0,0
Chase Boldt,/B/BoldCh20.htm,B,0,3,1923,False,0,0,0,0,0
Rink Bond,/B/BondRi20.htm,B,0,2,1939,False,0,0,0,0,0
Ernie Bonelli,/B/BoneEr20.htm,B,0,2,1946,False,0,0,0,0,0
Elliott Bonowitz,/B/BonoEl20.htm,G-B-T-E,0,3,1925,False,0,0,0,0,0
Jack Boone,/B/BoonJa20.htm,B,0,1,1942,False,0,0,0,0,0
Dick Booth,/B/BootDi20.htm,B,0,5,1945,False,0,0,0,0,0
Nick Borelli,/B/BoreNi20.htm,B,0,1,1930,False,0,0,0,0,0
Leon Boutwell,/B/BoutLe20.htm,B,0,2,1923,False,0,0,0,0,0
Tony Bova,/B/BovaTo20.htm,E-B,0,6,1947,False,0,0,0,0,0
Phil Bower,/B/BowePh20.htm,B,0,1,1921,False,0,0,0,0,0
Arda Bowser,/B/BowsAr20.htm,B,0,2,1923,False,0,0,0,0,0
Bill Boyd,/B/BoydBi20.htm,B,0,2,1931,False,0,0,0,0,0
Benny Boynton,/B/BoynBe20.htm,B,0,4,1924,False,0,0,2,0,0
Wes Bradshaw,/B/BradWe20.htm,B,0,3,1926,False,0,0,0,0,0
Butch Brandau,/B/BranBu20.htm,B,0,1,1921,False,0,0,0,0,0
Carl Brazell,/B/BrazCa20.htm,B,0,1,1938,False,0,0,0,0,0
Bill Breeden,/B/BreeBi20.htm,B,0,1,1937,False,0,0,0,0,0
Wayne Brenkert,/B/BrenWa20.htm,B,0,2,1924,False,0,0,0,0,0
Matt Brennan,/B/BrenMa20.htm,B,0,2,1926,False,0,0,0,0,0
Harry Brian,/B/BriaHa20.htm,B,0,1,1926,False,0,0,0,0,0
Frank Briante,/B/BriaFr20.htm,B,0,2,1930,False,0,0,0,0,0
George Brickley,/B/BricGe20.htm,B,0,2,1921,False,0,0,0,0,0
Lane Bridgford,/B/BridLa20.htm,B,0,2,1922,False,0,0,0,0,0
Walt Brindley,/B/BrinWa20.htm,B,0,2,1922,False,0,0,0,0,0
Obie Bristow,/B/BrisOb20.htm,B,0,2,1926,False,0,0,0,0,0
Earl Britton,/B/BritEa20.htm,B,0,5,1929,False,0,0,0,0,0
Lou Brock,/B/BrocLo20.htm,B,0,6,1945,False,0,0,0,0,0
Mal Bross,/B/BrosMa20.htm,B,0,1,1927,False,0,0,0,0,0
Angelo Brovelli,/B/BrovAn20.htm,B,0,2,1934,False,0,0,0,0,0
Doc Bruder,/B/BrudDo20.htm,B,0,2,1926,False,0,0,0,0,0
Hank Bruder,/B/BrudHa20.htm,B,0,10,1940,False,0,1,0,0,0
Boyd Brumbaugh,/B/BrumBo20.htm,B,0,4,1941,False,0,0,0,0,0
Carl Brumbaugh,/B/BrumCa20.htm,B,0,9,1938,False,0,0,0,0,0
Johnny Bryan,/B/BryaJo20.htm,B,0,6,1927,False,0,0,0,0,0
Larry Buhler,/B/BuhlLa20.htm,B,0,3,1941,False,0,1,0,0,0
Joe Bukant,/B/BukaJo20.htm,B,0,6,1943,False,0,0,0,0,0
Ray Buivid,/B/BuivRa20.htm,B,0,2,1938,False,0,0,0,0,0
Dale Burnett,/B/BurnDa20.htm,B,0,10,1939,False,0,1,0,0,0
Max Burnell,/B/BurnMa20.htm,B,0,1,1944,False,0,0,0,0,0
Harry Burrus,/B/BurrHa20.htm,B-E,0,3,1948,False,0,0,0,0,0
Wendell Butcher,/B/ButcWe20.htm,B,0,5,1942,False,0,0,0,0,0
Chris Cagle,/C/CaglCh20.htm,B,0,5,1934,False,0,0,0,0,0
Pete Calac,/C/CalaPe20.htm,B-E,0,7,1926,False,0,0,0,0,0
Bill Callihan,/C/CallBi21.htm,B-T,0,6,1945,False,0,0,0,0,0
Bob Campiglio,/C/CampBo20.htm,B,0,2,1933,False,0,0,0,0,0
Jim Canady,/C/CanaJi20.htm,B,0,2,1949,False,0,0,0,0,0
Leo Cantor,/C/CantLe20.htm,B,0,4,1945,False,0,0,0,0,0
Fred Cardinal,/C/CardFr20.htm,B,0,1,1947,False,0,0,0,0,0
Charley Carr,/C/CarrCh20.htm,B,0,1,1926,False,0,0,0,0,0
Cy Casper,/C/CaspCy20.htm,B,0,2,1935,False,0,0,0,0,0
Dick Cassiano,/C/CassDi20.htm,B,0,1,1940,False,0,0,0,0,0
Mike Casteel,/C/CastMi20.htm,B,0,1,1922,False,0,0,0,0,0
