Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Johnny Adams,/A/AdamJo02.htm,CB,0,1,2013,False,0,0,0,0,0
Vince Agnew,/A/AgneVi00.htm,CB,0,1,2012,False,0,0,0,0,0
Ri'Shard Anderson,/A/AndeRi01.htm,CB,0,1,2014,False,0,0,0,0,0
Deion Belue,/B/BeluDe00.htm,CB,0,1,2014,False,0,0,0,0,0
Jordan Bernstine,/B/BernJo00.htm,CB,0,1,2012,False,0,0,0,0,0
Conroy Black,/B/BlacCo00.htm,CB,0,1,2012,False,0,0,0,0,0
Courtney Bridget,/B/BridCo00.htm,CB,0,1,2014,False,0,0,0,0,0
Derrius Brooks,/B/BrooDe01.htm,CB,0,1,2014,False,0,0,0,0,0
Kendric Burney,/B/BurnKe00.htm,CB,0,1,2012,False,0,0,0,0,0
Carrington Byndom,/B/ByndCa00.htm,CB,0,1,2014,False,0,0,0,0,0
Roc Carmichael,/C/CarmRo00.htm,CB,0,3,2014,False,0,0,0,0,0
Deveron Carr,/C/CarrDe01.htm,CB,0,1,2013,False,0,0,0,0,0
Chance Casey,/C/CaseCh00.htm,CB,0,2,2014,False,0,0,0,0,0
Red Cochran,/C/CochRe20.htm,CB-FB-HB,0,3,1949,False,0,0,0,0,0
Sanders Commings,/C/CommSa00.htm,CB,0,2,2014,False,0,0,0,0,0
A.J. Davis,/D/DaviA.00.htm,CB,0,3,2014,False,0,0,0,0,0
Alfonzo Dennard,/D/DennAl00.htm,CB,0,3,2014,False,0,0,0,1,0
Antonio Dennard,/D/DennAn00.htm,CB,0,1,2012,False,0,0,0,0,0
Bobby Felder,/F/FeldBo00.htm,CB,0,1,2012,False,0,0,0,0,0
Chandler Fenner,/F/FennCh00.htm,CB,0,3,2014,False,0,0,0,0,0
Donnie Fletcher,/F/FletDo00.htm,CB,0,1,2012,False,0,0,0,0,0
Kevin Fogg,/F/FoggKe00.htm,CB,0,1,2014,False,0,0,0,0,0
Terrence Frederick,/F/FredTe00.htm,CB,0,3,2014,False,0,0,0,0,0
Isaiah Frey,/F/FreyIs00.htm,CB,0,3,2014,False,0,0,0,0,0
Cameron Fuller,/F/FullCa00.htm,CB,0,1,2014,False,0,0,0,0,0
Gregory Gatson,/G/GatsGr00.htm,CB,0,1,2012,False,0,0,0,0,0
Isaiah Green,/G/GreeIs00.htm,CB,0,2,2013,False,0,0,0,0,0
Marshay Green,/G/GreeMa01.htm,CB,0,2,2012,False,0,0,0,0,0
Chris Greenwood,/G/GreeCh01.htm,CB,0,3,2014,False,0,0,0,0,0
