Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Victor Abiamiri,/A/AbiaVi99.htm,DE,0,3,2009,False,0,0,0,0,0
John Abraham,/A/AbraJo00.htm,DE,0,15,2014,False,0,5,2,0,0
Gaines Adams,/A/AdamGa99.htm,DE,0,3,2009,False,0,0,0,0,0
Julius Adams,/A/AdamJu00.htm,DE-DT,0,17,1987,False,0,1,0,0,0
Sam Adams,/A/AdamSa00.htm,DT-DE,0,14,2007,False,0,3,0,1,0
Willie Adams,/A/AdamWi20.htm,DE-LB,0,2,1966,False,0,0,0,0,0
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False,0,0,0,0,0
Abe Addams,/A/AddaAb20.htm,DE,0,1,1949,False,0,0,0,0,0
Victor Adeyanju,/A/AdeyVi20.htm,DE,0,4,2009,False,0,0,0,0,0
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False,0,0,0,0,0
Mel Agee,/A/AgeeMe20.htm,DE-DT,0,5,1995,False,0,0,0,0,0
Ray Agnew,/A/AgneRa20.htm,DT-DE,0,11,2000,False,0,0,0,1,0
Chidi Ahanotu,/A/AhanCh20.htm,DE-DT,0,12,2004,False,0,0,0,0,0
C.J. Ah You,/A/AhYoC.00.htm,DE,0,3,2011,False,0,0,0,0,0
Ikaika Alama-Francis,/A/AlamIk99.htm,DE,0,5,2011,False,0,0,0,0,0
Allen Aldridge,/A/AldrAl20.htm,DE,0,4,1974,False,0,0,0,0,0
John Alderton,/A/AldeJo20.htm,DE,0,1,1953,False,0,0,0,0,0
Kevin Aldridge,/A/AldrKe20.htm,DE,0,1,2002,False,0,0,0,0,0
Lionel Aldridge,/A/AldrLi20.htm,DE,0,11,1973,False,0,0,0,2,0
Derrick Alexander,/A/AlexDe20.htm,DE,0,5,1999,False,0,0,0,0,0
Frank Alexander,/A/AlexFr00.htm,DE,0,3,2014,False,0,0,0,0,0
John Alexander,/A/AlexJo21.htm,DE,0,2,1978,False,0,0,0,0,0
Kevin Alexander,/A/AlexKe02.htm,LB-DE,0,1,2010,False,0,0,0,0,0
Dalva Allen,/A/AlleDa20.htm,DE,0,5,1964,False,0,0,0,0,0
Lyle Alzado,/A/AlzaLy00.htm,DE-DT,0,15,1985,False,0,2,2,1,0
Vincent Amey,/A/AmeyVi20.htm,DE,0,1,1998,False,0,0,0,0,0
Richard Amman,/A/AmmaRi20.htm,DE-DT,0,2,1973,False,0,0,0,0,0
