Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Kendrick Adams,/A/AdamKe01.htm,DL,0,1,2012,False,0,0,0,0,0
Chigbo Anunoby,/A/AnunCh00.htm,DL,0,3,2014,False,0,0,0,0,0
Marvin Austin,/A/AustMa00.htm,DL,0,3,2014,False,0,0,0,0,0
Christian Ballard,/B/BallCh00.htm,DL,0,2,2012,False,0,0,0,0,0
Jeremy Beal,/B/BealJe00.htm,DL,0,1,2012,False,0,0,0,0,0
Ricky Elmore,/E/ElmoRi00.htm,DL,0,1,2012,False,0,0,0,0,0
Auston English,/E/EnglAu00.htm,DL,0,2,2012,False,0,0,0,0,0
Marcus Forston,/F/ForsMa00.htm,DL,0,2,2013,False,0,0,0,0,0
Justin Francis,/F/FranJu00.htm,DL,0,1,2012,False,0,0,0,0,0
Sione Fua,/F/FuaxSi00.htm,DL,0,4,2014,False,0,0,0,0,0
Cam Henderson,/H/HendCa00.htm,DL,0,1,2014,False,0,0,0,1,0
Bryan Johnson,/J/JohnBr04.htm,DL,0,1,2014,False,0,0,0,0,0
Johnny Jones,/J/JoneJo01.htm,DL,0,1,2012,False,0,0,0,0,0
Lazarius Levingston,/L/LeviLa00.htm,DL,0,2,2012,False,0,0,0,0,0
Jacobbi McDaniel,/M/McDaJa00.htm,DL,0,1,2014,False,0,0,0,0,0
Dontay Moch,/M/MochDo00.htm,DL,0,3,2014,False,0,0,0,0,0
Drake Nevis,/N/NeviDr00.htm,DL,0,3,2013,False,0,0,0,0,0
Lawrence Okoye,/O/OkoyLa00.htm,DL,0,1,2014,False,0,0,0,0,0
Cheta Ozougwu,/O/OzouCh00.htm,DL,0,3,2014,False,0,0,0,0,0
Lucas Patterson,/P/PattLu00.htm,DL,0,1,2012,False,0,0,0,0,0
Jerrell Powe,/P/PoweJe00.htm,DL,0,4,2014,False,0,0,0,0,0
Xavier Proctor,/P/ProcXa00.htm,DL,0,1,2014,False,0,0,0,0,0
D'Aundre Reed,/R/ReedD'00.htm,DL,0,1,2012,False,0,0,0,0,0
Tracy Robertson,/R/RobeTr01.htm,DL,0,1,2013,False,0,0,0,0,0
Greg Romeus,/R/RomeGr00.htm,DL,0,1,2012,False,0,0,0,0,0
Brian Sanford,/S/SanfBr00.htm,DL,0,3,2013,False,0,0,0,0,0
Emmanuel Stephens,/S/StepEm00.htm,DL,0,2,2012,False,0,0,0,0,0
Phil Taylor,/T/TaylPh00.htm,DL,0,4,2014,False,0,0,0,0,0
Kiante Tripp,/T/TripKi00.htm,DL,0,1,2011,False,0,0,0,0,0
