Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
George Achica,/A/AchiGe20.htm,DT,0,1,1985,False,0,0,0,0,0
Rick Ackerman,/A/AckeRi20.htm,NT-DT,0,6,1987,False,0,0,0,0,0
Anthony Adams,/A/AdamAn20.htm,DT-NT,0,9,2011,False,0,0,0,0,0
Chet Adams,/A/AdamCh20.htm,T-E-DT,0,12,1950,False,0,2,0,0,0
Julius Adams,/A/AdamJu00.htm,DE-DT,0,17,1987,False,0,1,0,0,0
Sam Adams,/A/AdamSa00.htm,DT-DE,0,14,2007,False,0,3,0,1,0
Titus Adams,/A/AdamTi00.htm,DT,0,1,2009,False,0,0,0,0,0
Mel Agee,/A/AgeeMe20.htm,DE-DT,0,5,1995,False,0,0,0,0,0
Ray Agnew,/A/AgneRa20.htm,DT-DE,0,11,2000,False,0,0,0,1,0
Chidi Ahanotu,/A/AhanCh20.htm,DE-DT,0,12,2004,False,0,0,0,0,0
Bill Albright,/A/AlbrBi20.htm,G-T-DT,0,4,1954,False,0,0,0,0,0
Chas Alecxih,/A/AlecCh00.htm,DT,0,3,2014,False,0,0,0,0,0
Jay Alford,/A/AlfoJa99.htm,DT,0,4,2010,False,0,0,0,1,0
Kenderick Allen,/A/AlleKe20.htm,DT,0,4,2006,False,0,0,0,0,0
Jeff Alm,/A/AlmxJe20.htm,DT,0,4,1993,False,0,0,0,0,0
Jim Althoff,/A/AlthJi20.htm,DT,0,1,1987,False,0,0,0,0,0
Steve Alvord,/A/AlvoSt20.htm,DT,0,2,1988,False,0,0,0,0,0
Lyle Alzado,/A/AlzaLy00.htm,DE-DT,0,15,1985,False,0,2,2,1,0
Richard Amman,/A/AmmaRi20.htm,DE-DT,0,2,1973,False,0,0,0,0,0
Antonio Anderson,/A/AndeAn22.htm,DT-DE,0,2,1998,False,0,0,0,0,0
Bruce Anderson,/A/AndeBr21.htm,DE-DT,0,5,1970,False,0,0,0,0,0
Curtis Anderson,/A/AndeCu20.htm,DE-DT,0,1,1979,False,0,0,0,0,0
Fred Anderson,/A/AndeFr20.htm,DE-DT,0,5,1982,False,0,0,0,1,0
Ken Anderson,/A/AndeKe20.htm,DT,0,1,1999,False,0,0,0,0,0
Roger Anderson,/A/AndeRo20.htm,DT-T,0,5,1968,False,0,0,0,0,0
Tim Anderson,/A/AndeTi20.htm,DT,0,4,2007,False,0,0,0,0,0
John Andrews,/A/AndrJo20.htm,DE-DT,0,2,1976,False,0,0,0,0,0
Sheldon Andrus,/A/AndrSh20.htm,DT,0,2,1987,False,0,0,0,0,0
Houston Antwine,/A/AntwHo00.htm,DT-DE,0,12,1972,False,0,6,1,0,0
Scott Appleton,/A/ApplSc20.htm,DT-DE,0,5,1968,False,0,0,0,0,0
Troy Archer,/A/ArchTr20.htm,DT-DE,0,3,1978,False,0,0,0,0,0
Ray Armstrong,/A/ArmsRa20.htm,DT,0,1,1960,False,0,0,0,0,0
Dick Arndt,/A/ArndDi20.htm,DT,0,4,1970,False,0,0,0,0,0
Matthias Askew,/A/AskeMa20.htm,DT,0,2,2005,False,0,0,0,0,0
Bill Atessis,/A/AtesBi20.htm,DE-DT,0,1,1971,False,0,0,0,0,0
Frank Atkinson,/A/AtkiFr20.htm,DT,0,2,1964,False,0,0,0,0,0
James Atkins,/A/AtkiJa21.htm,DT,0,2,2004,False,0,0,0,0,0
Dowe Aughtman,/A/AughDo20.htm,DT,0,1,1984,False,0,0,0,0,0
Steve Baack,/B/BaacSt20.htm,NT-G-DE-DT,0,4,1987,False,0,0,0,0,0
Coy Bacon,/B/BacoCo00.htm,DE-DT,0,14,1981,False,0,3,0,0,0
Larry Bailey,/B/BailLa20.htm,DT,0,1,1974,False,0,0,0,0,0
Jim Bailey,/B/BailJi21.htm,DT-DE,0,9,1978,False,0,0,0,1,0
Chase Baker,/B/BakeCh01.htm,DT,0,2,2013,False,0,0,0,0,0
John Baker,/B/BakeJo20.htm,DE-DT-T,0,11,1968,False,0,0,0,0,0
Wayne Baker,/B/BakeWa20.htm,DT,0,1,1975,False,0,0,0,0,0
Tom Baldwin,/B/BaldTo20.htm,NT-DT-DE,0,5,1988,False,0,0,0,0,0
Jerry Ball,/B/BallJe00.htm,NT-DT,0,13,1999,False,0,3,1,0,0
Quinton Ballard,/B/BallQu20.htm,DT,0,1,1983,False,0,0,0,0,0
Kentwan Balmer,/B/BalmKe99.htm,DT,0,5,2012,False,0,0,0,0,0
John Banaszak,/B/BanaJo20.htm,DE-DT,0,7,1981,False,0,0,0,3,0
Romeo Bandison,/B/BandRo20.htm,DT,0,2,1996,False,0,0,0,0,0
Michael Bankston,/B/BankMi21.htm,DE-NT-DT,0,9,2000,False,0,0,0,0,0
Justin Bannan,/B/BannJu20.htm,DT,0,12,2013,False,0,0,0,0,0
Joe Barbee,/B/BarbJo20.htm,DT,0,1,1960,False,0,0,0,0,0
Ken Barfield,/B/BarfKe20.htm,T-DT,0,1,1954,False,0,0,0,0,0
Carl Barisich,/B/BariCa20.htm,DT-NT,0,9,1981,False,0,0,0,0,0
Roy Barker,/B/BarkRo20.htm,DE-DT,0,9,2000,False,0,0,0,0,0
Tom Barndt,/B/BarnTo20.htm,DT-NT-G-C,0,6,2001,False,0,0,0,0,0
Mike Barnes,/B/BarnMi00.htm,DT-DE,0,9,1981,False,0,1,0,0,0
Walt Barnes,/B/BarnWa20.htm,DT-DE,0,6,1971,False,0,0,0,0,0
Calvin Barnett,/B/BarnCa00.htm,DT,0,1,2014,False,0,0,0,0,0
Oliver Barnett,/B/BarnOl20.htm,DE-DT,0,6,1995,False,0,0,0,0,0
Troy Barnett,/B/BarnTr20.htm,DE-DT,0,3,1996,False,0,0,0,0,0
Sebastian Barrie,/B/BarrSe20.htm,DE-DT,0,4,1995,False,0,0,0,0,0
Doug Bartlett,/B/BartDo20.htm,DT-DE,0,1,1988,False,0,0,0,0,0
Carl Barzilauskas,/B/BarzCa20.htm,DT,0,6,1979,False,0,0,0,0,0
Alf Bauman,/B/BaumAl20.htm,DT-T,0,4,1950,False,0,0,0,0,0
Tom Bayless,/B/BaylTo20.htm,DT,0,1,1970,False,0,0,0,0,0
Byron Beams,/B/BeamBy20.htm,T-DT,0,3,1961,False,0,0,0,0,0
Tom Beasley,/B/BeasTo20.htm,DE-DT,0,9,1986,False,0,0,0,2,0
Jim Beaver,/B/BeavJi20.htm,DT,0,1,1962,False,0,0,0,0,0
Ken Beck,/B/BeckKe20.htm,DT-DE,0,2,1960,False,0,0,0,0,0
Randy Beisler,/B/BeisRa20.htm,G-DT-DE-T,0,10,1975,False,0,0,0,0,0
Bill Belk,/B/BelkBi20.htm,DE-DT,0,7,1974,False,0,0,0,0,0
Bob Bell,/B/BellBo20.htm,DT-DE,0,8,1978,False,0,0,0,0,0
Marcus Bell,/B/BellMa20.htm,DT,0,6,2006,False,0,0,0,0,0
Lou Benfatti,/B/BenfLo20.htm,DT,0,2,1995,False,0,0,0,0,0
Dan Benish,/B/BeniDa20.htm,DT,0,5,1987,False,0,0,0,1,0
Barry Bennett,/B/BennBa20.htm,DT-DE,0,11,1988,False,0,0,0,0,0
Darren Benson,/B/BensDa20.htm,DT,0,3,1997,False,0,0,0,1,0
Mitchell Benson,/B/BensMi20.htm,NT-DT,0,3,1991,False,0,0,0,0,0
Ron Berger,/B/BergRo20.htm,DT-DE,0,4,1972,False,0,0,0,0,0
Rocky Bernard,/B/BernRo20.htm,DT,0,11,2012,False,0,0,0,1,0
Larry Bethea,/B/BethLa20.htm,DT-DE,0,6,1983,False,0,0,0,0,0
Ron Billingsley,/B/BillRo20.htm,DT-DE,0,6,1972,False,0,0,0,0,0
Ryon Bingham,/B/BingRy20.htm,DT,0,4,2008,False,0,0,0,0,0
Dan Birdwell,/B/BirdDa00.htm,DT-DE,0,8,1969,False,0,1,1,0,0
Bill Bishop,/B/BishBi00.htm,DT-T,0,10,1961,False,0,1,0,0,0
Willie Blade,/B/BladWi20.htm,DT,0,2,2004,False,0,0,0,0,0
Ernie Blandin,/B/BlanEr20.htm,T-DT,0,8,1953,False,0,0,0,0,0
Bon Boatwright,/B/BoatBo20.htm,DT,0,1,1974,False,0,0,0,0,0
Wayne Bock,/B/BockWa20.htm,DT,0,1,1957,False,0,0,0,0,0
Rex Boggan,/B/BoggRe20.htm,DT,0,1,1955,False,0,0,0,0,0
Ron Bohm,/B/BohmRo20.htm,DT,0,1,1987,False,0,0,0,0,0
Gary Bolden,/B/BoldGa20.htm,DT,0,1,1987,False,0,0,0,0,0
Nick Bolkovac,/B/BolkNi20.htm,DT-T,0,2,1954,False,0,0,0,0,0
Conrad Bolston,/B/BolsCo99.htm,DT,0,1,2007,False,0,0,0,0,0
Shane Bonham,/B/BonhSh20.htm,DT,0,6,1999,False,0,0,0,0,0
Alfonso Boone,/B/BoonAl20.htm,DT,0,10,2010,False,0,0,0,0,0
Frank Bosch,/B/BoscFr20.htm,DT-DE,0,3,1970,False,0,0,0,0,0
Ryan Boschetti,/B/BoscRy20.htm,DT,0,5,2008,False,0,0,0,0,0
Gil Bouley,/B/BoulGi20.htm,T-DT,0,6,1950,False,0,0,0,0,0
Marc Boutte,/B/BoutMa20.htm,DT,0,8,1999,False,0,0,0,0,0
Tim Bowens,/B/BoweTi00.htm,DT,0,11,2004,False,0,2,0,0,0
Dennis Boyd,/B/BoydDe20.htm,DT-DE-T-C,0,6,1982,False,0,0,0,0,0
McKinley Boykin,/B/BoykMc99.htm,DT,0,1,2007,False,0,0,0,0,0
Ron Brace,/B/BracRo99.htm,DT,0,4,2012,False,0,0,0,0,0
M.L. Brackett,/B/BracM.20.htm,DE-DT-LB,0,3,1958,False,0,0,0,0,0
Henry Bradley,/B/BradHe20.htm,NT-DT,0,4,1982,False,0,0,0,0,0
Jon Bradley,/B/BradJo20.htm,DT,0,4,2007,False,0,0,0,0,0
Don Bramlett,/B/BramDo20.htm,DT,0,1,1987,False,0,0,0,0,0
Josh Brent,/B/BrenJo00.htm,DT,0,5,2014,False,0,0,0,0,0
Bob Briggs,/B/BrigBo20.htm,DE-DT,0,7,1974,False,0,0,0,0,0
Matt Brock,/B/BrocMa20.htm,DE-DT,0,8,1996,False,0,0,0,0,0
Jermaine Brooks,/B/BrooJe20.htm,DT,0,1,2003,False,0,0,0,0,0
Larry Brooks,/B/BrooLa00.htm,DT,0,11,1982,False,0,5,1,0,0
Lee Brooks,/B/BrooLe00.htm,DT,0,7,1976,False,0,0,0,0,0
Kevin Brooks,/B/BrooKe20.htm,DT-DE,0,6,1990,False,0,0,0,0,0
Michael Brooks,/B/BrooMi02.htm,DT,0,1,2013,False,0,0,0,1,0
Perry Brooks,/B/BrooPe20.htm,DT,0,7,1984,False,0,0,0,1,0
Willie Broughton,/B/BrouWi20.htm,DT-NT,0,12,1996,False,0,0,0,0,0
Doug Brown,/B/BrowDo24.htm,DT,0,3,1964,False,0,0,0,0,0
Doug Brown,/B/BrowDo23.htm,DT,0,2,1999,False,0,0,0,0,0
Gilbert Brown,/B/BrowGi20.htm,DT,0,11,2003,False,0,0,0,1,0
Greg Brown,/B/BrowGr20.htm,DE-DT,0,8,1988,False,0,0,0,0,0
Howie Brown,/B/BrowHo20.htm,G-T-DT,0,3,1950,False,0,0,0,0,0
Jerome Brown,/B/BrowJe00.htm,DT,0,5,1991,False,0,2,2,0,0
