Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Joe Abbey,/A/AbbeJo20.htm,E,0,2,1949,False,0,0,0,0,0
Danny Abramowicz,/A/AbraDa00.htm,E,0,8,1974,False,0,0,1,0,0
Nate Abrams,/A/AbraNa20.htm,E,0,1,1921,False,0,0,0,0,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False,0,0,0,0,0
Chet Adams,/A/AdamCh20.htm,T-E-DT,0,12,1950,False,0,2,0,0,0
John Adams,/A/AdamJo00.htm,E-FB,0,5,1963,False,0,0,0,0,0
Neal Adams,/A/AdamNe20.htm,E,0,6,1947,False,0,0,0,0,0
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False,0,0,0,0,0
Joe Aguirre,/A/AguiJo20.htm,E,0,9,1949,False,0,0,1,0,0
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False,0,0,0,0,0
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False,0,0,2,0,0
Bruce Alford,/A/AlfoBr01.htm,E-DB,0,6,1951,False,0,0,1,0,0
Ed Allen,/A/AlleEd20.htm,E,0,1,1928,False,0,0,0,0,0
Neely Allison,/A/AlliNe20.htm,E,0,3,1928,False,0,0,0,0,0
Bob Allman,/A/AllmBo20.htm,E,0,1,1936,False,0,0,0,0,0
Stan Andersen,/A/AndeSt20.htm,T-E,0,2,1941,False,0,0,0,0,0
Bill Anderson,/A/AndeBi00.htm,E-TE,0,9,1966,False,0,2,0,1,0
Cliff Anderson,/A/AndeCl00.htm,E,0,2,1953,False,0,0,0,0,0
Charlie Anderson,/A/AndeCh20.htm,DE-E,0,1,1956,False,0,0,0,0,0
Eddie Anderson,/A/AndeEd20.htm,E,0,4,1925,False,0,0,1,0,0
Ralph Anderson,/A/AndeRa00.htm,E,0,3,1960,False,0,0,0,0,0
Sugarfoot Anderson,/A/AndeSu20.htm,E,0,1,1947,False,0,0,0,0,0
Winnie Anderson,/A/AndeWi22.htm,E,0,1,1936,False,0,0,0,0,0
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False,0,0,0,0,0
Chuck Apolskis,/A/ApolCh20.htm,E,0,2,1939,False,0,0,0,0,0
Julie Archoska,/A/ArchJu20.htm,E,0,1,1930,False,0,0,0,0,0
Gump Ariail,/A/AriaGu20.htm,E,0,1,1934,False,0,0,0,0,0
Neill Armstrong,/A/ArmsNe00.htm,E-DB,0,5,1951,False,0,0,0,0,0
Jon Arnett,/A/ArneJo00.htm,HB-E,0,10,1966,False,0,5,1,0,0
Cliff Ashburn,/A/AshbCl20.htm,G-T-E,0,1,1929,False,0,0,0,0,0
Jack Atchason,/A/AtchJa00.htm,E,0,1,1960,False,0,0,0,0,0
Burl Atcheson,/A/AtchBu20.htm,E,0,1,1922,False,0,0,0,0,0
Jim Austin,/A/AustJi20.htm,E,0,3,1939,False,0,0,0,0,0
Harry Babcock,/B/BabcHa00.htm,E-DE,0,3,1955,False,0,0,0,0,0
Carl Bacchus,/B/BaccCa20.htm,E,0,2,1928,False,0,0,0,0,0
Joe Bachmaier,/B/BachJo20.htm,C-G-T-E,0,5,1924,False,0,0,0,0,0
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False,0,0,0,0,0
Red Badgro,/B/BadgRe20.htm,E-DE,1,10,1936,False,0,0,0,0,0
Bill Bailey,/B/BailBi20.htm,E-DE,0,2,1941,False,0,0,0,0,0
Frank Baker,/B/BakeFr20.htm,E,0,1,1931,False,0,0,0,0,0
Ed Balatti,/B/BalaEd20.htm,E-DB,0,3,1948,False,0,0,0,0,0
Al Baldwin,/B/BaldAl00.htm,E-DB,0,4,1950,False,0,0,0,0,0
Burr Baldwin,/B/BaldBu20.htm,E-DE,0,3,1949,False,0,0,0,0,0
George Baldwin,/B/BaldGe20.htm,E-T,0,1,1925,False,0,0,0,0,0
Hugh Bancroft,/B/BancHu20.htm,E,0,1,1923,False,0,0,0,0,0
John Bandura,/B/BandJo20.htm,E,0,1,1943,False,0,0,0,0,0
Ed Barker,/B/BarkEd00.htm,E,0,2,1954,False,0,0,0,0,0
George Barna,/B/BarnGe20.htm,E,0,1,1929,False,0,0,0,0,0
Charles Barnard,/B/BarnCh20.htm,E,0,1,1938,False,0,1,0,0,0
Charlie Barnes,/B/BarnCh00.htm,E,0,1,1961,False,0,0,0,0,0
Bob Barrabee,/B/BarrBo20.htm,E,0,1,1931,False,0,0,0,0,0
Bob Barrett,/B/BarrBo21.htm,E,0,1,1960,False,0,0,0,0,0
Jan Barrett,/B/BarrJa00.htm,E,0,2,1964,False,0,0,0,0,0
Jeff Barrett,/B/BarrJe21.htm,E,0,3,1938,False,0,0,0,0,0
John Barrett,/B/BarrJo20.htm,C-T-E,0,5,1928,False,0,0,0,0,0
Johnny Barrett,/B/BarrJo21.htm,E-HB,0,1,1920,False,0,0,0,0,0
Bert Baston,/B/BastBe20.htm,E,0,1,1920,False,0,0,0,0,0
John Batorski,/B/BatoJo20.htm,E,0,1,1946,False,0,0,0,0,0
Herb Bauer,/B/BaueHe20.htm,E,0,1,1925,False,0,0,0,0,0
Harry Baujan,/B/BaujHa20.htm,E,0,2,1921,False,0,0,0,0,0
Bill Baumgartner,/B/BaumBi20.htm,E,0,1,1947,False,0,0,0,0,0
Reaves Baysinger,/B/BaysRe20.htm,E,0,1,1924,False,0,0,0,0,0
Alyn Beals,/B/BealAl00.htm,E-DE,0,6,1951,False,0,0,0,0,0
Hub Bechtol,/B/BechHu20.htm,E,0,3,1949,False,0,0,0,0,0
Wayland Becker,/B/BeckWa20.htm,E,0,6,1939,False,0,0,0,0,0
Gene Bedford,/B/BedfGe20.htm,E,0,2,1926,False,0,0,0,0,0
Charlie Behan,/B/BehaCh20.htm,E,0,1,1942,False,0,0,0,0,0
Bill Belanich,/B/BelaBi20.htm,T-E,0,3,1929,False,0,0,0,0,0
Les Belding,/B/BeldLe20.htm,E-B,0,1,1925,False,0,0,0,0,0
Jim Benton,/B/BentJi00.htm,E,0,10,1947,False,0,1,2,0,0
Eddie Benz,/B/BenzEd20.htm,E,0,1,1922,False,0,0,0,0,0
Ed Bernet,/B/BernEd00.htm,E,0,6,1960,False,0,0,0,0,0
Bill Berrehsem,/B/BerrBi20.htm,T-E,0,1,1926,False,0,0,0,0,0
Ed Berrang,/B/BerrEd20.htm,DE-E,0,4,1952,False,0,0,0,0,0
Charlie Berry,/B/BerrCh20.htm,E,0,2,1926,False,0,0,2,0,0
Connie Mack Berry,/B/BerrCo20.htm,E,0,9,1947,False,0,0,0,0,0
Raymond Berry,/B/BerrRa00.htm,E,1,13,1967,False,0,6,3,0,0
Ed Berwick,/B/BerwEd20.htm,C-E,0,1,1926,False,0,0,0,0,0
Dick Bielski,/B/BielDi00.htm,E-FB,0,9,1963,False,0,1,0,0,0
Tom Bienemann,/B/BienTo20.htm,DE-E-LB,0,6,1956,False,0,0,0,0,0
Scotty Bierce,/B/BierSc20.htm,E,0,6,1925,False,0,0,0,0,0
Lyle Bigbee,/B/BigbLy20.htm,E,0,1,1922,False,0,0,0,0,0
Jack Bighead,/B/BighJa00.htm,DE-E,0,2,1955,False,0,0,0,0,0
Joe Biscaha,/B/BiscJo00.htm,E,0,2,1960,False,0,0,0,0,0
Keith Birlem,/B/BirlKe20.htm,B-E,0,1,1939,False,0,0,0,0,0
Frank Bissell,/B/BissFr20.htm,E,0,2,1926,False,0,0,0,0,0
Herb Bizer,/B/BizeHe20.htm,E-FB,0,1,1929,False,0,0,0,0,0
Bob Bjorklund,/B/BjorBo20.htm,C-LB-E,0,1,1941,False,0,0,0,0,0
Charlie Black,/B/BlacCh20.htm,E,0,1,1925,False,0,0,0,0,0
Peter Blackbear,/B/BlacPe20.htm,E,0,1,1923,False,0,0,0,0,0
Paul Blessing,/B/BlesPa20.htm,E,0,1,1944,False,0,0,0,0,0
Lamar Blount,/B/BlouLa20.htm,E-B,0,2,1947,False,0,0,0,0,0
Herb Blumer,/B/BlumHe20.htm,E-G-T,0,9,1933,False,0,0,0,0,0
E. Bobadash,/B/BobaE.20.htm,E,0,1,1922,False,0,0,0,0,0
Lynn Bomar,/B/BomaLy20.htm,E,0,2,1926,False,0,0,0,0,0
Bourbon Bondurant,/B/BondBo20.htm,T-E,0,2,1922,False,0,0,0,0,0
Elliott Bonowitz,/B/BonoEl20.htm,G-B-T-E,0,3,1925,False,0,0,0,0,0
J.R. Boone,/B/BoonJ.20.htm,E-HB,0,6,1953,False,0,0,0,0,0
Les Borden,/B/BordLe20.htm,E-DE,0,1,1935,False,0,0,0,0,0
John Bosdett,/B/BosdJo20.htm,E,0,1,1920,False,0,0,0,0,0
Tony Bova,/B/BovaTo20.htm,E-B,0,6,1947,False,0,0,0,0,0
Cloyce Box,/B/BoxxCl00.htm,E-HB,0,6,1954,False,0,2,1,0,0
Bob Boyd,/B/BoydBo00.htm,E-DB,0,8,1957,False,0,1,1,0,0
Sam Boyd,/B/BoydSa20.htm,E,0,2,1940,False,0,0,0,0,0
Max Boydston,/B/BoydMa00.htm,E,0,8,1962,False,0,0,0,0,0
Tom Braatz,/B/BraaTo20.htm,LB-E,0,4,1960,False,0,0,0,0,0
Hal Bradley,/B/BradHa21.htm,E,0,2,1939,False,0,0,0,0,0
Chuck Braidwood,/B/BraiCh20.htm,E,0,4,1933,False,0,0,0,0,0
Eddie Bratt,/B/BratEd20.htm,E,0,1,1924,False,0,0,0,0,0
John Bredice,/B/BredJo20.htm,E,0,1,1956,False,0,0,0,0,0
Phil Brennan,/B/BrenPh20.htm,E,0,1,1930,False,0,0,0,0,0
Monte Brethauer,/B/BretMo20.htm,DB-E,0,3,1955,False,0,0,0,0,0
Jeep Brett,/B/BretJe20.htm,E-DE,0,2,1937,False,0,0,0,0,0
Pete Brewster,/B/BrewPe00.htm,E,0,9,1960,False,0,2,0,0,0
Shirley Brick,/B/BricSh20.htm,E,0,1,1920,False,0,0,0,0,0
Larry Brink,/B/BrinLa01.htm,DE-E,0,7,1954,False,0,2,1,0,0
Gene Brito,/B/BritGe00.htm,DE-E,0,10,1960,False,0,5,3,0,0
Maurice Britt,/B/BritMa20.htm,E,0,1,1941,False,0,0,0,0,0
Rankin Britt,/B/BritRa21.htm,E,0,1,1939,False,0,0,0,0,0
Hal Broda,/B/BrodHa20.htm,E,0,1,1927,False,0,0,0,0,0
Tommy Brooker,/B/BrooTo20.htm,E-K,0,5,1966,False,0,1,0,0,0
Tom Brown,/B/BrowTo20.htm,E,0,1,1942,False,0,0,0,0,0
Gregg Browning,/B/BrowGr21.htm,E,0,1,1947,False,0,0,0,0,0
Dick Brubaker,/B/BrubDi00.htm,E-DE,0,6,1960,False,0,0,0,0,0
Gail Bruce,/B/BrucGa20.htm,DE-E,0,4,1951,False,0,0,0,0,0
Roman Brumm,/B/BrumRo20.htm,E-T-C-G,0,3,1926,False,0,0,0,0,0
Bob Bryant,/B/BryaBo00.htm,E,0,1,1960,False,0,0,0,0,0
Chuck Bryant,/B/BryaCh20.htm,E,0,1,1962,False,0,0,0,0,0
Bill Bucher,/B/BuchBi20.htm,E,0,1,1925,False,0,0,0,0,0
Frank Bucher,/B/BuchFr20.htm,E,0,2,1926,False,0,0,0,0,0
Bill Buckler,/B/BuckBi20.htm,G-T-E,0,8,1933,False,0,0,0,0,0
Phil Bucklew,/B/BuckPh20.htm,E,0,2,1938,False,0,0,0,0,0
Ted Buffalo,/B/BuffTe20.htm,T-E-G,0,1,1923,False,0,0,0,0,0
Gale Bullman,/B/BullGa20.htm,E,0,1,1925,False,0,0,0,0,0
Jeff Burkett,/B/BurkJe20.htm,E-DB,0,1,1947,False,0,0,0,0,0
Hank Burnine,/B/BurnHa20.htm,E,0,2,1957,False,0,0,0,0,0
Harry Burrus,/B/BurrHa20.htm,B-E,0,3,1948,False,0,0,0,0,0
Ray Bush,/B/BushRa20.htm,E,0,1,1926,False,0,0,0,0,0
Sam Busich,/B/BusiSa20.htm,E,0,8,1943,False,0,0,0,0,0
Larry Cabrelli,/C/CabrLa20.htm,E-DB,0,7,1947,False,0,0,0,0,0
Jim Cain,/C/CainJi20.htm,DE-E,0,7,1955,False,0,0,0,0,0
Pete Calac,/C/CalaPe20.htm,B-E,0,7,1926,False,0,0,0,0,0
Glenn Campbell,/C/CampGl20.htm,E,0,7,1935,False,0,0,0,0,0
Ken Campbell,/C/CampKe20.htm,E,0,1,1960,False,0,0,0,0,0
Mac Cara,/C/CaraMa20.htm,E,0,2,1938,False,0,0,0,0,0
Glenn Carberry,/C/CarbGl20.htm,E,0,3,1925,False,0,0,0,0,0
Bob Carey,/C/CareBo20.htm,E,0,7,1958,False,0,0,0,0,0
Roy Carlson,/C/CarlRo20.htm,E-G,0,2,1929,False,0,0,0,0,0
