Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Fred Abel,/A/AbelFr20.htm,BB-FB,0,1,1926,False,0,0,0,0,0
Tony Adamle,/A/AdamTo02.htm,LB-FB,0,8,1954,False,0,2,0,0,0
John Adams,/A/AdamJo00.htm,E-FB,0,5,1963,False,0,0,0,0,0
Sam Agee,/A/AgeeSa20.htm,FB,0,2,1939,False,0,0,0,0,0
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False,0,0,0,0,0
Ray Agnew,/A/AgneRa00.htm,FB,0,1,2014,False,0,0,0,0,0
Frank Akins,/A/AkinFr00.htm,FB,0,4,1946,False,0,0,0,0,0
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False,0,0,0,0,0
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False,0,0,0,0,0
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False,0,0,0,0,0
Don Allen,/A/AlleDo01.htm,FB,0,1,1960,False,0,0,0,0,0
Eddie Allen,/A/AlleEd21.htm,FB-LB,0,1,1947,False,0,0,0,0,0
Alan Ameche,/A/AmecAl00.htm,FB,0,6,1960,False,0,4,1,0,0
Deon Anderson,/A/AndeDe01.htm,FB,0,4,2010,False,0,0,0,0,0
Richie Anderson,/A/AndeRi00.htm,FB,0,12,2004,False,0,1,0,0,0
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False,0,0,0,0,0
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False,0,0,0,0,0
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False,0,0,0,0,0
Bill Ashbaugh,/A/AshbBi20.htm,FB-WB,0,2,1925,False,0,0,0,0,0
B.J. Askew,/A/AskeB.00.htm,FB,0,7,2009,False,0,0,0,0,0
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False,0,0,0,0,0
Dale Atkeson,/A/AtkeDa00.htm,FB,0,3,1956,False,0,0,0,0,0
Reggie Attache,/A/AttaRe20.htm,WB-FB,0,1,1922,False,0,0,0,0,0
Butch Avinger,/A/AvinBu00.htm,FB,0,1,1953,False,0,0,0,0,0
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False,0,0,0,0,0
Gene Babb,/B/BabbGe20.htm,LB-FB,0,7,1963,False,0,0,0,0,0
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False,0,0,0,0,0
