Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
George Abramson,/A/AbraGe20.htm,G-T,0,1,1925,False,0,0,0,0,0
Tom Ackerman,/A/AckeTo20.htm,G-C,0,8,2003,False,0,0,0,0,0
Bill Adams,/A/AdamBi20.htm,G-T,0,7,1978,False,0,0,0,0,0
Flozell Adams,/A/AdamFl00.htm,T-G-TE,0,13,2010,False,0,5,0,0,0
Pete Adams,/A/AdamPe20.htm,G,0,3,1976,False,0,0,0,0,0
Sam Adams,/A/AdamSa20.htm,G-T,0,10,1981,False,0,0,0,0,0
Scott Adams,/A/AdamSc20.htm,G-T,0,6,1997,False,0,0,0,0,0
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False,0,0,0,0,0
Ken Adamson,/A/AdamKe00.htm,G,0,3,1962,False,0,1,1,0,0
Mark Adickes,/A/AdicMa20.htm,G,0,6,1991,False,0,0,0,1,0
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False,0,0,0,0,0
Roy Adkins,/A/AdkiRo20.htm,G,0,1,1920,False,0,0,0,0,0
Dick Afflis,/A/AfflDi20.htm,T-DG-G,0,4,1954,False,0,0,0,0,0
Alex Agase,/A/AgasAl20.htm,LB-G,0,7,1953,False,0,0,0,0,0
Jim Ailinger,/A/AiliJi20.htm,G,0,1,1924,False,0,0,0,0,0
Charles Aiu,/A/AiuxCh20.htm,G,0,3,1978,False,0,0,0,0,0
Len Akin,/A/AkinLe20.htm,G-LB,0,1,1942,False,0,0,0,0,0
Tom Alberghini,/A/AlbeTo20.htm,G,0,1,1945,False,0,0,0,0,0
Ted Albrecht,/A/AlbrTe20.htm,T-G,0,5,1981,False,0,0,0,0,0
Bill Albright,/A/AlbrBi20.htm,G-T-DT,0,4,1954,False,0,0,0,0,0
Ethan Albright,/A/AlbrEt20.htm,G-C-T,0,16,2010,False,0,1,0,0,0
Grady Alderman,/A/AldeGr00.htm,T-G,0,15,1974,False,0,6,1,0,0
Ki Aldrich,/A/AldrKi20.htm,C-LB-G,0,9,1947,False,0,2,0,0,0
Keith Alex,/A/AlexKe20.htm,G,0,1,1993,False,0,0,0,0,0
Steve Alexakos,/A/AlexSt20.htm,G,0,2,1971,False,0,0,0,0,0
Dan Alexander,/A/AlexDa20.htm,G-T,0,13,1989,False,0,0,0,0,0
David Alexander,/A/AlexDa22.htm,C-G-T,0,10,1996,False,0,0,0,0,0
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False,0,0,2,0,0
P.J. Alexander,/A/AlexP.20.htm,G,0,4,2007,False,0,0,0,0,0
Darnell Alford,/A/AlfoDa20.htm,G,0,2,2001,False,0,0,0,0,0
Warren Alfson,/A/AlfsWa20.htm,G-LB,0,1,1941,False,0,0,0,0,0
Andy Alleman,/A/AlleAn20.htm,G,0,2,2009,False,0,0,0,0,0
Derek Allen,/A/AlleDe20.htm,G,0,1,1995,False,0,0,0,0,0
Larry Allen,/A/AlleLa00.htm,G-T,1,14,2007,False,0,11,6,1,0
Roger Allen,/A/AlleRo20.htm,G,0,4,2012,False,0,0,0,0,0
Henry Allison,/A/AlliHe20.htm,G-T,0,7,1977,False,0,0,0,0,0
Tom Alward,/A/AlwaTo20.htm,G,0,1,1976,False,0,0,0,0,0
Walt Ambrose,/A/AmbrWa20.htm,G,0,1,1930,False,0,0,0,0,0
Rudy Andabaker,/A/AndaRu20.htm,G,0,3,1954,False,0,0,0,0,0
Norm Amundsen,/A/AmunNo20.htm,G,0,1,1957,False,0,0,0,0,0
Alec Anderson,/A/AndeAl20.htm,G,0,1,1921,False,0,0,0,0,0
Jason Andersen,/A/AndeJa20.htm,G,0,4,2002,False,0,0,0,0,0
Bennie Anderson,/A/AndeBe20.htm,G,0,6,2006,False,0,0,0,0,0
Bryan Anderson,/A/AndeBr22.htm,G,0,1,2004,False,0,0,0,0,0
Gary Anderson,/A/AndeGa20.htm,G,0,4,1980,False,0,0,0,0,0
Hunk Anderson,/A/AndeHu20.htm,G-C,0,4,1925,False,0,0,0,0,0
Paul Anderson,/A/AndePa20.htm,G,0,1,1925,False,0,0,0,0,0
Eric Andolsek,/A/AndoEr20.htm,G,0,4,1991,False,0,0,0,0,0
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False,0,0,0,0,0
