Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Duke Abbruzzi,/A/AbbrDu20.htm,HB-DB,0,1,1946,False,0,0,0,0,0
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False,0,0,0,0,0
Al Akins,/A/AkinAl20.htm,HB-DB,0,3,1948,False,0,0,0,0,0
Bennie Aldridge,/A/AldrBe00.htm,DB-HB,0,4,1953,False,0,0,0,0,0
Buddy Allen,/A/AlleBu00.htm,HB,0,1,1961,False,0,0,0,0,0
John Amberg,/A/AmbeJo00.htm,DB-HB,0,2,1952,False,0,0,0,0,0
Dave Ames,/A/AmesDa00.htm,HB-DB,0,1,1961,False,0,0,0,0,0
Vito Ananis,/A/AnanVi20.htm,HB-DB,0,1,1945,False,0,0,0,0,0
Billy Anderson,/A/AndeBi01.htm,DB-HB,0,2,1954,False,0,0,0,0,0
Bob Anderson,/A/AndeBo01.htm,HB,0,1,1963,False,0,0,0,0,0
Elmer Angsman,/A/AngsEl00.htm,HB,0,7,1952,False,0,1,0,0,0
Jim Apple,/A/ApplJi00.htm,HB,0,1,1961,False,0,0,0,0,0
Joe Arenas,/A/ArenJo00.htm,HB-DB,0,7,1957,False,0,0,0,0,0
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False,0,0,0,0,0
Jon Arnett,/A/ArneJo00.htm,HB-E,0,10,1966,False,0,5,1,0,0
Billy Atkins,/A/AtkiBi00.htm,DB-HB,0,7,1964,False,0,1,0,0,0
Pervis Atkins,/A/AtkiPe00.htm,FL-HB-WR,0,6,1966,False,0,0,0,0,0
John Atwood,/A/AtwoJo20.htm,HB-WB-DB,0,1,1948,False,0,0,0,0,0
Steve Bagarus,/B/BagaSt20.htm,HB-DB,0,4,1948,False,0,0,1,0,0
Billy Baggett,/B/BaggBi00.htm,HB-DB,0,1,1952,False,0,0,0,0,0
Byron Bailey,/B/BailBy00.htm,HB,0,2,1953,False,0,0,0,0,0
Bill Baird,/B/BairBi20.htm,DB-HB,0,7,1969,False,0,0,0,1,0
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False,0,0,0,0,0
Lou Baldacci,/B/BaldLo00.htm,HB,0,1,1956,False,0,0,0,0,0
Herb Banet,/B/BaneHe20.htm,TB-HB-DB,0,1,1937,False,0,0,0,0,0
Jack Banta,/B/BantJa20.htm,HB,0,8,1948,False,0,0,0,0,0
Lou Barle,/B/BarlLo20.htm,HB-QB,0,2,1939,False,0,0,0,0,0
Billy Ray Barnes,/B/BarnBi00.htm,HB,0,10,1966,False,0,3,0,0,0
Tom Barnett,/B/BarnTo00.htm,HB-DB,0,2,1960,False,0,0,0,0,0
Terry Barr,/B/BarrTe00.htm,HB-DB-FL,0,9,1965,False,0,2,0,0,0
Johnny Barrett,/B/BarrJo21.htm,E-HB,0,1,1920,False,0,0,0,0,0
Norm Barry,/B/BarrNo20.htm,BB-HB,0,2,1922,False,0,0,0,0,0
Paul Barry,/B/BarrPa00.htm,FB-HB,0,5,1954,False,0,0,0,0,0
Earl Bartlett,/B/BartEa20.htm,HB,0,1,1939,False,0,0,0,0,0
Don Barton,/B/BartDo00.htm,HB,0,1,1953,False,0,0,0,0,0
Joe Bartos,/B/BartJo00.htm,DB-HB,0,1,1950,False,0,0,0,0,0
Nick Basca,/B/BascNi20.htm,HB,0,1,1941,False,0,0,0,0,0
Dick Bass,/B/BassDi00.htm,FB-HB,0,10,1969,False,0,3,0,0,0
Reds Bassman,/B/BassRe20.htm,HB,0,1,1936,False,0,0,0,0,0
Joe Billy Baumgardner,/B/BaumJo20.htm,HB,0,1,1948,False,0,0,0,0,0
Jim Bausch,/B/BausJi20.htm,HB,0,1,1933,False,0,0,0,0,0
Craig Baynham,/B/BaynCr00.htm,HB,0,6,1972,False,0,0,0,0,0
John Beckwith,/B/BeckJo22.htm,HB,0,1,1920,False,0,0,0,0,0
Henry Bell,/B/BellHe00.htm,HB,0,1,1960,False,0,0,0,0,0
Joe Bellino,/B/BellJo00.htm,HB,0,3,1967,False,0,0,0,0,0
Frank Bernardi,/B/BernFr20.htm,DB-HB,0,6,1960,False,0,0,0,0,0
Rex Berry,/B/BerrRe21.htm,DB-HB,0,6,1956,False,0,0,0,0,0
Wayne Berry,/B/BerrWa00.htm,HB-DB,0,1,1954,False,0,0,0,0,0
Will Berzinski,/B/BerzWi00.htm,HB,0,1,1956,False,0,0,0,0,0
Don Bingham,/B/BingDo00.htm,HB,0,1,1956,False,0,0,0,0,0
John Binotto,/B/BinoJo20.htm,HB,0,1,1942,False,0,0,0,0,0
Charlie Bivins,/B/BiviCh00.htm,HB-TE,0,8,1967,False,0,0,0,0,0
Hal Blackwell,/B/BlacHa21.htm,HB-DB,0,1,1945,False,0,0,0,0,0
Mel Bleeker,/B/BleeMe20.htm,HB,0,4,1947,False,0,0,0,0,0
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False,0,0,0,0,0
Bill Boedeker,/B/BoedBi20.htm,HB,0,5,1950,False,0,0,0,0,0
Dewey Bohling,/B/BohlDe00.htm,HB,0,2,1961,False,0,0,0,0,0
Leroy Bolden,/B/BoldLe20.htm,HB,0,2,1959,False,0,0,0,0,0
J.R. Boone,/B/BoonJ.20.htm,E-HB,0,6,1953,False,0,0,0,0,0
Steve Bowman,/B/BowmSt20.htm,HB,0,1,1966,False,0,0,0,0,0
Cloyce Box,/B/BoxxCl00.htm,E-HB,0,6,1954,False,0,2,1,0,0
George Brancato,/B/BranGe20.htm,HB-DB,0,1,1954,False,0,0,0,0,0
Jim Brandt,/B/BranJi20.htm,DB-HB,0,3,1954,False,0,0,0,0,0
Solomon Brannan,/B/BranSo20.htm,DB-HB,0,3,1967,False,0,0,0,0,0
Bill Bredde,/B/BredBi20.htm,DB-HB,0,1,1954,False,0,0,0,0,0
Untz Brewer,/B/BrewUn20.htm,HB,0,1,1922,False,0,0,0,0,0
Bobby Brezina,/B/BrezBo20.htm,HB,0,1,1963,False,0,0,0,0,0
Charley Brock,/B/BrocCh20.htm,C-HB-FB,0,9,1947,False,0,3,1,0,0
Charlie Brown,/B/BrowCh22.htm,DB-HB,0,3,1968,False,0,0,0,0,0
Dave Brown,/B/BrowDa21.htm,WB-FB-HB,0,5,1947,False,0,0,0,0,0
Don Brown,/B/BrowDo20.htm,HB,0,1,1960,False,0,0,0,0,0
Fred Brown,/B/BrowFr00.htm,HB,0,3,1963,False,0,0,0,0,0
Marv Brown,/B/BrowMa23.htm,HB,0,1,1957,False,0,0,0,0,0
Matt Brown,/B/BrowMa24.htm,HB,0,1,1920,False,0,0,0,0,0
Willie Brown,/B/BrowWi00.htm,WR-HB,0,3,1966,False,0,0,0,0,0
Charlie Browning,/B/BrowCh27.htm,HB,0,1,1965,False,0,0,0,0,0
Walter Bryan,/B/BryaWa20.htm,DB-HB,0,1,1955,False,0,0,0,0,0
Ralph Buckley,/B/BuckRa20.htm,BB-HB,0,1,1930,False,0,0,0,0,0
Amos Bullocks,/B/BullAm00.htm,HB,0,5,1966,False,0,0,0,0,0
Rex Bumgardner,/B/BumgRe20.htm,HB-DB,0,5,1952,False,0,0,0,0,0
Alex Burl,/B/BurlAl20.htm,HB,0,1,1956,False,0,0,0,0,0
Ray Burnett,/B/BurnRa20.htm,HB,0,1,1938,False,0,0,0,0,0
Leon Burton,/B/BurtLe00.htm,HB,0,1,1960,False,0,0,0,0,0
Ron Burton,/B/BurtRo00.htm,HB,0,6,1965,False,0,0,0,0,0
Bill Butler,/B/ButlBi20.htm,DB-HB,0,6,1964,False,0,0,0,0,0
Johnny Butler,/B/ButlJo21.htm,HB-TB,0,3,1945,False,0,0,0,0,0
Sol Butler,/B/ButlSo20.htm,WB-BB-HB,0,4,1926,False,0,0,0,0,0
George Cafego,/C/CafeGe20.htm,FB-QB-HB,0,6,1945,False,0,0,0,0,0
Jamie Caleb,/C/CaleJa00.htm,HB-FB,0,6,1965,False,0,0,0,0,0
Jack Call,/C/CallJa20.htm,HB,0,3,1959,False,0,0,0,0,0
Tom Calvin,/C/CalvTo21.htm,HB,0,4,1955,False,0,0,0,0,0
Al Campana,/C/CampAl20.htm,DB-HB,0,4,1953,False,0,0,0,0,0
Milt Campbell,/C/CampMi20.htm,HB,0,1,1957,False,0,0,0,0,0
Tony Canadeo,/C/CanaTo00.htm,HB-TB-FB-DB,1,12,1952,False,0,0,1,0,0
Al Cannava,/C/CannAl20.htm,HB-DB,0,1,1950,False,0,0,0,0,0
Billy Cannon,/C/CannBi00.htm,TE-HB-FB,0,11,1970,False,0,2,2,0,0
John Cardwell,/C/CardJo21.htm,HB,0,1,1923,False,0,0,0,0,0
Harland Carl,/C/CarlHa20.htm,HB,0,1,1956,False,0,0,0,0,0
Wray Carlton,/C/CarlWr00.htm,HB-FB,0,8,1967,False,0,2,0,0,0
Al Carmichael,/C/CarmAl00.htm,HB,0,9,1961,False,0,0,0,0,0
Ray Carnelly,/C/CarnRa20.htm,HB,0,1,1939,False,0,0,0,0,0
Paul Carmichael,/C/CarmPa20.htm,HB,0,1,1965,False,0,0,0,0,0
J.C. Caroline,/C/CaroJ.00.htm,DB-HB,0,10,1965,False,0,1,0,0,0
Ken Carpenter,/C/CarpKe00.htm,HB-FL,0,11,1960,False,0,1,0,0,0
Lew Carpenter,/C/CarpLe00.htm,HB-FB,0,11,1963,False,0,0,0,0,0
Preston Carpenter,/C/CarpPr00.htm,E-HB,0,12,1967,False,0,1,0,0,0
Eddie Carr,/C/CarrEd20.htm,DB-HB,0,3,1949,False,0,0,0,0,0
Jimmy Carr,/C/CarrJi20.htm,DB-LB-HB,0,11,1965,False,0,0,0,0,0
Kern Carson,/C/CarsKe00.htm,HB,0,1,1965,False,0,0,0,0,0
Willie Carter,/C/CartWi20.htm,HB-DB,0,1,1953,False,0,0,0,0,0
Ken Casanega,/C/CasaKe20.htm,QB-DB-HB,0,3,1948,False,0,0,0,0,0
Bernie Casey,/C/CaseBe00.htm,HB-FL-TE-WR,0,8,1968,False,0,1,0,0,0
Pete Casey,/C/CasePe21.htm,WB-HB,0,1,1923,False,0,0,0,0,0
Jim Cason,/C/CasoJi00.htm,DB-HB,0,9,1956,False,0,2,0,0,0
Howard Cassady,/C/CassHo00.htm,HB-SE-FL,0,8,1963,False,0,0,0,0,0
Tom Cassese,/C/CassTo20.htm,DB-HB,0,1,1967,False,0,0,0,0,0
Royal Cathcart,/C/CathRo20.htm,HB,0,1,1950,False,0,0,0,0,0
Sam Cathcart,/C/CathSa20.htm,DB-HB,0,4,1952,False,0,0,0,0,0
Dan Chamberlain,/C/ChamDa00.htm,E-HB,0,2,1961,False,0,0,0,0,0
Lynn Chandnois,/C/ChanLy00.htm,HB-WB-TB,0,7,1956,False,0,2,0,0,0
