Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Vince Abbott,/A/abbotvin01.htm,K,0,2,1988,False,0,0,0,0,0
Dick Absher,/A/AbshDi20.htm,LB-K,0,6,1972,False,0,0,0,0,0
Ben Agajanian,/A/AgajBe20.htm,K,0,20,1964,False,0,0,0,0,0
David Akers,/A/akersdav01.htm,K,0,16,2013,False,0,6,2,0,0
Sergio Albert,/A/AlbeSe20.htm,K,0,1,1974,False,0,0,0,0,0
Bruce Alford,/A/AlfoBr20.htm,K,0,3,1969,False,0,0,0,0,0
Raul Allegre,/A/allegrau01.htm,K,0,9,1991,False,0,0,0,2,0
Wilson Alvarez,/A/alvarwil01.htm,K,0,1,1981,False,0,0,0,0,0
Morten Andersen,/A/andermor01.htm,K,1,26,2007,False,0,7,3,0,0
Gary Anderson,/A/andergar02.htm,K,0,23,2004,False,0,4,1,0,0
Shane Andrus,/A/AndrSh00.htm,K,0,2,2010,False,0,0,0,0,0
Zenon Andrusyshyn,/A/AndrZe20.htm,P-K,0,1,1978,False,0,0,0,0,0
Jake Arians,/A/arianjak01.htm,K,0,1,2001,False,0,0,0,0,0
Obed Ariri,/A/aririobe01.htm,K,0,4,1987,False,0,0,0,1,0
Jess Atkinson,/A/atkinjes01.htm,K,0,4,1988,False,0,0,0,1,0
John Aveni,/A/AvenJo20.htm,K-DE,0,3,1961,False,0,0,0,0,0
Chris Bahr,/B/bahrxchr01.htm,K,0,14,1989,False,0,0,0,2,0
Matt Bahr,/B/bahrxmat01.htm,K,0,17,1995,False,0,0,0,3,0
Jon Baker,/B/BakeJo24.htm,K,0,5,1999,False,0,0,0,1,0
Sam Baker,/B/BakeSa20.htm,K-FB,0,17,1969,False,0,4,0,0,0
Jim Bakken,/B/BakkJi20.htm,K,0,17,1978,False,0,4,2,0,0
Charlie Baumann,/B/baumacha01.htm,K,0,2,1992,False,0,0,0,0,0
Braden Beck,/B/BeckBr20.htm,K,0,1,1971,False,0,0,0,0,0
Willie Beecher,/B/beechwil01.htm,K,0,1,1987,False,0,0,0,0,0
Bill Bell,/B/BellBi20.htm,K,0,3,1973,False,0,0,0,0,0
Rolf Benirschke,/B/benirrol01.htm,K,0,10,1986,False,0,1,0,0,0
Scott Bentley,/B/bentlsco01.htm,K,0,4,2000,False,0,0,0,1,0
George Benyola,/B/benyogeo01.htm,K,0,1,1987,False,0,0,0,0,0
Dean Biasucci,/B/biasudea01.htm,K,0,12,1995,False,0,1,0,0,0
Rob Bironas,/B/bironrob01.htm,K,0,9,2013,False,0,1,1,0,0
Tom Birney,/B/birnetom01.htm,K,0,2,1980,False,0,0,0,0,0
Don Bitterlich,/B/BittDo20.htm,K,0,1,1976,False,0,0,0,0,0
George Blair,/B/BlaiGe00.htm,DB-K,0,4,1964,False,0,1,0,0,0
