Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Rahim Abdullah,/A/AbduRa20.htm,LB,0,2,2000,False,0,0,0,0,0
Khalid Abdullah,/A/AbduKh20.htm,LB,0,1,2003,False,0,0,0,0,0
Bud Abell,/A/AbelBu20.htm,LB,0,3,1968,False,0,0,0,0,0
Robert Abraham,/A/AbraRo20.htm,LB,0,6,1987,False,0,0,0,0,0
Bobby Abrams,/A/AbraBo20.htm,LB,0,6,1995,False,0,0,0,3,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Dick Absher,/A/AbshDi20.htm,LB-K,0,6,1972,False,0,0,0,0,0
Steve Ache,/A/AcheSt20.htm,LB,0,1,1987,False,0,0,0,0,0
Ron Acks,/A/AcksRo20.htm,LB,0,9,1976,False,0,0,0,0,0
Tony Adamle,/A/AdamTo02.htm,LB-FB,0,8,1954,False,0,2,0,0,0
Doug Adams,/A/AdamDo20.htm,LB,0,4,1974,False,0,0,0,0,0
Earnest Adams,/A/AdamEa20.htm,LB,0,1,1987,False,0,0,0,0,0
Keith Adams,/A/AdamKe20.htm,LB,0,7,2007,False,0,0,0,0,0
Stan Adams,/A/AdamSt20.htm,LB,0,1,1984,False,0,0,0,0,0
Willie Adams,/A/AdamWi20.htm,DE-LB,0,2,1966,False,0,0,0,0,0
Verlin Adams,/A/AdamVe20.htm,DE-T-G-E-LB,0,3,1945,False,0,0,0,0,0
Tom Addison,/A/AddiTo00.htm,LB,0,8,1967,False,0,4,1,0,0
Nick Adduci,/A/AdduNi20.htm,LB,0,2,1955,False,0,0,0,0,0
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False,0,0,0,0,0
Xavier Adibi,/A/AdibXa99.htm,LB,0,5,2012,False,0,0,0,0,0
Spencer Adkins,/A/AdkiSp99.htm,LB,0,3,2011,False,0,0,0,0,0
Alex Agase,/A/AgasAl20.htm,LB-G,0,7,1953,False,0,0,0,0,0
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False,0,0,0,0,0
Dave Ahrens,/A/AhreDa20.htm,LB,0,10,1990,False,0,0,0,0,0
Victor Aiyewa,/A/AiyeVi00.htm,LB,0,1,2013,False,0,0,0,0,0
Hakim Akbar,/A/AkbaHa20.htm,LB,0,2,2002,False,0,0,0,1,0
Len Akin,/A/AkinLe20.htm,G-LB,0,1,1942,False,0,0,0,0,0
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False,0,0,0,0,0
Art Albrecht,/A/AlbrAr20.htm,T-C-LB,0,3,1944,False,0,0,0,0,0
Trev Alberts,/A/AlbeTr20.htm,LB,0,3,1996,False,0,0,0,0,0
Alex Albright,/A/AlbrAl00.htm,LB,0,2,2012,False,0,0,0,0,0
Ki Aldrich,/A/AldrKi20.htm,C-LB-G,0,9,1947,False,0,2,0,0,0
Allen Aldridge,/A/AldrAl21.htm,LB,0,8,2001,False,0,0,0,1,0
Ink Aleaga,/A/AleaIn20.htm,LB,0,3,1999,False,0,0,0,0,0
Arnold Ale,/A/AlexAr20.htm,LB,0,3,1996,False,0,0,0,0,0
Elijah Alexander,/A/AlexEl20.htm,LB,0,10,2001,False,0,0,0,0,0
Eric Alexander,/A/AlexEr20.htm,LB,0,7,2010,False,0,0,0,1,0
Kevin Alexander,/A/AlexKe02.htm,LB-DE,0,1,2010,False,0,0,0,0,0
Mister Alexander,/A/AlexMi01.htm,LB,0,4,2014,False,0,0,0,0,0
Patrise Alexander,/A/AlexPa20.htm,LB,0,3,1998,False,0,0,0,0,0
Rogers Alexander,/A/AlexRo22.htm,LB,0,2,1987,False,0,0,0,0,0
Rufus Alexander,/A/AlexRu20.htm,LB,0,1,2008,False,0,0,0,0,0
Lynwood Alford,/A/AlfoLy20.htm,LB,0,1,1987,False,0,0,0,0,0
Warren Alfson,/A/AlfsWa20.htm,G-LB,0,1,1941,False,0,0,0,0,0
Tuineau Alipate,/A/AlipTu20.htm,LB,0,2,1995,False,0,0,0,0,0
Brian Allen,/A/AlleBr21.htm,LB,0,4,2004,False,0,0,0,0,0
Chuck Allen,/A/AlleCh00.htm,LB,0,12,1972,False,0,2,0,0,0
Doug Allen,/A/AlleDo20.htm,LB,0,2,1975,False,0,0,0,0,0
Eddie Allen,/A/AlleEd21.htm,FB-LB,0,1,1947,False,0,0,0,0,0
Grady Allen,/A/AlleGr20.htm,LB,0,5,1972,False,0,0,0,0,0
James Allen,/A/AlleJa21.htm,LB,0,4,2005,False,0,0,0,0,0
Johnny Allen,/A/AlleJo20.htm,C-LB,0,4,1958,False,0,0,0,0,0
Russell Allen,/A/AlleRu00.htm,LB,0,5,2013,False,0,0,0,0,0
Kurt Allerman,/A/AlleKu20.htm,LB,0,9,1985,False,0,0,0,0,0
Ty Allert,/A/AlleTy20.htm,LB,0,5,1990,False,0,0,0,0,0
Buddy Alliston,/A/AlliBu20.htm,LB,0,1,1960,False,0,0,0,0,0
Colin Allred,/A/AllrCo99.htm,LB,0,4,2010,False,0,0,0,0,0
O'Brien Alston,/A/AlstOB20.htm,LB,0,2,1989,False,0,0,0,0,0
Jon Alston,/A/AlstJo20.htm,LB,0,4,2009,False,0,0,0,0,0
Dick Ambrose,/A/AmbrDi20.htm,LB,0,9,1983,False,0,0,0,0,0
Aric Anderson,/A/AndeAr20.htm,LB,0,1,1987,False,0,0,0,0,0
Charlie Anderson,/A/AndeCh21.htm,LB,0,7,2010,False,0,0,0,0,0
Erick Anderson,/A/AndeEr20.htm,LB,0,2,1994,False,0,0,0,0,0
Justin Anderson,/A/AndeJu01.htm,LB,0,1,2014,False,0,0,0,0,0
John Anderson,/A/AndeJo20.htm,LB,0,12,1989,False,0,0,0,0,0
Stuart Anderson,/A/AndeSt21.htm,LB,0,4,1985,False,0,0,0,1,0
Al Andrews,/A/AndrAl20.htm,LB,0,2,1971,False,0,0,0,0,0
Steve Andrako,/A/AndrSt20.htm,C-LB,0,1,1940,False,0,0,0,0,0
Billy Andrews,/A/AndrBi20.htm,LB,0,11,1977,False,0,0,0,0,0
George Andrews,/A/AndrGe20.htm,LB,0,6,1984,False,0,0,0,0,0
Ricky Andrews,/A/AndrRi20.htm,LB,0,1,1990,False,0,0,0,0,0
Lou Andrus,/A/AndrLo20.htm,LB,0,1,1967,False,0,0,0,0,0
Pat Angerer,/A/AngePa99.htm,LB,0,4,2013,False,0,0,0,0,0
Jason Ankrah,/A/AnkrJa00.htm,LB,0,1,2014,False,0,0,0,0,0
Sam Anno,/A/AnnoSa20.htm,LB,0,7,1993,False,0,0,0,0,0
Cornelius Anthony,/A/AnthCo20.htm,LB,0,2,2003,False,0,0,0,0,0
Charles Anthony,/A/AnthCh20.htm,LB,0,1,1974,False,0,0,0,0,0
Steve Apke,/A/ApkeSt20.htm,LB,0,1,1987,False,0,0,0,0,0
Ray Apolskis,/A/ApolRa20.htm,C-G-LB,0,10,1950,False,0,1,0,0,0
Antwan Applewhite,/A/ApplAn99.htm,LB,0,5,2012,False,0,0,0,0,0
Marger Apsit,/A/ApsiMa20.htm,BB-LB-DB-TB,0,3,1933,False,0,0,0,0,0
Ben Apuna,/A/ApunBe20.htm,LB,0,1,1980,False,0,0,0,0,0
Brandon Archer,/A/ArchBr99.htm,LB,0,1,2007,False,0,0,0,0,0
Tony Arena,/A/ArenTo20.htm,C-LB,0,1,1942,False,0,0,0,0,0
Arnie Arenz,/A/ArenAr20.htm,BB-LB,0,1,1934,False,0,0,0,0,0
Jessie Armstead,/A/ArmsJe00.htm,LB,0,11,2003,False,0,5,1,0,0
Antonio Armstrong,/A/ArmsAn20.htm,LB,0,1,1995,False,0,0,0,0,0
Mark Arneson,/A/ArneMa20.htm,LB,0,9,1980,False,0,0,0,0,0
Stanley Arnoux,/A/ArnoSt99.htm,LB,0,1,2010,False,0,0,0,0,0
LaVar Arrington,/A/ArriLa00.htm,LB,0,7,2006,False,0,3,0,0,0
Walker Lee Ashley,/A/AshlWa20.htm,LB,0,8,1990,False,0,0,0,0,0
K.C. Asiodu,/A/AsioK.00.htm,LB,0,2,2010,False,0,0,0,0,0
Nate Askew,/A/AskeNa01.htm,LB,0,1,2014,False,0,0,0,0,0
Corey Atkins,/A/AtkiCo20.htm,LB,0,1,2000,False,0,0,0,0,0
Kelvin Atkins,/A/AtkiKe20.htm,LB,0,1,1983,False,0,0,0,0,0
Larry Atkins,/A/AtkiLa20.htm,LB,0,5,2003,False,0,0,0,0,0
Al Atkinson,/A/AtkiAl00.htm,LB,0,10,1974,False,0,1,0,1,0
Todd Auer,/A/AuerTo20.htm,LB,0,1,1987,False,0,0,0,0,0
David Aupiu,/A/AupiDa20.htm,LB,0,1,1987,False,0,0,0,0,0
Chuck Avedisian,/A/AvedCh20.htm,G-LB,0,3,1944,False,0,0,0,0,0
Sisto Averno,/A/AverSi20.htm,LB-MG-G,0,5,1954,False,0,0,0,0,0
