Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Isaako Aaitui,/A/AaitIs00.htm,NT,0,2,2014,False,0,0,0,0,0
Bill Acker,/A/AckeBi20.htm,NT,0,8,1987,False,0,0,0,0,0
Rick Ackerman,/A/AckeRi20.htm,NT-DT,0,6,1987,False,0,0,0,0,0
Anthony Adams,/A/AdamAn20.htm,DT-NT,0,9,2011,False,0,0,0,0,0
Ira Albright,/A/AlbrIr20.htm,NT-RB,0,1,1987,False,0,0,0,0,0
Harvey Armstrong,/A/ArmsHa20.htm,NT,0,9,1990,False,0,0,0,0,0
Steve Baack,/B/BaacSt20.htm,NT-G-DE-DT,0,4,1987,False,0,0,0,0,0
Jerry Baker,/B/BakeJe20.htm,NT,0,1,1983,False,0,0,0,0,0
Gary Baldinger,/B/BaldGa20.htm,DE-NT,0,7,1992,False,0,0,0,0,0
Tom Baldwin,/B/BaldTo20.htm,NT-DT-DE,0,5,1988,False,0,0,0,0,0
Jerry Ball,/B/BallJe00.htm,NT-DT,0,13,1999,False,0,3,1,0,0
Michael Bankston,/B/BankMi21.htm,DE-NT-DT,0,9,2000,False,0,0,0,0,0
Roland Barbay,/B/BarbRo20.htm,NT,0,1,1987,False,0,0,0,0,0
Carl Barisich,/B/BariCa20.htm,DT-NT,0,9,1981,False,0,0,0,0,0
Tom Barndt,/B/BarnTo20.htm,DT-NT-G-C,0,6,2001,False,0,0,0,0,0
Bob Baumhower,/B/BaumBo00.htm,NT,0,10,1986,False,0,5,1,0,0
Monte Bennett,/B/BennMo20.htm,NT-DE,0,7,1987,False,0,0,0,0,0
Mitchell Benson,/B/BensMi20.htm,NT-DT,0,3,1991,False,0,0,0,0,0
Bill Berthusen,/B/BertBi20.htm,NT,0,1,1987,False,0,0,0,0,0
Richard Bishop,/B/BishRi20.htm,DE-NT,0,8,1983,False,0,0,0,0,0
Dennis Borcky,/B/BorcDe20.htm,NT,0,1,1987,False,0,0,0,0,0
Tony Bowick,/B/BowiTo20.htm,NT,0,1,1989,False,0,0,0,0,0
Jerry Boyarsky,/B/BoyaJe20.htm,NT,0,9,1989,False,0,0,0,0,0
