Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Emmanuel Acho,/A/AchoEm00.htm,OLB,0,3,2014,False,0,0,0,0,0
Denicos Allen,/A/AlleDe00.htm,OLB,0,1,2014,False,0,0,0,0,0
Jonathan Brown,/B/BrowJo01.htm,OLB,0,1,2014,False,0,0,0,0,0
Miles Burris,/B/BurrMi00.htm,OLB,0,3,2014,False,0,0,0,0,0
Khairi Fortt,/F/FortKh00.htm,OLB,0,1,2014,False,0,0,0,0,0
Khaseem Greene,/G/GreeKh00.htm,OLB,0,2,2014,False,0,0,0,0,0
DeVonte Holloman,/H/HollDe01.htm,OLB,0,2,2014,False,0,0,0,0,0
Adrian Hubbard,/H/HubbAd00.htm,OLB,0,1,2014,False,0,0,0,0,0
Brandon Jenkins,/J/JenkBr00.htm,OLB,0,1,2013,False,0,0,0,0,0
Ronnell Lewis,/L/LewiRo02.htm,OLB,0,1,2012,False,0,0,0,0,0
Brandon Magee,/M/MageBr00.htm,OLB,0,2,2014,False,0,0,0,0,0
Terrell Manning,/M/MannTe00.htm,OLB,0,3,2014,False,0,0,0,0,0
Gabe Miller,/M/MillGa00.htm,OLB,0,3,2014,False,0,0,0,0,0
Ronald Powell,/P/PoweRo01.htm,OLB,0,1,2014,False,0,0,0,0,0
Ty Powell,/P/PoweTy00.htm,OLB,0,2,2014,False,0,0,0,0,0
Prince Shembo,/S/ShemPr00.htm,OLB,0,1,2014,False,0,0,0,0,0
Will Smith,/S/SmitWi01.htm,OLB,0,1,2014,False,0,0,0,0,0
Jabara Williams,/W/WillJa12.htm,OLB,0,2,2012,False,0,0,0,0,0
Jacquian Williams,/W/WillJa02.htm,OLB,0,4,2014,False,0,0,0,1,0
Trevardo Williams,/W/WillTr02.htm,OLB,0,1,2014,False,0,0,0,0,0
Martez Wilson,/W/WilsMa01.htm,OLB,0,3,2013,False,0,0,0,0,0
Jordan Zumwalt,/Z/ZumwJo00.htm,OLB,0,1,2014,False,0,0,0,0,0
