Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fou Fonoti,/F/FonoFo00.htm,OT,0,1,2014,False,0,0,0,0,0
Kevin Graf,/G/GrafKe00.htm,OT,0,1,2014,False,0,0,0,0,0
Chris Martin,/M/MartCh01.htm,OT,0,1,2014,False,0,0,0,1,0
Jonathan Martin,/M/MartJo01.htm,OT,0,3,2014,False,0,0,0,0,0
Nick Mondek,/M/MondNi00.htm,OT,0,1,2012,False,0,0,0,0,0
Brandon Mosley,/M/MoslBr00.htm,OT,0,3,2014,False,0,0,0,0,0
Xavier Nixon,/N/NixoXa00.htm,OT,0,2,2014,False,0,0,0,0,0
Bryce Quigley,/Q/QuigBr00.htm,OT,0,1,2014,False,0,0,0,0,0
Tavon Rooks,/R/RookTa00.htm,OT,0,1,2014,False,0,0,0,0,0
Garrett Scott,/S/ScotGa01.htm,OT,0,1,2014,False,0,0,0,0,0
Byron Stingily,/S/StinBy00.htm,OT,0,3,2014,False,0,0,0,0,0
Rokevious Watkins,/W/WatkRo00.htm,OT,0,2,2013,False,0,0,0,0,0
Jason Weaver,/W/WeavJa00.htm,OT,0,1,2014,False,0,0,0,0,0
