Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Ray Guy1,/G/GuyxRa20.htm,P,1,16,1986,False,0,5,3,3,0
Ray Guy2,/G/GuyxRa20.htm,P,1,14,1986,False,0,7,3,3,0
Ray Guy3,/G/GuyxRa20.htm,P,1,14,1986,False,0,7,4,2,0
Ray Guy4,/G/GuyxRa20.htm,P,1,20,1986,False,0,3,1,1,0
Ray Guy5,/G/GuyxRa20.htm,P,1,14,1986,False,0,4,2,2,0
Ray Guy6,/G/GuyxRa20.htm,P,1,9,1986,False,0,8,7,6,0
Louie Aguiar,/A/aguialou01.htm,P,0,10,2000,False,0,0,0,0,0
Harold Alexander,/A/AlexHa20.htm,P,0,2,1994,False,0,0,0,0,0
Matt Allen,/A/AlleMa20.htm,P,0,1,2002,False,0,0,0,0,0
Zenon Andrusyshyn,/A/AndrZe20.htm,P-K,0,1,1978,False,0,0,0,0,0
Evan Arapostathis,/A/ArapEv20.htm,P,0,1,1986,False,0,0,0,0,0
Leo Araguz,/A/AragLe20.htm,P,0,10,2005,False,0,0,0,0,0
Jim Arnold,/A/ArnoJi20.htm,P,0,12,1994,False,0,2,1,0,0
Jim Asmus,/A/AsmuJi20.htm,P,0,1,1987,False,0,0,0,0,0
Jason Baker,/B/BakeJa20.htm,P,0,11,2011,False,0,0,0,0,0
John Baker,/B/BakeJo21.htm,P,0,2,2001,False,0,0,0,0,0
Bryan Barker,/B/BarkBr20.htm,P,0,16,2005,False,0,1,1,0,0
Brooks Barnard,/B/BarnBr20.htm,P,0,1,2003,False,0,0,0,1,0
Bruce Barnes,/B/BarnBr22.htm,P,0,2,1974,False,0,0,0,0,0
Tommy Barnhardt,/B/BarnTo22.htm,P,0,14,2000,False,0,0,0,0,0
Mike Barr,/B/BarrMi21.htm,P,0,1,2007,False,0,0,0,0,0
Brent Bartholomew,/B/BartBr20.htm,P,0,2,2000,False,0,0,0,0,0
Marv Bateman,/B/BateMa20.htm,P,0,6,1977,False,0,0,0,0,0
Darren Bennett,/B/BennDa20.htm,P,0,11,2005,False,0,2,1,0,0
Mitch Berger,/B/BergMi20.htm,P,0,16,2009,False,0,2,0,1,0
Louis Berry,/B/BerrLo20.htm,P,0,1,1987,False,0,0,0,0,0
David Beverly,/B/BeveDa20.htm,P,0,7,1980,False,0,0,0,0,0
Josh Bidwell,/B/BidwJo20.htm,P,0,11,2010,False,0,1,0,0,0
Carl Birdsong,/B/BirdCa20.htm,P,0,5,1985,False,0,1,0,0,0
Mike Black,/B/BlacMi20.htm,P,0,5,1987,False,0,0,0,0,0
Tom Blanchard,/B/BlanTo20.htm,P,0,11,1981,False,0,0,0,0,0
Barry Bowman,/B/BowmBa20.htm,P,0,1,1987,False,0,0,0,0,0
Don Bracken,/B/BracDo20.htm,P,0,9,1993,False,0,0,0,0,0
Mike Bragg,/B/BragMi20.htm,P,0,13,1980,False,0,0,0,0,0
Will Brice,/B/BricWi20.htm,P,0,3,1999,False,0,0,0,0,0
Durant Brooks,/B/BrooDu20.htm,P,0,1,2008,False,0,0,0,0,0
Steve Broussard,/B/BrouSt20.htm,P,0,1,1975,False,0,0,0,0,0
Kevin Brown,/B/BrowKe23.htm,P,0,1,1987,False,0,0,0,0,0
John Bruno,/B/BrunJo20.htm,P,0,1,1987,False,0,0,0,0,0
Dave Bruno,/B/BrunDa20.htm,P,0,1,1987,False,0,0,0,0,0
Chris Bryan,/B/BryaCh01.htm,P,0,1,2010,False,0,0,0,0,0
Maury Buford,/B/BufoMa20.htm,P,0,10,1991,False,0,0,0,1,0
Jerry Burch,/B/BurcJe00.htm,WR-P,0,1,1961,False,0,0,0,0,0
Mike Burke,/B/BurkMi20.htm,P,0,1,1974,False,0,0,0,0,0
Ode Burrell,/B/BurrOd00.htm,RB-WR-P,0,6,1969,False,0,1,0,0,0
Lonny Calicchio,/C/CaliLo20.htm,P,0,1,1997,False,0,0,0,0,0
Rich Camarillo,/C/camarric01.htm,P,0,16,1996,False,0,5,1,0,0
Barry Cantrell,/C/CantBa20.htm,P,0,1,2000,False,0,0,0,0,0
Duane Carrell,/C/CarrDu20.htm,P,0,4,1977,False,0,0,0,0,0
Greg Cater,/C/CateGr20.htm,P,0,8,1987,False,0,0,0,0,0
Don Chandler,/C/ChanDo20.htm,P-K,0,12,1967,False,0,1,0,2,0
Dave Chapple,/C/ChapDa20.htm,P,0,4,1974,False,0,1,0,0,0
Stephen Cheek,/C/CheeSt20.htm,P,0,1,2004,False,0,0,0,0,0
George Chesser,/C/ChesGe00.htm,RB-P,0,2,1967,False,0,0,0,0,0
Neil Clabo,/C/ClabNe20.htm,P,0,3,1977,False,0,0,0,0,0
Ken Clark,/C/ClarKe21.htm,P,0,1,1979,False,0,0,0,0,0
Leroy Clark,/C/ClarLe20.htm,P,0,1,1976,False,0,0,0,0,0
Lewis Colbert,/C/ColbLe20.htm,P,0,4,1989,False,0,0,0,0,0
