Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Karim Abdul-Jabbar,/A/AbduKa00.htm,RB,0,5,2000,False,0,0,0,0,0
Rabih Abdullah,/A/AbduRa00.htm,RB,0,6,2004,False,0,0,0,1,0
Walter Abercrombie,/A/AberWa00.htm,RB,0,7,1988,False,0,0,0,0,0
Mike Adamle,/A/AdamMi01.htm,RB,0,6,1976,False,0,0,0,0,0
Curtis Adams,/A/AdamCu00.htm,RB,0,4,1988,False,0,0,0,0,0
D.J. Adams,/A/AdamD.00.htm,RB,0,1,2014,False,0,0,0,0,0
David Adams,/A/AdamDa20.htm,RB,0,1,1987,False,0,0,0,0,0
George Adams,/A/AdamGe00.htm,RB,0,7,1991,False,0,0,0,0,0
Joseph Addai,/A/AddaJo00.htm,RB,0,6,2011,False,0,1,0,1,0
Tommie Agee,/A/AgeeTo00.htm,RB,0,7,1994,False,0,0,0,2,0
Ira Albright,/A/AlbrIr20.htm,NT-RB,0,1,1987,False,0,0,0,0,0
Jerry Aldridge,/A/AldrJe20.htm,RB,0,1,1980,False,0,0,0,0,0
Alvester Alexander,/A/AlexAl00.htm,RB,0,1,2012,False,0,0,0,0,0
Charles Alexander,/A/AlexCh00.htm,RB,0,7,1985,False,0,0,0,0,0
Dan Alexander,/A/AlexDa21.htm,RB,0,3,2003,False,0,0,0,0,0
Jeff Alexander,/A/AlexJe00.htm,RB,0,4,1992,False,0,0,0,0,0
Robert Alexander,/A/AlexRo20.htm,RB,0,2,1983,False,0,0,0,0,0
Shaun Alexander,/A/AlexSh00.htm,RB,0,9,2008,False,1,3,1,0,0
Vincent Alexander,/A/AlexVi20.htm,RB,0,1,1987,False,0,0,0,0,0
Rich Alexis,/A/AlexRi00.htm,RB,0,3,2007,False,0,0,0,0,0
Ted Alflen,/A/AlflTe20.htm,RB,0,1,1969,False,0,0,0,0,0
Anthony Allen,/A/AlleAn01.htm,RB,0,2,2012,False,0,0,0,1,0
Charles Ali,/A/AlixCh00.htm,RB,0,2,2008,False,0,0,0,0,0
Armando Allen,/A/AlleAr00.htm,RB,0,2,2012,False,0,0,0,0,0
Brian Allen,/A/AlleBr20.htm,RB,0,1,2003,False,0,0,0,0,0
Carl Allen,/A/AlleCa20.htm,RB-DB,0,1,1948,False,0,0,0,0,0
David Allen,/A/AlleDa00.htm,RB,0,3,2005,False,0,0,0,0,0
Gary Allen,/A/AlleGa20.htm,RB,0,3,1984,False,0,0,0,0,0
Gerry Allen,/A/AlleJe00.htm,RB,0,4,1969,False,0,0,0,0,0
Greg Allen,/A/AlleGr21.htm,RB,0,2,1986,False,0,0,0,0,0
James Allen,/A/AlleJa00.htm,RB,0,5,2002,False,0,0,0,0,0
Marcus Allen,/A/AlleMa00.htm,RB,1,16,1997,False,1,6,2,1,0
Marvin Allen,/A/AlleMa01.htm,RB,0,4,1991,False,0,0,0,0,0
Terry Allen,/A/AlleTe00.htm,RB,0,11,2001,False,0,1,0,0,0
Jim Allison,/A/AlliJi00.htm,RB,0,4,1968,False,0,0,0,0,0
Mike Alstott,/A/AlstMi00.htm,RB,0,11,2006,False,0,6,3,1,0
George Amundson,/A/AmunGe00.htm,RB,0,3,1975,False,0,0,0,0,0
Kimble Anders,/A/AndeKi00.htm,RB,0,10,2000,False,0,3,0,0,0
Andre' Anderson,/A/AndeAn23.htm,RB,0,1,2010,False,0,0,0,0,0
Anthony Anderson,/A/AndeAn20.htm,RB,0,2,1980,False,0,0,0,1,0
Alfred Anderson,/A/AndeAl00.htm,RB,0,8,1991,False,0,0,0,0,0
Bobby Anderson,/A/AndeBo00.htm,RB,0,6,1975,False,0,0,0,0,0
Damien Anderson,/A/AndeDa00.htm,RB,0,4,2005,False,0,0,0,0,0
Donny Anderson,/A/AndeDo00.htm,RB,0,9,1974,False,0,1,0,2,0
Gary Anderson,/A/AndeGa00.htm,RB,0,9,1993,False,0,1,0,0,0
Jamal Anderson,/A/AndeJa00.htm,RB,0,8,2001,False,0,1,1,0,0
Jason Anderson,/A/AndeJa02.htm,RB,0,1,2005,False,0,0,0,0,0
Max Anderson,/A/AndeMa00.htm,RB,0,2,1969,False,0,0,0,0,0
Neal Anderson,/A/AndeNe00.htm,RB,0,8,1993,False,0,4,0,0,0
Mike Anderson,/A/AndeMi00.htm,RB,0,8,2007,False,0,0,0,0,0
Ottis Anderson,/A/AndeOt00.htm,RB,0,14,1992,False,0,2,1,2,0
Vickey Ray Anderson,/A/AndeVi20.htm,RB,0,1,1980,False,0,0,0,0,0
Rickey Anderson,/A/AndeRi20.htm,RB,0,1,1978,False,0,0,0,0,0
John Andrews,/A/AndrJo00.htm,TE-RB,0,3,1974,False,0,0,0,0,0
William Andrews,/A/AndrWi00.htm,RB,0,8,1986,False,0,4,0,0,0
Tyrone Anthony,/A/AnthTy00.htm,RB,0,2,1985,False,0,0,0,0,0
Mike Archie,/A/ArchMi00.htm,RB,0,3,1998,False,0,0,0,0,0
Adger Armstrong,/A/ArmsAd00.htm,RB,0,6,1985,False,0,0,0,0,0
Otis Armstrong,/A/ArmsOt00.htm,RB,0,8,1980,False,0,2,1,0,0
J.J. Arrington,/A/ArriJ.00.htm,RB,0,4,2008,False,0,0,0,0,0
Frank Aschenbrenner,/A/AschFr20.htm,RB,0,1,1949,False,0,0,0,0,0
Willie Asbury,/A/AsbuWi00.htm,RB,0,3,1968,False,0,0,0,0,0
Josh Ashton,/A/AshtJo00.htm,RB,0,4,1975,False,0,0,0,0,0
Joe Aska,/A/AskaJo00.htm,RB,0,3,1997,False,0,0,0,0,0
Dave Atkins,/A/AtkiDa00.htm,RB,0,3,1975,False,0,0,0,0,0
Steve Atkins,/A/AtkiSt00.htm,RB,0,3,1981,False,0,0,0,0,0
