Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Ahmad Black,/B/BlacAh00.htm,SS,0,3,2013,False,0,0,0,0,0
Ahmad Dixon,/D/DixoAh00.htm,SS,0,1,2014,False,0,0,0,0,0
Thomas Gordon,/G/GordTh00.htm,SS,0,1,2014,False,0,0,0,0,0
Keelan Johnson,/J/JohnKe03.htm,SS,0,1,2013,False,0,0,0,0,0
Matt Johnson,/J/JohnMa05.htm,SS,0,1,2012,False,0,0,0,0,0
Jerron McMillian,/M/McMiJe00.htm,SS,0,2,2013,False,0,0,0,0,0
Charles Mitchell,/M/MitcCh01.htm,SS,0,1,2012,False,0,0,0,0,0
Zeke Motta,/M/MottZe00.htm,SS,0,2,2014,False,0,0,0,0,0
Tyler Sash,/S/SashTy00.htm,SS,0,2,2012,False,0,0,0,1,0
Jawanza Starling,/S/StarJa01.htm,SS,0,1,2013,False,0,0,0,0,0
Brandon Taylor,/T/TaylBr02.htm,SS,0,1,2012,False,0,0,0,0,0
George Wilson,/W/WilsGe01.htm,SS,0,10,2014,False,0,0,0,0,0
Earl Wolff,/W/WolfEa00.htm,SS,0,2,2014,False,0,0,0,0,0
