Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Sean Baker,/B/BakeSe00.htm,S,0,3,2014,False,0,0,0,0,0
Brandan Bishop,/B/BishBr01.htm,S,0,1,2014,False,0,0,0,0,0
Omar Brown,/B/BrowOm00.htm,S,0,2,2013,False,0,0,0,1,0
Da'Mon Cromartie-Smith,/C/CromDa00.htm,S,0,3,2013,False,0,0,0,0,0
Kanorris Davis,/D/DaviKa00.htm,S,0,1,2013,False,0,0,0,0,0
Tony Dye,/D/DyexTo00.htm,S,0,2,2013,False,0,0,0,0,0
Jean Fanor,/F/FanoJe00.htm,S,0,1,2014,False,0,0,0,0,0
Blake Gideon,/G/GideBl00.htm,S,0,1,2012,False,0,0,0,0,0
Jose Gumbs,/G/GumbJo00.htm,S,0,2,2013,False,0,0,0,0,0
Devin Holland,/H/HollDe00.htm,S,0,1,2011,False,0,0,0,0,0
M.D. Jennings,/J/JennM.00.htm,S,0,3,2013,False,0,0,0,0,0
Robert Johnson,/J/JohnRo99.htm,S,0,2,2012,False,0,0,0,0,0
Shelton Johnson,/J/JohnSh00.htm,S,0,2,2014,False,0,0,0,0,0
Robert Lester,/L/LestRo01.htm,S,0,2,2014,False,0,0,0,0,0
Daytawion Lowe,/L/LoweDa01.htm,S,0,1,2014,False,0,0,0,0,0
Davon Morgan,/M/MorgDa00.htm,S,0,1,2014,False,0,0,0,0,0
Jerico Nelson,/N/NelsJe00.htm,S,0,1,2012,False,0,0,0,0,0
Chaz Powell,/P/PoweCh00.htm,S,0,1,2012,False,0,0,0,0,0
Roderick Rogers,/R/RogeRo99.htm,S,0,2,2008,False,0,0,0,0,0
Nick Saenz,/S/SaenNi00.htm,S,0,1,2012,False,0,0,0,0,0
Mana Silva,/S/SilvMa00.htm,S,0,2,2012,False,0,0,0,0,0
Ricardo Silva,/S/SilvRi00.htm,S,0,2,2012,False,0,0,0,0,0
David Sims,/S/SimsDa01.htm,S,0,1,2012,False,0,0,0,0,0
Daxton Swanson,/S/SwanDa01.htm,S,0,1,2014,False,0,0,0,1,0
Suaesi Tuimaunei,/T/TuimSu00.htm,S,0,1,2012,False,0,0,0,0,0
Winston Venable,/V/VenaWi00.htm,S,0,1,2011,False,0,0,0,0,0
Anthony Walters,/W/WaltAn01.htm,S,0,4,2014,False,0,0,0,0,0
Pierre Warren,/W/WarrPi00.htm,S,0,1,2014,False,0,0,0,0,0
Tracy Wilson,/W/WilsTr01.htm,S,0,2,2012,False,0,0,0,0,0
