Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Cliff Aberson,/A/AberCl20.htm,TB-DB,0,1,1946,False,0,0,0,0,0
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False,0,0,0,0,0
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False,0,0,0,0,0
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False,0,0,0,0,0
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False,0,0,0,0,0
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False,0,0,0,0,0
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False,0,0,0,0,0
Marger Apsit,/A/ApsiMa20.htm,BB-LB-DB-TB,0,3,1933,False,0,0,0,0,0
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False,0,0,0,0,0
Charlie Armstrong,/A/ArmsCh20.htm,DB-TB,0,1,1946,False,0,0,0,0,0
Sky August,/A/AuguSk20.htm,TB-WB,0,1,1931,False,0,0,0,0,0
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False,0,0,0,0,0
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False,0,0,0,0,0
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False,0,0,0,0,0
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False,0,0,0,0,0
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False,0,0,0,0,0
Herb Banet,/B/BaneHe20.htm,TB-HB-DB,0,1,1937,False,0,0,0,0,0
Dan Barnhart,/B/BarnDa20.htm,TB,0,1,1934,False,0,0,0,0,0
Cliff Battles,/B/BattCl20.htm,TB-FB-WB-DB,1,6,1937,False,0,0,3,0,0
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False,0,6,4,0,0
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False,0,0,0,0,0
John Brewer,/B/BrewJo20.htm,TB-WB,0,1,1929,False,0,0,0,0,0
Hal Brill,/B/BrilHa20.htm,TB,0,1,1939,False,0,0,0,0,0
Eddie Britt,/B/BritEd20.htm,TB-DB-FB,0,3,1938,False,0,0,0,0,0
Jesse Brown,/B/BrowJe20.htm,TB,0,1,1926,False,0,0,0,0,0
Justin Brumbaugh,/B/BrumJu20.htm,BB-TB,0,1,1931,False,0,0,0,0,0
Steve Buchanan,/B/BuchSt20.htm,BB-TB,0,1,1929,False,0,0,0,0,0
Stanley Burnham,/B/BurnSt20.htm,TB-BB,0,1,1925,False,0,0,0,0,0
Tim Burnham,/B/BurnTi20.htm,TB-BB,0,1,1987,False,0,0,0,0,0
Tom Bushby,/B/BushTo20.htm,TB-WB,0,2,1935,False,0,0,0,0,0
Johnny Butler,/B/ButlJo21.htm,HB-TB,0,3,1945,False,0,0,0,0,0
