Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False,0,0,0,0,0
Dick Abrell,/A/AbreDi20.htm,BB-WB,0,1,1920,False,0,0,0,0,0
Tony Aiello,/A/AielTo20.htm,WB-BB,0,1,1944,False,0,0,0,0,0
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False,0,0,0,0,0
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False,0,0,0,0,0
Lynn Allen,/A/AlleLy20.htm,WB,0,1,1920,False,0,0,0,0,0
 Anderson,/A/Andexx20.htm,WB,0,1,1922,False,0,0,0,0,0
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False,0,0,0,0,0
Jaby Andrews,/A/AndrJa20.htm,WB-DB,0,1,1934,False,0,0,0,0,0
Teddy Andrulewicz,/A/AndrTe20.htm,WB,0,1,1930,False,0,0,0,0,0
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False,0,0,0,0,0
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False,0,0,0,0,0
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False,0,0,0,0,0
Bill Ashbaugh,/A/AshbBi20.htm,FB-WB,0,2,1925,False,0,0,0,0,0
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False,0,0,0,0,0
Reggie Attache,/A/AttaRe20.htm,WB-FB,0,1,1922,False,0,0,0,0,0
John Atwood,/A/AtwoJo20.htm,HB-WB-DB,0,1,1948,False,0,0,0,0,0
Sky August,/A/AuguSk20.htm,TB-WB,0,1,1931,False,0,0,0,0,0
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False,0,0,0,0,0
Frank Bacon,/B/BacoFr20.htm,WB-TB-E,0,6,1925,False,0,0,0,0,0
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False,0,0,0,0,0
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False,0,0,0,0,0
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False,0,0,0,0,0
Vic Baltzell,/B/BaltVi20.htm,WB-DB,0,1,1935,False,0,0,0,0,0
Emil Banjavic,/B/BanjEm20.htm,WB-DB,0,1,1942,False,0,0,0,0,0
Ben Bangs,/B/BangBe20.htm,WB,0,1,1926,False,0,0,0,0,0
Cliff Battles,/B/BattCl20.htm,TB-FB-WB-DB,1,6,1937,False,0,0,3,0,0
Johnny Blood,/B/BlooJo20.htm,TB-HB-WB-BB-DB,1,14,1938,False,0,0,0,0,0
Jim Bradshaw,/B/BradJi20.htm,WB,0,1,1924,False,0,0,0,0,0
Ray Brenner,/B/BrenRa20.htm,WB,0,1,1925,False,0,0,0,0,0
John Brewer,/B/BrewJo20.htm,TB-WB,0,1,1929,False,0,0,0,0,0
Dave Brown,/B/BrowDa21.htm,WB-FB-HB,0,5,1947,False,0,0,0,0,0
Bob Brumley,/B/BrumBo21.htm,WB,0,1,1945,False,0,0,0,0,0
Jim Bryant,/B/BryaJi20.htm,BB-WB,0,1,1920,False,0,0,0,0,0
Earl Burgner,/B/BurgEa20.htm,BB-WB,0,1,1923,False,0,0,0,0,0
Chick Burke,/B/BurkCh20.htm,WB,0,1,1925,False,0,0,0,0,0
Russ Burt,/B/BurtRu20.htm,WB-FB,0,2,1925,False,0,0,0,0,0
Tom Bushby,/B/BushTo20.htm,TB-WB,0,2,1935,False,0,0,0,0,0
Sol Butler,/B/ButlSo20.htm,WB-BB-HB,0,4,1926,False,0,0,0,0,0
Eddie Butts,/B/ButtEd20.htm,TB-BB-WB,0,1,1929,False,0,0,0,0,0
Augie Cabrinha,/C/CabrAu20.htm,WB,0,1,1927,False,0,0,0,0,0
Ernie Caddel,/C/CaddEr20.htm,WB,0,6,1938,False,0,0,0,0,0
Ralph Capron,/C/CaprRa20.htm,WB,0,1,1920,False,0,0,0,0,0
Lloyd Cardwell,/C/CardLl20.htm,WB-DB-FB,0,7,1943,False,0,1,0,0,0
Irv Carlson,/C/CarlIr20.htm,WB-TB,0,1,1924,False,0,0,0,0,0
Harlan Carr,/C/CarrHa20.htm,WB-QB,0,1,1927,False,0,0,0,0,0
Eddie Casey,/C/CaseEd20.htm,WB,0,1,1920,False,0,0,0,0,0
Pete Casey,/C/CasePe21.htm,WB-HB,0,1,1923,False,0,0,0,0,0
Guy Chamberlin,/C/ChamGu20.htm,E-WB,1,8,1927,False,0,0,1,0,0
Lynn Chandnois,/C/ChanLy00.htm,HB-WB-TB,0,7,1956,False,0,2,0,0,0
Red Chenoweth,/C/ChenRe20.htm,WB-TB,0,1,1921,False,0,0,0,0,0
Frank Civiletto,/C/CiviFr20.htm,WB,0,1,1923,False,0,0,0,0,0
Roy Clay,/C/ClayRo20.htm,WB-DB,0,1,1944,False,0,0,0,0,0
Alex Clement,/C/ClemAl20.htm,WB,0,1,1925,False,0,0,0,0,0
Ben Clime,/C/ClimBe20.htm,G-E-WB,0,2,1921,False,0,0,0,0,0
Stan Cofall,/C/CofaSt20.htm,WB-TB,0,1,1920,False,0,0,0,0,0
Bill Connell,/C/ConnBi20.htm,WB,0,1,1920,False,0,0,0,0,0
Clair Cook,/C/CookCl20.htm,WB-HB,0,1,1928,False,0,0,0,0,0
Olie Cordill,/C/CordOl20.htm,WB-HB-P,0,1,1940,False,0,1,0,0,0
Chris Cortemeglia,/C/CortCh20.htm,WB,0,1,1927,False,0,0,0,0,0
Don Cosner,/C/CosnDo20.htm,WB,0,1,1939,False,0,0,0,0,0
Danny Coughlin,/C/CougDa20.htm,WB,0,1,1923,False,0,0,0,0,0
Ward Cuff,/C/CuffWa20.htm,WB-QB-HB,0,11,1947,False,0,3,0,0,0
Harry Curran,/C/CurrHa20.htm,HB-WB,0,2,1921,False,0,0,0,0,0
Russ Daugherty,/D/DaugRu20.htm,WB,0,1,1927,False,0,0,0,0,0
Herb Davis,/D/DaviHe21.htm,WB-E-BB,0,2,1926,False,0,0,0,0,0
John Davis,/D/DaviJo22.htm,FB-WB-TB-BB,0,1,1920,False,0,0,0,0,0
Tommy Dowler,/D/DowlTo20.htm,WB,0,1,1931,False,0,0,0,0,0
Moon Ducote,/D/DucoMo20.htm,WB-TB,0,1,1920,False,0,0,0,0,0
Bob Dwyer,/D/DwyeBo20.htm,WB,0,1,1929,False,0,0,0,0,0
Deke Edler,/E/EdleDe20.htm,WB,0,1,1923,False,0,0,0,0,0
Swede Ellstrom,/E/EllsSw20.htm,WB-HB,0,3,1936,False,0,0,0,0,0
Arch Erehart,/E/ErehAr20.htm,WB,0,1,1920,False,0,0,0,0,0
Andy Farkas,/F/FarkAn20.htm,FB-HB-WB,0,8,1945,False,0,2,2,0,0
Beattie Feathers,/F/FeatBe00.htm,HB-WB,0,7,1940,False,0,0,1,0,0
Russ Finsterwald,/F/FinsRu20.htm,WB,0,1,1920,False,0,0,0,0,0
Bob Fitzke,/F/FitzBo20.htm,WB,0,1,1925,False,0,0,0,0,0
