Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Fred Abel,/A/AbelFr20.htm,BB-FB,0,1,1926,False,0,0,0,0,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Sneeze Achiu,/A/AchiSn20.htm,WB-TB-E-BB,0,2,1928,False,0,0,0,0,0
Dick Abrell,/A/AbreDi20.htm,BB-WB,0,1,1920,False,0,0,0,0,0
Bob Adkins,/A/AdkiBo20.htm,BB-DE-G-LB,0,6,1945,False,0,0,0,0,0
Tony Aiello,/A/AielTo20.htm,WB-BB,0,1,1944,False,0,0,0,0,0
Dom Albanese,/A/AlbaDo20.htm,BB-E-FB,0,1,1925,False,0,0,0,0,0
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False,0,0,0,0,0
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False,0,0,0,0,0
Ockie Anderson,/A/AndeOc20.htm,TB-BB-WB,0,3,1922,False,0,0,0,0,0
Will Anderson,/A/AndeWi20.htm,FB-BB-TB,0,2,1924,False,0,0,0,0,0
Roy Andrews,/A/AndrRo20.htm,G-T-BB-TB-E,0,5,1927,False,0,0,0,0,0
Dunc Annan,/A/AnnaDu20.htm,TB-WB-FB-BB-T,0,7,1926,False,0,0,0,0,0
Marger Apsit,/A/ApsiMa20.htm,BB-LB-DB-TB,0,3,1933,False,0,0,0,0,0
Arnie Arenz,/A/ArenAr20.htm,BB-LB,0,1,1934,False,0,0,0,0,0
Bob Argus,/A/ArguBo20.htm,WB-FB-TB-BB,0,6,1925,False,0,0,0,0,0
John Armstrong,/A/ArmsJo20.htm,BB,0,3,1925,False,0,0,0,0,0
Jay Arnold,/A/ArnoJa20.htm,HB-WB-DB-BB,0,5,1941,False,0,0,0,0,0
Les Asplundh,/A/AsplLe20.htm,FB-BB-WB,0,1,1925,False,0,0,0,0,0
Gene Augusterfer,/A/AuguGe20.htm,BB-DB,0,1,1935,False,0,0,0,0,0
Sam Babcock,/B/BabcSa20.htm,WB-FB-BB,0,1,1926,False,0,0,0,0,0
Pete Bahan,/B/BahaPe20.htm,BB-TB-FB,0,1,1923,False,0,0,0,0,0
Herm Bagby,/B/BagbHe20.htm,TB-WB-FB-BB,0,2,1927,False,0,0,0,0,0
Bullet Baker,/B/BakeBu20.htm,BB-WB-TB-HB,0,5,1931,False,0,0,0,0,0
Cliff Baldwin,/B/BaldCl20.htm,TB-WB-BB,0,2,1921,False,0,0,0,0,0
