Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Tom Ackerman,/A/AckeTo20.htm,G-C,0,8,2003,False,0,0,0,0,0
Ed Adamchik,/A/AdamEd20.htm,C,0,1,1965,False,0,0,0,0,0
Henry Adams,/A/AdamHe20.htm,C,0,1,1939,False,0,0,0,0,0
John Adickes,/A/AdicJo20.htm,C,0,3,1989,False,0,0,0,0,0
Art Albrecht,/A/AlbrAr20.htm,T-C-LB,0,3,1944,False,0,0,0,0,0
Ethan Albright,/A/AlbrEt20.htm,G-C-T,0,16,2010,False,0,1,0,0,0
Ki Aldrich,/A/AldrKi20.htm,C-LB-G,0,9,1947,False,0,2,0,0,0
David Alexander,/A/AlexDa22.htm,C-G-T,0,10,1996,False,0,0,0,0,0
Doc Alexander,/A/AlexDo20.htm,C-G-T-E,0,7,1927,False,0,0,2,0,0
Mike Alford,/A/AlfoMi20.htm,C,0,2,1966,False,0,0,0,0,0
Brian Allen,/A/AlleBr02.htm,C,0,2,2019,True,0,0,0,0,0
Johnny Allen,/A/AlleJo20.htm,C-LB,0,4,1958,False,0,0,0,0,0
Josh Allen,/A/AlleJo00.htm,C,0,1,2014,False,0,0,0,0,0
Steve Alvers,/A/AlveSt20.htm,TE-C,0,2,1982,False,0,0,0,0,0
Eugene Amano,/A/AmanEu20.htm,C,0,9,2012,False,0,0,0,0,0
Ken Amato,/A/AmatKe20.htm,C,0,9,2011,False,0,0,0,0,0
John Ambrose,/A/AmbrJo20.htm,C,0,1,1932,False,0,0,0,0,0
Joe Amstutz,/A/AmstJo20.htm,C,0,1,1957,False,0,0,0,0,0
Hunk Anderson,/A/AndeHu20.htm,G-C,0,4,1925,False,0,0,0,0,0
Scott Anderson,/A/AndeSc20.htm,C,0,3,1976,False,0,0,0,0,0
Troy Andrew,/A/AndrTr20.htm,C,0,1,2001,False,0,0,0,0,0
