Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Dick Afflis,/A/AfflDi20.htm,T-DG-G,0,4,1954,False,0,0,0,0,0
Plato Andros,/A/AndrPl20.htm,G-T-DG,0,4,1950,False,0,0,0,0,0
John Badaczewski,/B/BadaJo20.htm,G-DG,0,8,1953,False,0,0,0,0,0
Jon Baker,/B/BakeJo00.htm,DG-LB-G,0,4,1952,False,0,2,0,0,0
Les Bingaman,/B/BingLe00.htm,DG-G,0,7,1954,False,0,2,3,0,0
Ray Bray,/B/BrayRa00.htm,G-DG,0,14,1952,False,0,4,0,0,0
George Brown,/B/BrowGe21.htm,G-DG,0,2,1950,False,0,0,0,0,0
Russ Carroccio,/C/CarrRu20.htm,G-T-DT-DG,0,2,1955,False,0,0,0,0,0
Lou Creekmur,/C/CreeLo00.htm,T-G-DG-DT,1,10,1959,False,0,8,6,0,0
Ed King,/K/KingEd20.htm,G-DE-DG,0,3,1950,False,0,0,0,0,0
Mike McCormack,/M/McCoMi00.htm,T-DG-DT,1,12,1962,False,0,6,0,0,0
Bud McFadin,/M/McFaBu00.htm,DT-DG-LB-G,0,14,1965,False,0,5,3,0,0
Joe Ramona,/R/RamoJo20.htm,G-DG,0,1,1953,False,0,0,0,0,0
Joe Reid,/R/ReidJo20.htm,LB-C-DG,0,2,1952,False,0,0,0,0,0
Wash Serini,/S/SeriWa20.htm,DG-G-T,0,5,1952,False,0,0,0,0,0
Ed Sharkey,/S/SharEd20.htm,LB-G-T-DG,0,10,1956,False,0,0,0,0,0
John Steber,/S/StebJo20.htm,G-DG,0,5,1950,False,0,0,0,0,0
Dave Stephenson,/S/StepDa21.htm,G-C-DG,0,6,1955,False,0,0,0,0,0
Vic Vasicek,/V/VasiVi20.htm,LB-G-DG,0,2,1950,False,0,0,0,0,0
Stan West,/W/WestSt00.htm,DG-G-C,0,8,1957,False,0,2,1,0,0
Bill Willis,/W/WillBi00.htm,DG-G,1,8,1953,False,0,3,3,0,0
