Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Kendrick Adams,/A/AdamKe01.htm,DL,0,1,2012,False,0,0,0,0,0
Zach Allen,/A/AlleZa01.htm,DL,0,1,2019,True,0,0,0,0,0
Chigbo Anunoby,/A/AnunCh00.htm,DL,0,3,2014,False,0,0,0,0,0
Marvin Austin,/A/AustMa00.htm,DL,0,3,2014,False,0,0,0,0,0
Allen Bailey,/B/BailAl00.htm,DL,0,9,2019,True,0,0,0,0,0
Christian Ballard,/B/BallCh00.htm,DL,0,2,2012,False,0,0,0,0,0
Brandon Banks,/B/BankBr01.htm,DL,0,1,2017,False,0,0,0,0,0
Jeremy Beal,/B/BealJe00.htm,DL,0,1,2012,False,0,0,0,0,0
Cortez Broughton,/B/BrouCo00.htm,DL,0,1,2019,True,0,0,0,0,0
Brandin Bryant,/B/BryaBr00.htm,DL,0,1,2019,True,0,0,0,0,0
Isaiah Buggs,/B/BuggIs00.htm,DL,0,1,2019,True,0,0,0,0,0
Chris Carter,/C/CartCh00.htm,DL,0,7,2017,False,0,0,0,0,0
Jurrell Casey,/C/CaseJu00.htm,DL,0,9,2019,True,0,5,0,0,0
Adrian Clayborn,/C/ClayAd00.htm,DL,0,9,2019,True,0,0,0,1,0
Trevon Coley,/C/ColeTr01.htm,DL,0,3,2019,True,0,0,0,0,0
L.J. Collier,/C/CollLJ00.htm,DL,0,1,2019,True,0,0,0,0,0
Byron Cowart,/C/CowaBy00.htm,DL,0,1,2019,True,0,0,0,0,0
Keionta Davis,/D/DaviKe03.htm,DL,0,1,2018,True,0,0,0,1,0
Michael Dogbe,/D/DogbMi00.htm,DL,0,1,2019,True,0,0,0,0,0
Dylan Donahue,/D/DonaDy00.htm,DL,0,1,2017,False,0,0,0,0,0
Daniel Ekuale,/E/EkuaDa00.htm,DL,0,1,2019,True,0,0,0,0,0
Kenrick Ellis,/E/ElliKe01.htm,DL,0,5,2015,False,0,0,0,0,0
Ricky Elmore,/E/ElmoRi00.htm,DL,0,1,2012,False,0,0,0,0,0
Auston English,/E/EnglAu00.htm,DL,0,2,2012,False,0,0,0,0,0
Marcus Forston,/F/ForsMa00.htm,DL,0,2,2013,False,0,0,0,0,0
Morgan Fox,/F/FoxxMo00.htm,DL,0,4,2019,True,0,0,0,0,0
A.J. Francis,/F/FranA.00.htm,DL,0,4,2017,False,0,0,0,0,0
Justin Francis,/F/FranJu00.htm,DL,0,1,2012,False,0,0,0,0,0
Sione Fua,/F/FuaxSi00.htm,DL,0,4,2014,False,0,0,0,0,0
Greg Gaines,/G/GainGr00.htm,DL,0,1,2019,True,0,0,0,0,0
Ben Garland,/G/GarlBe00.htm,DL,0,8,2019,True,0,0,0,0,0
Rashan Gary,/G/GaryRa00.htm,DL,0,1,2019,True,0,0,0,0,0
Woodrow Hamilton,/H/HamiWo00.htm,DL,0,2,2017,False,0,0,0,1,0
Trent Harris,/H/HarrTr01.htm,DL,0,1,2019,True,0,0,0,0,0
Cam Henderson,/H/HendCa00.htm,DL,0,1,2014,False,0,0,0,1,0
Frank Herron,/H/HerrFr00.htm,DL,0,1,2019,True,0,0,0,0,0
Trysten Hill,/H/HillTr00.htm,DL,0,1,2019,True,0,0,0,0,0
Jarvis Jenkins,/J/JenkJa01.htm,DL,0,7,2018,False,0,0,0,0,0
Bryan Johnson,/J/JohnBr04.htm,DL,0,1,2014,False,0,0,0,0,0
Lyndon Johnson,/J/JohnLy00.htm,DL,0,1,2018,True,0,0,0,0,0
Dre'Mont Jones,/J/JoneDr00.htm,DL,0,1,2019,True,0,0,0,0,0
Johnny Jones,/J/JoneJo01.htm,DL,0,1,2012,False,0,0,0,0,0
Kingsley Keke,/K/KekeKi00.htm,DL,0,1,2019,True,0,0,0,0,0
Karl Klug,/K/KlugKa00.htm,DL,0,7,2017,False,0,0,0,0,0
Tyler Lancaster,/L/LancTy00.htm,DL,0,2,2019,True,0,0,0,0,0
Devaroe Lawrence,/L/LawrDe02.htm,DL,0,2,2019,True,0,0,0,0,0
Dexter Lawrence,/L/LawrDe03.htm,DL,0,1,2019,True,0,0,0,0,0
Lazarius Levingston,/L/LeviLa00.htm,DL,0,2,2012,False,0,0,0,0,0
Daylon Mack,/M/MackDa00.htm,DL,0,1,2019,True,0,0,0,0,0
Cliff Matthews,/M/MattCl01.htm,DL,0,5,2016,False,0,0,0,0,0
Terrell McClain,/M/McClTe00.htm,DL,0,9,2019,True,0,0,0,1,0
Jacobbi McDaniel,/M/McDaJa00.htm,DL,0,1,2014,False,0,0,0,0,0
Pernell McPhee,/M/McPhPe00.htm,DL,0,9,2019,True,0,0,0,1,0
Dontay Moch,/M/MochDo00.htm,DL,0,3,2014,False,0,0,0,0,0
Anthony Nelson,/N/NelsAn01.htm,DL,0,1,2019,True,0,0,0,0,0
Drake Nevis,/N/NeviDr00.htm,DL,0,3,2013,False,0,0,0,0,0
Lawrence Okoye,/O/OkoyLa00.htm,DL,0,1,2014,False,0,0,0,0,0
Ed Oliver,/O/OlivEd00.htm,DL,0,1,2019,True,0,0,0,0,0
Charles Omenihu,/O/OmenCh00.htm,DL,0,1,2019,True,0,0,0,0,0
Cheta Ozougwu,/O/OzouCh00.htm,DL,0,3,2014,False,0,0,0,0,0
Lucas Patterson,/P/PattLu00.htm,DL,0,1,2012,False,0,0,0,0,0
Kyle Phillips,/P/PhilKy00.htm,DL,0,1,2019,True,0,0,0,0,0
Jerrell Powe,/P/PoweJe00.htm,DL,0,4,2014,False,0,0,0,0,0
Xavier Proctor,/P/ProcXa00.htm,DL,0,1,2014,False,0,0,0,0,0
Brooks Reed,/R/ReedBr00.htm,DL,0,9,2019,True,0,0,0,0,0
D'Aundre Reed,/R/ReedD'00.htm,DL,0,1,2012,False,0,0,0,0,0
Tracy Robertson,/R/RobeTr01.htm,DL,0,1,2013,False,0,0,0,0,0
Greg Romeus,/R/RomeGr00.htm,DL,0,1,2012,False,0,0,0,0,0
Dontavius Russell,/R/RussDo00.htm,DL,0,1,2019,True,0,0,0,0,0
Brian Sanford,/S/SanfBr00.htm,DL,0,3,2013,False,0,0,0,0,0
