Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Tony Adams,/A/AdamTo00.htm,QB,0,13,1987,False,0,0,0,0,0
Sam Adkins,/A/AdkiSa00.htm,QB,0,5,1981,False,0,0,0,0,0
Troy Aikman,/A/AikmTr00.htm,QB,1,12,2000,False,0,6,0,3,0
Frankie Albert,/A/AlbeFr00.htm,QB-DB,0,7,1952,False,0,1,0,0,0
Don Allard,/A/AllaDo20.htm,QB,0,2,1962,False,0,0,0,0,0
Brandon Allen,/A/AlleBr00.htm,QB,0,1,2019,True,0,0,0,0,0
Ermal Allen,/A/AlleEr20.htm,QB-DB,0,1,1947,False,0,0,0,0,0
Kyle Allen,/A/AlleKy00.htm,QB,0,2,2019,True,0,0,0,0,0
Josh Allen,/A/AlleJo02.htm,QB,0,2,2019,True,0,0,0,0,0
Billy Guy Anderson,/A/AndeBi21.htm,QB,0,1,1967,False,0,0,0,0,0
Derek Anderson,/A/AndeDe00.htm,QB,0,13,2018,False,0,1,0,0,0
Ken Anderson,/A/AndeKe00.htm,QB,0,16,1986,False,1,4,1,0,0
David Archer,/A/ArchDa00.htm,QB,0,6,1989,False,0,0,0,0,0
Rick Arrington,/A/ArriRi00.htm,QB,0,3,1972,False,0,0,0,0,0
Kent Austin,/A/AustKe20.htm,QB,0,1,1986,False,0,0,0,0,0
Bob Avellini,/A/AvelBo00.htm,QB,0,10,1984,False,0,0,0,0,0
Richard Badar,/B/BadaRi20.htm,QB,0,1,1967,False,0,0,0,0,0
Ed Baker,/B/BakeEd00.htm,QB,0,1,1972,False,0,0,0,0,0
Terry Baker,/B/BakeTe00.htm,QB,0,3,1965,False,0,0,0,0,0
Tony Banks,/B/BankTo00.htm,QB,0,10,2005,False,0,0,0,1,0
Matt Barkley,/B/BarkMa00.htm,QB,0,7,2019,True,0,0,0,0,0
Lou Barle,/B/BarlLo20.htm,HB-QB,0,2,1939,False,0,0,0,0,0
Joe Barnes,/B/BarnJo01.htm,QB,0,1,1974,False,0,0,0,0,0
Pat Barnes,/B/BarnPa20.htm,QB,0,1,1999,False,0,0,0,0,0
Dave Barr,/B/BarrDa20.htm,QB,0,1,1995,False,0,0,0,0,0
Richard Bartel,/B/BartRi00.htm,QB,0,2,2011,False,0,0,0,0,0
Steve Bartkowski,/B/BartSt00.htm,QB,0,12,1986,False,0,2,0,0,0
Greg Barton,/B/BartGr20.htm,QB,0,1,1969,False,0,0,0,0,0
Brett Basanez,/B/BasaBr00.htm,QB,0,1,2006,False,0,0,0,0,0
Charlie Batch,/B/BatcCh00.htm,QB,0,15,2012,False,0,0,0,1,0
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False,0,6,4,0,0
C.J. Beathard,/B/BeatC.00.htm,QB,0,2,2018,True,0,0,0,0,0
Pete Beathard,/B/BeatPe00.htm,QB,0,10,1973,False,0,0,0,0,0
Gary Beban,/B/BebaGa00.htm,QB,0,2,1969,False,0,0,0,0,0
John Beck,/B/BeckJo00.htm,QB,0,5,2011,False,0,0,0,0,0
Kerwin Bell,/B/BellKe00.htm,QB,0,1,1996,False,0,0,0,0,0
Guy Benjamin,/B/BenjGu00.htm,QB,0,6,1983,False,0,0,0,1,0
Fred Benners,/B/BennFr00.htm,QB,0,1,1952,False,0,0,0,0,0
Ben Bennett,/B/BennBe20.htm,QB,0,1,1987,False,0,0,0,0,0
Brock Berlin,/B/BerlBr00.htm,QB,0,2,2008,False,0,0,0,0,0
Bob Berry,/B/BerrBo00.htm,QB,0,11,1975,False,0,1,0,0,0
Angelo Bertelli,/B/BertAn20.htm,QB,0,3,1948,False,0,0,0,0,0
McLeod Bethel-Thompson,/B/BethMc00.htm,QB,0,3,2014,False,0,0,0,0,0
Steve Beuerlein,/B/BeueSt00.htm,QB,0,16,2003,False,0,1,0,1,0
Michael Bishop,/B/BishMi00.htm,QB,0,1,2000,False,0,0,0,0,0
Todd Blackledge,/B/BlacTo00.htm,QB,0,7,1989,False,0,0,0,0,0
Jeff Blake,/B/BlakJe00.htm,QB,0,14,2005,False,0,1,0,0,0
Matt Blanchard,/B/BlanMa00.htm,QB,0,3,2014,False,0,0,0,0,0
George Blanda,/B/BlanGe00.htm,QB,1,27,1975,False,0,4,1,0,0
Drew Bledsoe,/B/BledDr00.htm,QB,0,14,2006,False,0,4,0,1,0
Bob Bleier,/B/BleiBo20.htm,QB,0,1,1987,False,0,0,0,0,0
David Blough,/B/BlouDa00.htm,QB,0,1,2019,True,0,0,0,0,0
Ed Blount,/B/BlouEd20.htm,QB,0,1,1987,False,0,0,0,0,0
Jeb Blount,/B/BlouJe00.htm,QB,0,1,1977,False,0,0,0,0,0
Matt Blundin,/B/BlunMa00.htm,QB,0,5,1997,False,0,0,0,0,0
Kyle Boller,/B/BollKy00.htm,QB,0,9,2011,False,0,0,0,0,0
Brooks Bollinger,/B/BollBr00.htm,QB,0,5,2008,False,0,0,0,0,0
Steve Bono,/B/BonoSt00.htm,QB,0,15,1999,False,0,1,0,1,0
Blake Bortles,/B/BortBl00.htm,QB,0,6,2019,True,0,0,0,0,0
John Borton,/B/BortJo20.htm,QB,0,1,1957,False,0,0,0,0,0
Mike Boryla,/B/BoryMi00.htm,QB,0,5,1978,False,0,1,0,0,0
Todd Bouman,/B/BoumTo00.htm,QB,0,10,2010,False,0,0,0,0,0
Tommy Boutwell,/B/BoutTo00.htm,WR-QB,0,1,1969,False,0,0,0,0,0
Trevone Boykin,/B/BoykTr00.htm,QB,0,1,2016,False,0,0,0,0,0
Tim Boyle,/B/BoylTi00.htm,QB,0,1,2019,True,0,0,0,0,0
Charlie Brackins,/B/BracCh20.htm,QB,0,1,1955,False,0,0,0,0,0
