Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Jared Abbrederis,/A/AbbrJa00.htm,WR,0,4,2017,False,0,0,0,0,0
Charlie Adams,/A/AdamCh00.htm,WR,0,3,2005,False,0,0,0,0,0
Davante Adams,/A/AdamDa01.htm,WR,0,6,2019,True,0,3,0,0,0
Darvin Adams,/A/AdamDa00.htm,WR,0,1,2011,False,0,0,0,0,0
Joe Adams,/A/AdamJo01.htm,WR,0,1,2012,False,0,0,0,0,0
Kris Adams,/A/AdamKr00.htm,WR,0,1,2012,False,0,0,0,0,0
Mike Adams,/A/AdamMi00.htm,WR,0,1,1997,False,0,0,0,0,0
Rodney Adams,/A/AdamRo01.htm,WR,0,1,2017,False,0,0,0,0,0
Tom Adams,/A/AdamTo01.htm,WR,0,1,1962,False,0,0,0,0,0
Willis Adams,/A/AdamWi00.htm,WR,0,7,1985,False,0,0,0,0,0
Quincy Adeboyejo,/A/AdebQu00.htm,WR,0,1,2017,True,0,0,0,0,0
Margene Adkins,/A/AdkiMa00.htm,WR,0,4,1973,False,0,0,0,1,0
James Adkisson,/A/AdkiJa00.htm,WR,0,1,2006,False,0,0,0,0,0
Erik Affholter,/A/AffhEr00.htm,WR,0,1,1991,False,0,0,0,0,0
Nelson Agholor,/A/AghoNe00.htm,WR,0,5,2019,True,0,0,0,1,0
Kamar Aiken,/A/AikeKa00.htm,WR,0,8,2018,False,0,0,0,0,0
Carl Aikens,/A/AikeCa20.htm,WR,0,1,1987,False,0,0,0,0,0
Sam Aiken,/A/AikeSa00.htm,WR,0,8,2010,False,0,0,0,0,0
Seyi Ajirotutu,/A/AjirSe00.htm,WR,0,6,2015,False,0,0,0,0,0
Mike Akiu,/A/AkiuMi20.htm,WR,0,2,1986,False,0,0,0,0,0
Danario Alexander,/A/AlexDa00.htm,WR,0,3,2012,False,0,0,0,0,0
Derrick Alexander,/A/AlexDe00.htm,WR,0,9,2002,False,0,0,0,0,0
Glenn Alexander,/A/AlexGl00.htm,WR,0,1,1970,False,0,0,0,0,0
