Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Kevin Mawae,/M/MawaKe00.htm,C-G,1,16,2009,False,0,8,3,0,0
Mike Webster,/W/WebsMi00.htm,C-G,1,17,1990,False,0,9,5,4,0
Chuck Bednarik,/B/BednCh00.htm,LB-C,1,14,1962,False,0,8,6,0,0
Dwight Stephenson,/S/StepDw00.htm,C-T,1,8,1987,False,0,5,4,0,0
Brad Benson,/B/BensBr00.htm,T-G-C,0,10,1987,False,0,1,0,1,0
Al Bemiller,/B/BemiAl00.htm,C-G-T,0,9,1969,False,0,1,0,0,0
Tom Ackerman,/A/AckeTo20.htm,G-C,0,8,2003,False,0,0,0,0,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Carl Mauck,/M/MaucCa20.htm,C,0,13,1981,False,0,0,0,0,0

